date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,7.5287,31732.0,,,,,,,,0.52,,,,,,,,,,,0.0,,,,,,,,,,,,793300.0,,,,,,,,,,,,,,,,,,,
1998-01-05,7.4797,-427518.0,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,334050.0,,,,,,,20.0,,,,,,,0.13,,,,,
1998-01-06,7.5287,1558782.0,,,,,,,,0.4615,,,,,,,,,,,0.0,,,,,,,,,,,,2320350.0,,,,,,,19.87,,,,,,,0.13,,,,,
1998-01-07,7.4571,1685557.0,,,,,,,,-0.25,,,,,,,,,,,0.0,,,,,,,,,,,,2066800.0,,,,,,,20.0,,,,,,,0.37,,,,,
1998-01-08,7.2689,1314857.0,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,1696100.0,,,,,,,20.0,,,,,,,0.5,,,,,
1998-01-09,7.1033,1187110.6585,,,,,,,,-0.4634,,,,,,,,,,,0.0,,,,,,,,,,,,1368750.0,,,,,,,19.9862,,,,,,,0.82,,,,,
1998-01-12,7.2012,1857110.6585,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,2038750.0,,,,,,,19.9452,,,18.3575,,,,0.51,,,,,
1998-01-13,7.4346,2088146.6585,,,,,,,,0.76,,,,,,,,,,,0.0,,,,,,,,,,,,2483050.0,,,,,,,19.9055,,,48.4908,,,,0.74,,,,,
1998-01-14,7.4571,1391196.6585,,,,,,,,-0.6842,,,,,,,,,,,0.0,,,,,,,,,,,,3180000.0,,,,,,,18.62,,71.1961,71.1961,,,,0.25,,,,,
1998-01-15,7.4797,1915866.0134,429084.091,,,,,,,0.1935,,,,,,,,,,,0.0,,,,,,,,,,,,4136750.0,,,,,,,18.6338,,89.0705,89.0705,,,,0.31,,,,,
1998-01-16,7.7169,12999366.0134,3927566.0293,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,15220250.0,,,,,,,18.6475,,92.2705,92.2705,,,,0.63,,,,,
1998-01-20,8.0707,16065696.6585,5977362.3885,,,,,,,0.7097,,,,,,,,,,,0.0,,,,,,,,,,,,19022500.0,,,,,,,18.6845,,95.9209,95.9209,,,,1.0,,,,,
