date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Upper Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD,MACDEXT,MACD,MACD_Hist,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,13.94,3255633.8028,,,,,,,,,,,0.8826,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3450000.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,13.94,3787486.8415,,,,,,,,,,,-0.0331,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3450000.0,,,,,,,25.81,,,,,,,,,,1.81,,,,,
1998-01-06,13.44,2280533.8028,,,,,,,,,,,-0.4807,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,852300.0,,,,,,,25.8388,,,,,,,,,,1.81,,,,,
1998-01-07,13.25,3992889.3584,,,,,,,,,,,0.1481,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2373300.0,,,,,,,25.8673,,,,,,,,,,1.0,,,,,
1998-01-08,14.19,8246451.8584,,,,,,,,,,,0.6944,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6503700.0,,,,,,,25.88,,,,,,,,,,2.88,,,,,
1998-01-09,13.75,4938007.4139,,,,,,,,,,,-0.64,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,548500.0,,,,,,,25.88,,,,,,,,,,2.25,,,,,
1998-01-12,14.315,7623756.2139,,,,,,,,,,,0.552,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9383200.0,,,,,,,25.9811,,,,67.1492,75.9669,,,,,2.5,,,,,
1998-01-13,16.0,14825732.1721,,,,,,,,,,,0.6969,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,20436500.0,,,,,,,26.1219,,,,72.1617,92.4471,,,,,3.87,,,,,
1998-01-14,15.565,18149007.3721,,,,,,,,,,,0.104,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13842700.0,,,,,,,26.4408,,73.8252,82.1647,82.1647,78.08,,,,,1.81,,,,,
1998-01-15,15.78,17357141.4147,5518339.4853,,,,,,,,,,0.266,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,19568500.0,,,,,,,26.7437,,79.389,83.8406,83.8406,80.9947,,,,,1.88,,,,,
1998-01-16,14.315,8640471.129,2210708.4022,,,,,,,,,,-0.7829,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9330800.0,,,,,,,27.0969,,76.2269,62.6756,62.6756,28.952,,,,,3.06,,,,,
1998-01-20,15.03,10957527.129,1393858.1953,,,,,,,,,,0.625,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13468400.0,,,,,,,27.4289,,65.252,49.2397,49.2397,37.7724,,,,,2.0,,,,,
1998-01-21,16.065,16949739.129,2839590.7293,,,,,,,,,,0.9467,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,20176100.0,,,,,,,27.741,,54.4849,51.5393,51.5393,87.8935,,,,,2.25,,,,,
