Company,LSTM Type,n_epoch,n_batch,n_lag,n_seq,Training Time,Indicator Number,Indicators,Trained Date,Start Train Date,End Train/Start Test Date,End Test Date,Model Name,Trend_t+1,APRE_t+1,RMSE_t+1,Trend_t+2,APRE_t+2,RMSE_t+2,Trend_t+3,APRE_t+3,RMSE_t+3,Trend_t+4,APRE_t+4,RMSE_t+4,Trend_t+5,APRE_t+5,RMSE_t+5,Trend_t+6,APRE_t+6,RMSE_t+6,Trend_t+7,APRE_t+7,RMSE_t+7,Trend_t+8,APRE_t+8,RMSE_t+8,Trend_t+9,APRE_t+9,RMSE_t+9,Trend_t+10,APRE_t+10,RMSE_t+10,Trend_t+11,APRE_t+11,RMSE_t+11,Trend_t+12,APRE_t+12,RMSE_t+12,Trend_t+13,APRE_t+13,RMSE_t+13,Trend_t+14,APRE_t+14,RMSE_t+14,Trend_t+15,APRE_t+15,RMSE_t+15,Trend_t+16,APRE_t+16,RMSE_t+16,Trend_t+17,APRE_t+17,RMSE_t+17,Trend_t+18,APRE_t+18,RMSE_t+18,Trend_t+19,APRE_t+19,RMSE_t+19,Trend_t+20,APRE_t+20,RMSE_t+20,Trend_t+21,APRE_t+21,RMSE_t+21,Trend_t+22,APRE_t+22,RMSE_t+22,Trend_t+23,APRE_t+23,RMSE_t+23,Trend_t+24,APRE_t+24,RMSE_t+24,Trend_t+25,APRE_t+25,RMSE_t+25,Trend_t+26,APRE_t+26,RMSE_t+26,Trend_t+27,APRE_t+27,RMSE_t+27,Trend_t+28,APRE_t+28,RMSE_t+28,Trend_t+29,APRE_t+29,RMSE_t+29,Trend_t+30,APRE_t+30,RMSE_t+30
NDX,bi,2097,884,1,1,0.296224554,1,price,02/04/2019 19:41,11/01/1995,11/07/1998,11/01/2002,NDX_bi_nlag1_nseq1_e2097_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.533484677,0.023340007,80.17760349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,bi,2097,884,2,1,0.370099831,1,price,02/04/2019 19:41,11/01/1995,11/07/1998,11/01/2002,NDX_bi_nlag2_nseq1_e2097_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.476730988,0.02334424,80.07201671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,conv,100,884,2,1,0.107170014,1,price,02/04/2019 19:41,11/01/1995,11/07/1998,11/01/2002,NDX_conv_nlag2_nseq1_e100_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.536889898,0.023737633,81.04065154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,bi,2097,884,3,1,0.46249516,1,price,02/04/2019 19:42,11/01/1995,11/07/1998,11/01/2002,NDX_bi_nlag3_nseq1_e2097_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.463110102,0.023473274,80.10794329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,conv,100,884,3,1,0.139065599,1,price,02/04/2019 19:42,11/01/1995,11/07/1998,11/01/2002,NDX_conv_nlag3_nseq1_e100_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.543700341,0.02333632,79.84419389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,bi,2097,884,4,1,0.551723309,1,price,02/04/2019 19:43,11/01/1995,11/07/1998,11/01/2002,NDX_bi_nlag4_nseq1_e2097_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.544835414,0.023185353,79.78078028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,conv,100,884,4,1,0.158903511,1,price,02/04/2019 19:43,11/01/1995,11/07/1998,11/01/2002,NDX_conv_nlag4_nseq1_e100_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.541430193,0.023333585,79.71084212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,bi,2097,884,5,1,0.652455076,1,price,02/04/2019 19:44,11/01/1995,11/07/1998,11/01/2002,NDX_bi_nlag5_nseq1_e2097_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.533484677,0.023383251,80.215718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,conv,100,884,5,1,0.173593366,1,price,02/04/2019 19:44,11/01/1995,11/07/1998,11/01/2002,NDX_conv_nlag5_nseq1_e100_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.52553916,0.023469418,80.18832528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,bi,2097,884,6,1,0.74460396,1,price,02/04/2019 19:45,11/01/1995,11/07/1998,11/01/2002,NDX_bi_nlag6_nseq1_e2097_b884_n1_ind1_train11-01-1995_trainendteststart11-07-1998_testend11-01-2002,0.50737798,0.023243633,79.90601331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
