Company,LSTM Type,n_epoch,n_batch,n_lag,n_seq,Training Time,Indicator Number,Indicators,Trained Date,Start Train Date,End Train/Start Test Date,End Test Date,Model Name,Trend_t+1,APRE_t+1,RMSE_t+1,Trend_t+2,APRE_t+2,RMSE_t+2,Trend_t+3,APRE_t+3,RMSE_t+3,Trend_t+4,APRE_t+4,RMSE_t+4,Trend_t+5,APRE_t+5,RMSE_t+5,Trend_t+6,APRE_t+6,RMSE_t+6,Trend_t+7,APRE_t+7,RMSE_t+7,Trend_t+8,APRE_t+8,RMSE_t+8,Trend_t+9,APRE_t+9,RMSE_t+9,Trend_t+10,APRE_t+10,RMSE_t+10,Trend_t+11,APRE_t+11,RMSE_t+11,Trend_t+12,APRE_t+12,RMSE_t+12,Trend_t+13,APRE_t+13,RMSE_t+13,Trend_t+14,APRE_t+14,RMSE_t+14,Trend_t+15,APRE_t+15,RMSE_t+15,Trend_t+16,APRE_t+16,RMSE_t+16,Trend_t+17,APRE_t+17,RMSE_t+17,Trend_t+18,APRE_t+18,RMSE_t+18,Trend_t+19,APRE_t+19,RMSE_t+19,Trend_t+20,APRE_t+20,RMSE_t+20,Trend_t+21,APRE_t+21,RMSE_t+21,Trend_t+22,APRE_t+22,RMSE_t+22,Trend_t+23,APRE_t+23,RMSE_t+23,Trend_t+24,APRE_t+24,RMSE_t+24,Trend_t+25,APRE_t+25,RMSE_t+25,Trend_t+26,APRE_t+26,RMSE_t+26,Trend_t+27,APRE_t+27,RMSE_t+27,Trend_t+28,APRE_t+28,RMSE_t+28,Trend_t+29,APRE_t+29,RMSE_t+29,Trend_t+30,APRE_t+30,RMSE_t+30
BITCOIN,bi,2097,366,1,1,0.31269282499949136,1,price,2019-04-03 12:45:53,19/08/2013,01/04/2015,19/07/2016,BITCOIN_bi_nlag1_nseq1_e2097_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.45263157894736844,0.03972398778818632,20.49804450614861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,bi,2097,366,2,1,0.3937561710675557,1,price,2019-04-03 12:46:21,19/08/2013,01/04/2015,19/07/2016,BITCOIN_bi_nlag2_nseq1_e2097_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5473684210526316,0.031223557976236826,18.9675238537885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,conv,100,366,2,1,0.19487972656885783,1,price,2019-04-03 12:46:37,19/08/2013,01/04/2015,19/07/2016,BITCOIN_conv_nlag2_nseq1_e100_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5642105263157895,0.020882876739360314,17.40732194133489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,bi,2097,366,3,1,0.47192311684290567,1,price,2019-04-03 12:47:10,19/08/2013,01/04/2015,19/07/2016,BITCOIN_bi_nlag3_nseq1_e2097_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.45473684210526316,0.023630258153027918,17.680418234976074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,conv,100,366,3,1,0.07984586556752522,1,price,2019-04-03 12:47:19,19/08/2013,01/04/2015,19/07/2016,BITCOIN_conv_nlag3_nseq1_e100_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5515789473684211,0.021318201774089787,17.44933522911918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,bi,2097,366,4,1,0.5790029128392538,1,price,2019-04-03 12:48:00,19/08/2013,01/04/2015,19/07/2016,BITCOIN_bi_nlag4_nseq1_e2097_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5494736842105263,0.03335470425415998,19.31154760741183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,conv,100,366,4,1,0.08497677644093832,1,price,2019-04-03 12:48:10,19/08/2013,01/04/2015,19/07/2016,BITCOIN_conv_nlag4_nseq1_e100_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5031578947368421,0.022519472137074,17.686164236840764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,bi,2097,366,5,1,0.692562731107076,1,price,2019-04-03 12:48:59,19/08/2013,01/04/2015,19/07/2016,BITCOIN_bi_nlag5_nseq1_e2097_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5578947368421052,0.02483073904638096,17.93351543867689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,conv,100,366,5,1,0.09693135023117065,1,price,2019-04-03 12:49:09,19/08/2013,01/04/2015,19/07/2016,BITCOIN_conv_nlag5_nseq1_e100_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5136842105263157,0.022581850357648585,17.67896232016133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCOIN,bi,2097,366,7,1,0.9000774145126342,1,price,2019-04-03 12:50:14,19/08/2013,01/04/2015,19/07/2016,BITCOIN_bi_nlag7_nseq1_e2097_b366_n1_ind1_train19-08-2013_trainendteststart01-04-2015_testend19-07-2016,0.5642105263157895,0.02928890894442692,18.774249898148796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
