Company,LSTM Type,n_epoch,n_batch,n_lag,n_seq,Training Time,Indicator Number,Indicators,Trained Date,Start Train Date,End Train/Start Test Date,End Test Date,Model Name,Trend_t+1,APRE_t+1,RMSE_t+1,Trend_t+2,APRE_t+2,RMSE_t+2,Trend_t+3,APRE_t+3,RMSE_t+3,Trend_t+4,APRE_t+4,RMSE_t+4,Trend_t+5,APRE_t+5,RMSE_t+5,Trend_t+6,APRE_t+6,RMSE_t+6,Trend_t+7,APRE_t+7,RMSE_t+7,Trend_t+8,APRE_t+8,RMSE_t+8,Trend_t+9,APRE_t+9,RMSE_t+9,Trend_t+10,APRE_t+10,RMSE_t+10,Trend_t+11,APRE_t+11,RMSE_t+11,Trend_t+12,APRE_t+12,RMSE_t+12,Trend_t+13,APRE_t+13,RMSE_t+13,Trend_t+14,APRE_t+14,RMSE_t+14,Trend_t+15,APRE_t+15,RMSE_t+15,Trend_t+16,APRE_t+16,RMSE_t+16,Trend_t+17,APRE_t+17,RMSE_t+17,Trend_t+18,APRE_t+18,RMSE_t+18,Trend_t+19,APRE_t+19,RMSE_t+19,Trend_t+20,APRE_t+20,RMSE_t+20,Trend_t+21,APRE_t+21,RMSE_t+21,Trend_t+22,APRE_t+22,RMSE_t+22,Trend_t+23,APRE_t+23,RMSE_t+23,Trend_t+24,APRE_t+24,RMSE_t+24,Trend_t+25,APRE_t+25,RMSE_t+25,Trend_t+26,APRE_t+26,RMSE_t+26,Trend_t+27,APRE_t+27,RMSE_t+27,Trend_t+28,APRE_t+28,RMSE_t+28,Trend_t+29,APRE_t+29,RMSE_t+29,Trend_t+30,APRE_t+30,RMSE_t+30
TISC,bi,2097,1790,1,1,0.31413741906483966,1,price,2019-04-03 09:56:45,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag1_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4989384288747346,0.01661529033131512,9.50697458411688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,2,1,0.40539449055989585,1,price,2019-04-03 09:57:15,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag2_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.49469214437367304,0.01658669235951787,9.47568226066461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,2,1,0.13085883855819702,1,price,2019-04-03 09:57:33,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag2_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4968152866242038,0.016574931122525432,9.472284272707434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,3,1,0.4984899799029032,1,price,2019-04-03 09:58:10,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag3_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.5180467091295117,0.016570567914151825,9.523966782468394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,3,1,0.17209828694661458,1,price,2019-04-03 09:58:31,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag3_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.5031847133757962,0.016641976072564412,9.500553752562762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,4,1,0.6005363504091898,1,price,2019-04-03 09:59:14,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag4_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.47770700636942676,0.016750543056158446,9.535590772120617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,4,1,0.19569566249847412,1,price,2019-04-03 09:59:37,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag4_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4840764331210191,0.016724945623661978,9.546692454689554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,5,1,0.6893685102462769,1,price,2019-04-03 10:00:26,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag5_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4819532908704883,0.01680550976947927,9.545263827262874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,5,1,0.2134117563565572,1,price,2019-04-03 10:00:51,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag5_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4543524416135881,0.016781456393986083,9.590622317059136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,7,1,0.8979116598765056,1,price,2019-04-03 10:01:54,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag7_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.47983014861995754,0.0168922272972336,9.628209590700227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,7,1,0.2595617373784383,1,price,2019-04-03 10:02:21,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag7_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.49469214437367304,0.01677562804532562,9.62439210449486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,10,1,1.165518295764923,1,price,2019-04-03 10:03:42,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag10_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4564755838641189,0.016765386486159342,9.53583121094239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,10,1,0.31090364456176756,1,price,2019-04-03 10:04:13,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag10_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4819532908704883,0.016776559174918024,9.62544894228686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,15,1,1.5712363799413045,1,price,2019-04-03 10:06:01,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag15_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.5222929936305732,0.017642820940538952,10.057570644333772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,15,1,0.3685855229695638,1,price,2019-04-03 10:06:36,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag15_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.46284501061571126,0.01700801044395737,9.762572186553479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,21,1,2.1166555285453796,1,price,2019-04-03 10:09:00,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag21_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.49256900212314225,0.016659420736710645,9.5070894343662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,21,1,0.45300637086232504,1,price,2019-04-03 10:09:41,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag21_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.47558386411889597,0.01709360342812654,9.762044872431526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,bi,2097,1790,30,1,2.9048304438591,1,price,2019-04-03 10:12:58,12/08/2002,04/11/2009,23/09/2011,TISC_bi_nlag30_nseq1_e2097_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.45010615711252655,0.016906395031744185,9.679312064666947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISC,conv,100,1790,30,1,0.6102065761884053,1,price,2019-04-03 10:13:49,12/08/2002,04/11/2009,23/09/2011,TISC_conv_nlag30_nseq1_e100_b1790_n1_ind1_train12-08-2002_trainendteststart04-11-2009_testend23-09-2011,0.4734607218683652,0.017426981706333926,9.98638293981989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,1,1,0.40727216800053917,1,trix,2019-04-03 10:14:18,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag1_nseq1_e2097_b400_n1_ind1_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.6413043478260869,0.017555799575682898,0.09732148249488401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,1,1,0.4186493555704753,4,"trix,mama,ad,ppo",2019-04-03 10:14:47,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag1_nseq1_e2097_b400_n4_ind4_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.5217391304347826,0.01806493736865625,0.10020213856968917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,1,1,0.42858099142710365,14,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo",2019-04-03 10:15:17,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag1_nseq1_e2097_b400_n14_ind14_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.42391304347826086,0.01964616937757323,0.10581478452862365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,1,1,0.7752074877421061,52,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext,rocr,ht_dcphase,roc,ht_phasor,ht_dcperiod,ht_sine,dema,aroonosc,sma,bop,apo,adosc,willr,mfi,ultsoc,macd,dx,kama,trange,adxr,bbands,midpoint,ht_trendline,tema,ht_trendmode,stoch,plus_di,cci,plus_dm,ema,mom,price",2019-04-03 10:16:08,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag1_nseq1_e2097_b400_n52_ind52_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.5217391304347826,0.018162406158667,0.1008905048693851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,2,1,0.51016237338384,1,trix,2019-04-03 10:16:43,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag2_nseq1_e2097_b400_n1_ind1_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.5543478260869565,0.01779670297073007,0.0996627506472475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,2,1,0.5347222447395324,4,"trix,mama,ad,ppo",2019-04-03 10:17:20,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag2_nseq1_e2097_b400_n4_ind4_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.6304347826086957,0.019270742548166627,0.10192743897297057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,2,1,0.5774777213732402,14,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo",2019-04-03 10:17:59,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag2_nseq1_e2097_b400_n14_ind14_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.5978260869565217,0.018822445259206233,0.10037524121575002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,2,1,1.2769461035728455,52,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext,rocr,ht_dcphase,roc,ht_phasor,ht_dcperiod,ht_sine,dema,aroonosc,sma,bop,apo,adosc,willr,mfi,ultsoc,macd,dx,kama,trange,adxr,bbands,midpoint,ht_trendline,tema,ht_trendmode,stoch,plus_di,cci,plus_dm,ema,mom,price",2019-04-03 10:19:21,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag2_nseq1_e2097_b400_n52_ind52_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.43478260869565216,0.0219790271675615,0.11135335453060886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,conv,100,400,2,1,0.2558856924374898,1,trix,2019-04-03 10:19:43,10/02/2003,10/09/2004,21/01/2005,AAPL_conv_nlag2_nseq1_e100_b400_n1_ind1_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.6195652173913043,0.01773049687182885,0.09927487622935702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,conv,100,400,2,1,0.2670764684677124,4,"trix,mama,ad,ppo",2019-04-03 10:20:05,10/02/2003,10/09/2004,21/01/2005,AAPL_conv_nlag2_nseq1_e100_b400_n4_ind4_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.44565217391304346,0.024010128773416423,0.11805992317837874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,conv,100,400,2,1,0.2669640421867371,14,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo",2019-04-03 10:20:28,10/02/2003,10/09/2004,21/01/2005,AAPL_conv_nlag2_nseq1_e100_b400_n14_ind14_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.44565217391304346,0.026176068783032656,0.12398954747292974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,conv,100,400,2,1,0.27958064079284667,52,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext,rocr,ht_dcphase,roc,ht_phasor,ht_dcperiod,ht_sine,dema,aroonosc,sma,bop,apo,adosc,willr,mfi,ultsoc,macd,dx,kama,trange,adxr,bbands,midpoint,ht_trendline,tema,ht_trendmode,stoch,plus_di,cci,plus_dm,ema,mom,price",2019-04-03 10:20:51,10/02/2003,10/09/2004,21/01/2005,AAPL_conv_nlag2_nseq1_e100_b400_n52_ind52_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.4782608695652174,0.0233046596479853,0.11134571884820062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,3,1,0.6554441491762797,1,trix,2019-04-03 10:21:37,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag3_nseq1_e2097_b400_n1_ind1_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.6413043478260869,0.017543951985022146,0.09809955666155905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,3,1,0.669655712445577,4,"trix,mama,ad,ppo",2019-04-03 10:22:23,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag3_nseq1_e2097_b400_n4_ind4_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.6086956521739131,0.019681084760872193,0.10401865458890228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,bi,2097,400,3,1,0.726980964342753,14,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo",2019-04-03 10:23:12,10/02/2003,10/09/2004,21/01/2005,AAPL_bi_nlag3_nseq1_e2097_b400_n14_ind14_train10-02-2003_trainendteststart10-09-2004_testend21-01-2005,0.5,0.019577126783854176,0.1025134460082045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
