Company,LSTM Type,n_epoch,n_batch,n_lag,n_seq,Training Time,Indicator Number,Indicators,Trained Date,Start Train Date,End Train/Start Test Date,End Test Date,Model Name,Trend_t+1,APRE_t+1,RMSE_t+1,Trend_t+2,APRE_t+2,RMSE_t+2,Trend_t+3,APRE_t+3,RMSE_t+3,Trend_t+4,APRE_t+4,RMSE_t+4,Trend_t+5,APRE_t+5,RMSE_t+5,Trend_t+6,APRE_t+6,RMSE_t+6,Trend_t+7,APRE_t+7,RMSE_t+7,Trend_t+8,APRE_t+8,RMSE_t+8,Trend_t+9,APRE_t+9,RMSE_t+9,Trend_t+10,APRE_t+10,RMSE_t+10,Trend_t+11,APRE_t+11,RMSE_t+11,Trend_t+12,APRE_t+12,RMSE_t+12,Trend_t+13,APRE_t+13,RMSE_t+13,Trend_t+14,APRE_t+14,RMSE_t+14,Trend_t+15,APRE_t+15,RMSE_t+15,Trend_t+16,APRE_t+16,RMSE_t+16,Trend_t+17,APRE_t+17,RMSE_t+17,Trend_t+18,APRE_t+18,RMSE_t+18,Trend_t+19,APRE_t+19,RMSE_t+19,Trend_t+20,APRE_t+20,RMSE_t+20,Trend_t+21,APRE_t+21,RMSE_t+21,Trend_t+22,APRE_t+22,RMSE_t+22,Trend_t+23,APRE_t+23,RMSE_t+23,Trend_t+24,APRE_t+24,RMSE_t+24,Trend_t+25,APRE_t+25,RMSE_t+25,Trend_t+26,APRE_t+26,RMSE_t+26,Trend_t+27,APRE_t+27,RMSE_t+27,Trend_t+28,APRE_t+28,RMSE_t+28,Trend_t+29,APRE_t+29,RMSE_t+29,Trend_t+30,APRE_t+30,RMSE_t+30
BVSP,bi,2097,1385,1,1,0.30858487685521446,1,price,2019-04-02 19:41:55,02/01/2009,13/08/2014,28/04/2017,BVSP_bi_nlag1_nseq1_e2097_b1385_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.5052160953800298,0.012340777443839077,843.2873572154868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,bi,2097,1383,2,1,0.3851726492245992,1,price,2019-04-02 19:42:24,02/01/2009,13/08/2014,28/04/2017,BVSP_bi_nlag2_nseq1_e2097_b1383_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.503725782414307,0.012338770344344002,844.0221510693117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,conv,100,1383,2,1,0.11933200359344483,1,price,2019-04-02 19:42:41,02/01/2009,13/08/2014,28/04/2017,BVSP_conv_nlag2_nseq1_e100_b1383_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.5096870342771982,0.012341227798709983,842.8424099044074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,bi,2097,1381,3,1,0.468163526058197,1,price,2019-04-02 19:43:16,02/01/2009,13/08/2014,28/04/2017,BVSP_bi_nlag3_nseq1_e2097_b1381_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.5171385991058122,0.012350290291991492,843.246676940372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,conv,100,1381,3,1,0.1556421717007955,1,price,2019-04-02 19:43:36,02/01/2009,13/08/2014,28/04/2017,BVSP_conv_nlag3_nseq1_e100_b1381_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.503725782414307,0.012357253628152695,844.3358758798606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,bi,2097,1379,4,1,0.5681630770365397,1,price,2019-04-02 19:44:17,02/01/2009,13/08/2014,28/04/2017,BVSP_bi_nlag4_nseq1_e2097_b1379_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.503725782414307,0.012431182132150427,848.0883125210156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,conv,100,1379,4,1,0.17808269659678141,1,price,2019-04-02 19:44:39,02/01/2009,13/08/2014,28/04/2017,BVSP_conv_nlag4_nseq1_e100_b1379_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.4903129657228018,0.012415431145606023,849.0617153423112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,bi,2097,1377,5,1,0.6757841428120931,1,price,2019-04-02 19:45:28,02/01/2009,13/08/2014,28/04/2017,BVSP_bi_nlag5_nseq1_e2097_b1377_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.4828614008941878,0.012400565575707161,844.9785624626196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,conv,100,1377,5,1,0.19794906775156657,1,price,2019-04-02 19:45:51,02/01/2009,13/08/2014,28/04/2017,BVSP_conv_nlag5_nseq1_e100_b1377_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.4947839046199702,0.01244525068502909,851.3122165393513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,bi,2097,1375,6,1,0.7957176645596822,1,price,2019-04-02 19:46:48,02/01/2009,13/08/2014,28/04/2017,BVSP_bi_nlag6_nseq1_e2097_b1375_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.4843517138599106,0.01241546466928629,850.9525561187477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,conv,100,1375,6,1,0.22579407691955566,1,price,2019-04-02 19:47:13,02/01/2009,13/08/2014,28/04/2017,BVSP_conv_nlag6_nseq1_e100_b1375_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.4932935916542474,0.01246243221035586,851.7963697930545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,bi,2097,1373,7,1,0.88333527247111,1,price,2019-04-02 19:48:15,02/01/2009,13/08/2014,28/04/2017,BVSP_bi_nlag7_nseq1_e2097_b1373_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.503725782414307,0.012449374395280877,849.9756613616006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVSP,conv,100,1373,7,1,0.2381364067395528,1,price,2019-04-02 19:48:42,02/01/2009,13/08/2014,28/04/2017,BVSP_conv_nlag7_nseq1_e100_b1373_n1_ind1_train02-01-2009_trainendteststart13-08-2014_testend28-04-2017,0.5171385991058122,0.012398874143193147,847.4240500087412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
