n_lag,1,,,,
,,,,,
Row Labels,Average of Trend_t+1,Average of APRE_t+1,,,
ht_trendline,58.17%,1.61%,,,
natr,57.90%,1.61%,,,
midpoint,57.84%,1.61%,,,
mfi,57.84%,1.61%,,,
trix,57.77%,1.61%,,,
mama,57.77%,1.61%,,,
trima,57.77%,1.61%,,,
obv,57.70%,1.60%,,,
aroon,57.50%,1.61%,,,ht_trendline
stoch,57.10%,1.61%,,,natr
rocr,57.10%,1.60%,,,midpoint
cci,56.97%,1.61%,,,mfi
plus_dm,56.97%,1.61%,,,trix
t3,56.84%,1.61%,,,mama
kama,56.77%,1.61%,,,trima
ema,56.64%,1.61%,,,obv
tema,56.37%,1.61%,,,aroon
aroonosc,56.18%,1.61%,,,stoch
ultsoc,56.04%,1.61%,,,rocr
sma,55.91%,1.61%,,,cci
minus_di,55.44%,1.61%,,,plus_dm
trange,55.38%,1.61%,,,t3
stochrsi,55.31%,1.61%,,,kama
ht_phasor,55.31%,1.61%,,,ema
adosc,55.25%,1.61%,,,tema
bbands,55.18%,1.61%,,,aroonosc
ppo,55.11%,1.61%,,,ultsoc
stochf,55.11%,1.61%,,,sma
plus_di,54.91%,1.61%,,,minus_di
roc,54.85%,1.61%,,,trange
rsi,54.85%,1.61%,,,stochrsi
willr,54.78%,1.61%,,,ht_phasor
ht_dcperiod,54.71%,1.61%,,,adosc
cmo,54.65%,1.61%,,,bbands
midprice,53.92%,1.61%,,,ppo
adxr,53.72%,1.61%,,,stochf
dema,53.52%,1.61%,,,
bop,53.39%,1.61%,,,
ad,52.66%,1.61%,,,
dx,52.39%,1.61%,,,
price,52.06%,1.61%,,,
mom,51.86%,1.62%,,,
sar,51.73%,1.61%,,,
adx,51.73%,1.62%,,,
macdext,51.73%,1.61%,,,
apo,51.53%,1.61%,,,
wma,51.33%,1.61%,,,
ht_dcphase,51.06%,1.62%,,,
ht_sine,50.13%,1.61%,,,
minus_dm,50.00%,1.61%,,,
macd,49.93%,1.62%,,,
ht_trendmode,44.62%,1.61%,,,
Grand Total,54.64%,1.61%,,,
