Company,LSTM Type,n_epoch,n_batch,n_lag,n_seq,Training Time,Indicator Number,Indicators,Trained Date,Start Train Date,End Train/Start Test Date,End Test Date,Model Name,Trend_t+1,APRE_t+1,RMSE_t+1,Trend_t+2,APRE_t+2,RMSE_t+2,Trend_t+3,APRE_t+3,RMSE_t+3,Trend_t+4,APRE_t+4,RMSE_t+4,Trend_t+5,APRE_t+5,RMSE_t+5,Trend_t+6,APRE_t+6,RMSE_t+6,Trend_t+7,APRE_t+7,RMSE_t+7,Trend_t+8,APRE_t+8,RMSE_t+8,Trend_t+9,APRE_t+9,RMSE_t+9,Trend_t+10,APRE_t+10,RMSE_t+10,Trend_t+11,APRE_t+11,RMSE_t+11,Trend_t+12,APRE_t+12,RMSE_t+12,Trend_t+13,APRE_t+13,RMSE_t+13,Trend_t+14,APRE_t+14,RMSE_t+14,Trend_t+15,APRE_t+15,RMSE_t+15,Trend_t+16,APRE_t+16,RMSE_t+16,Trend_t+17,APRE_t+17,RMSE_t+17,Trend_t+18,APRE_t+18,RMSE_t+18,Trend_t+19,APRE_t+19,RMSE_t+19,Trend_t+20,APRE_t+20,RMSE_t+20,Trend_t+21,APRE_t+21,RMSE_t+21,Trend_t+22,APRE_t+22,RMSE_t+22,Trend_t+23,APRE_t+23,RMSE_t+23,Trend_t+24,APRE_t+24,RMSE_t+24,Trend_t+25,APRE_t+25,RMSE_t+25,Trend_t+26,APRE_t+26,RMSE_t+26,Trend_t+27,APRE_t+27,RMSE_t+27,Trend_t+28,APRE_t+28,RMSE_t+28,Trend_t+29,APRE_t+29,RMSE_t+29,Trend_t+30,APRE_t+30,RMSE_t+30
XLNX,bi,2097,4528,3,1,0.7786814093589782,1,trix,2019-03-28 16:23:11,01/01/2000,01/01/2018,01/01/2019,XLNX_bi_nlag3_nseq1_e2097_b4528_n1_ind1_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5378486055776892,0.015549082747595689,1.6972128462373055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,bi,2097,4528,3,1,0.6260096271832783,3,"trix,mama,ad",2019-03-28 16:24:11,01/01/2000,01/01/2018,01/01/2019,XLNX_bi_nlag3_nseq1_e2097_b4528_n3_ind3_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5179282868525896,0.015828769752388002,1.6937842428126648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,bi,2097,4528,3,1,27.965401029586793,8,"trix,mama,ad,ppo,trima,adx,minus_di,rsi",2019-03-28 16:52:28,01/01/2000,01/01/2018,01/01/2019,XLNX_bi_nlag3_nseq1_e2097_b4528_n8_ind8_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.50199203187251,0.017119598803640546,1.781606608712442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,bi,2097,4528,3,1,0.8589527249336243,20,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext",2019-03-28 16:53:39,01/01/2000,01/01/2018,01/01/2019,XLNX_bi_nlag3_nseq1_e2097_b4528_n20_ind20_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5059760956175299,0.017129082635106728,1.7714593391950082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,bi,2097,4528,3,1,1.4020593126614889,52,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext,rocr,ht_dcphase,roc,ht_phasor,ht_dcperiod,ht_sine,dema,aroonosc,sma,bop,apo,adosc,willr,mfi,ultsoc,macd,dx,kama,trange,adxr,bbands,midpoint,ht_trendline,tema,ht_trendmode,stoch,plus_di,cci,plus_dm,ema,mom,price",2019-03-28 16:55:28,01/01/2000,01/01/2018,01/01/2019,XLNX_bi_nlag3_nseq1_e2097_b4528_n52_ind52_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.4900398406374502,0.016510099672415898,1.7077989975442966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,conv,100,4528,3,1,0.23465489546457927,1,trix,2019-03-28 16:55:53,01/01/2000,01/01/2018,01/01/2019,XLNX_conv_nlag3_nseq1_e100_b4528_n1_ind1_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.47808764940239046,0.015569763222387005,1.6988568268247743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,conv,100,4528,3,1,0.12965379953384398,3,"trix,mama,ad",2019-03-28 16:56:12,01/01/2000,01/01/2018,01/01/2019,XLNX_conv_nlag3_nseq1_e100_b4528_n3_ind3_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.50199203187251,0.015617235652847412,1.7002587586495883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,conv,100,4528,3,1,0.13601455688476563,8,"trix,mama,ad,ppo,trima,adx,minus_di,rsi",2019-03-28 16:56:31,01/01/2000,01/01/2018,01/01/2019,XLNX_conv_nlag3_nseq1_e100_b4528_n8_ind8_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.4541832669322709,0.015736214513140275,1.6879010710640456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,conv,100,4528,3,1,0.15459110736846923,20,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext",2019-03-28 16:56:52,01/01/2000,01/01/2018,01/01/2019,XLNX_conv_nlag3_nseq1_e100_b4528_n20_ind20_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.4860557768924303,0.016024575282397237,1.697446890500045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,conv,100,4528,3,1,0.1657997449239095,52,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext,rocr,ht_dcphase,roc,ht_phasor,ht_dcperiod,ht_sine,dema,aroonosc,sma,bop,apo,adosc,willr,mfi,ultsoc,macd,dx,kama,trange,adxr,bbands,midpoint,ht_trendline,tema,ht_trendmode,stoch,plus_di,cci,plus_dm,ema,mom,price",2019-03-28 17:11:15,01/01/2000,01/01/2018,01/01/2019,XLNX_conv_nlag3_nseq1_e100_b4528_n52_ind52_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.46215139442231074,0.016467043287094973,1.7285402758901127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
