Company,LSTM Type,n_epoch,n_batch,n_lag,n_seq,Training Time,Indicator Number,Indicators,Trained Date,Start Train Date,End Train/Start Test Date,End Test Date,Model Name,Trend_t+1,APRE_t+1,RMSE_t+1,Trend_t+2,APRE_t+2,RMSE_t+2,Trend_t+3,APRE_t+3,RMSE_t+3,Trend_t+4,APRE_t+4,RMSE_t+4,Trend_t+5,APRE_t+5,RMSE_t+5,Trend_t+6,APRE_t+6,RMSE_t+6,Trend_t+7,APRE_t+7,RMSE_t+7,Trend_t+8,APRE_t+8,RMSE_t+8,Trend_t+9,APRE_t+9,RMSE_t+9,Trend_t+10,APRE_t+10,RMSE_t+10,Trend_t+11,APRE_t+11,RMSE_t+11,Trend_t+12,APRE_t+12,RMSE_t+12,Trend_t+13,APRE_t+13,RMSE_t+13,Trend_t+14,APRE_t+14,RMSE_t+14,Trend_t+15,APRE_t+15,RMSE_t+15,Trend_t+16,APRE_t+16,RMSE_t+16,Trend_t+17,APRE_t+17,RMSE_t+17,Trend_t+18,APRE_t+18,RMSE_t+18,Trend_t+19,APRE_t+19,RMSE_t+19,Trend_t+20,APRE_t+20,RMSE_t+20,Trend_t+21,APRE_t+21,RMSE_t+21,Trend_t+22,APRE_t+22,RMSE_t+22,Trend_t+23,APRE_t+23,RMSE_t+23,Trend_t+24,APRE_t+24,RMSE_t+24,Trend_t+25,APRE_t+25,RMSE_t+25,Trend_t+26,APRE_t+26,RMSE_t+26,Trend_t+27,APRE_t+27,RMSE_t+27,Trend_t+28,APRE_t+28,RMSE_t+28,Trend_t+29,APRE_t+29,RMSE_t+29,Trend_t+30,APRE_t+30,RMSE_t+30
CMCSA,bi,2097,4528,1,1,0.5143623789151509,1,trix,2019-03-28 23:48:27,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag1_nseq1_e2097_b4528_n1_ind1_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.47410358565737054,0.013244783493840616,0.6271831184918991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,bi,2097,4528,1,1,0.4020958423614502,4,"trix,mama,ad,ppo",2019-03-28 23:49:03,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag1_nseq1_e2097_b4528_n4_ind4_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5139442231075697,0.013289529610033685,0.6279853379589172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,bi,2097,4528,1,1,0.405169149239858,14,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo",2019-03-28 23:49:39,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag1_nseq1_e2097_b4528_n14_ind14_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.450199203187251,0.013284543523465128,0.6294954567575199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,bi,2097,4528,1,1,0.6392773350079854,52,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext,rocr,ht_dcphase,roc,ht_phasor,ht_dcperiod,ht_sine,dema,aroonosc,sma,bop,apo,adosc,willr,mfi,ultsoc,macd,dx,kama,trange,adxr,bbands,midpoint,ht_trendline,tema,ht_trendmode,stoch,plus_di,cci,plus_dm,ema,mom,price",2019-03-28 23:50:30,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag1_nseq1_e2097_b4528_n52_ind52_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5139442231075697,0.013232485934766438,0.6308694784736875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,bi,2097,4528,3,1,0.5585240562756856,1,trix,2019-03-29 00:04:37,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag3_nseq1_e2097_b4528_n1_ind1_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.4860557768924303,0.013218519498942928,0.6262945648964938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,bi,2097,4528,3,1,0.6440963506698608,4,"trix,mama,ad,ppo",2019-03-29 00:05:36,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag3_nseq1_e2097_b4528_n4_ind4_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.47808764940239046,0.01354037688540796,0.6393656569705658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,bi,2097,4528,3,1,0.7674584666887919,14,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo",2019-03-29 00:06:44,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag3_nseq1_e2097_b4528_n14_ind14_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5418326693227091,0.013240643360954102,0.6278767798775551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,bi,2097,4528,3,1,1.412659517923991,52,"trix,mama,ad,ppo,trima,adx,minus_di,rsi,obv,natr,minus_dm,aroon,sar,cmo,stochrsi,stochf,wma,midprice,t3,macdext,rocr,ht_dcphase,roc,ht_phasor,ht_dcperiod,ht_sine,dema,aroonosc,sma,bop,apo,adosc,willr,mfi,ultsoc,macd,dx,kama,trange,adxr,bbands,midpoint,ht_trendline,tema,ht_trendmode,stoch,plus_di,cci,plus_dm,ema,mom,price",2019-03-29 00:08:33,01/01/2000,01/01/2018,01/01/2019,CMCSA_bi_nlag3_nseq1_e2097_b4528_n52_ind52_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5338645418326693,0.013101818196108462,0.6224514945082895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,conv,100,4528,3,1,0.19790223042170207,1,trix,2019-03-29 00:08:56,01/01/2000,01/01/2018,01/01/2019,CMCSA_conv_nlag3_nseq1_e100_b4528_n1_ind1_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5338645418326693,0.013195139460763308,0.6255406010858309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,conv,100,4528,3,1,0.12056397596995036,4,"trix,mama,ad,ppo",2019-03-29 00:09:14,01/01/2000,01/01/2018,01/01/2019,CMCSA_conv_nlag3_nseq1_e100_b4528_n4_ind4_train01-01-2000_trainendteststart01-01-2018_testend01-01-2019,0.5219123505976095,0.013204543533129595,0.6257393465578394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
