date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD_Signal,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2005-09-27,18.4333,-2128779.8261,,,,,,,,,,,-0.7609,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2576944.0,,,,,,,,,,,,,,,,,,,,,,
2005-09-28,19.5794,12585955.813,,,,,,,,,,,0.9023,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,17986864.0,,,,,,,19.1,,,,,,,,,,1.33,,,,,
2005-09-29,19.3025,11020204.938,,,,,,,,,,,-0.3958,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,15096247.0,,,,,,,19.1143,,,,,,,,,,0.48,,,,,
2005-09-30,20.0665,18623689.7886,,,,,,,,,,,0.8621,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23469705.0,,,,,,,19.1436,,,,,,,,,,0.87,,,,,
2005-10-03,20.5345,19791533.9651,,,,,,,,,,,0.7059,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,26305898.0,,,,,,,19.2008,,,,,,,,,,0.85,,,,,
2005-10-04,21.1649,21491528.8518,,,,,,,,,,,0.6792,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,31047989.0,,,,,,,19.3028,,,,,,,,,,1.06,,,,,
2005-10-05,21.2031,22963484.1733,,,,,,,,,,,0.1786,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,33472386.0,,,,,,,19.4626,,,,87.5,89.2543,,,,,0.56,,,,,
2005-10-06,21.566,21232438.5733,,,,,,,,,,,-0.0333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,37800000.0,,,,,,,19.6145,,,,85.1064,87.4345,,,,,0.8,,,,,
2005-10-07,21.1554,20979958.6983,,,,,,,,,,,-0.125,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,35780161.0,,,,,,,19.8176,,77.3767,84.6885,59.5238,77.3767,,,,,0.8,,,,,
2005-10-10,21.2127,21207995.9614,4592271.189,,,,,,,,,,-0.3684,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,37224397.0,,,,,,,20.0086,,64.6631,76.4914,49.359,64.6631,,,,,0.19,,,,,
2005-10-11,20.993,20634033.4814,3600115.3262,,,,,,,,,,-0.56,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,35174531.0,,,,,,,20.1881,,42.4276,61.4891,18.4,42.4276,,,,,0.5,,,,,
2005-10-12,20.7829,19619235.8961,2544060.0301,,,,,,,,,,-0.3415,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,32727078.0,,,,,,,20.3568,,25.5275,44.2061,8.8235,25.5275,,,,,0.41,,,,,
2005-10-13,20.7351,20402654.2461,2130028.6994,,,,,,,,,,0.025,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,31302681.0,,,,,,,20.5154,,17.6856,28.5469,25.8333,17.6856,,,,,0.4,,,,,
2005-10-14,21.27,21657648.2279,2166329.5402,,,,,,,,,,0.7636,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,33682842.0,,,,,,,20.6644,,40.5523,27.9218,87.0,40.5523,,,,,0.69,,,,,
2005-10-17,21.0885,21960235.0387,2080518.4567,,,,,,,,,,-0.1892,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,32438874.0,,,,,,,20.8046,,60.2778,39.5052,68.0,60.2778,,,,,0.42,,,,,
2005-10-18,20.525,18527513.3124,764046.2408,,,,,,,,,,-0.6,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,27571582.0,,,,,,,20.9363,,56.1111,52.3137,13.3333,56.1111,,,,,0.95,,,,,
2005-10-19,20.4199,20152035.2457,672924.0185,,,,,,,,,,0.0133,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23641287.0,,,,,,,23.0,,38.509,51.6326,34.1935,38.509,,,,,0.75,,,,,
2005-10-20,20.0761,19361103.5156,322811.739,,,,,,,,,,-0.5238,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,21923056.0,,,,,,,22.9785,,19.4982,38.0394,10.9677,19.4982,,,,,0.63,,,,,
2005-10-21,20.9739,20215456.7425,422077.1297,,,,,,,,,,0.6667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,24381501.0,,,,,,,22.9572,,38.6206,32.2093,70.7006,38.6206,,,,,1.41,,,,,
2005-10-24,21.3082,21246830.523,752479.4351,,,,,,,23.2007,21.589,19.9773,0.7317,68.7791,,,,21.589,,,,,,,,0.0,,,,,,,,,,,20.94,21.05,,2.3,,,25745576.0,,4.2,,,,,22.9361,21.589,58.2207,38.7798,92.9936,58.2207,,,,,0.41,21.8443,,,-17.6923,21.8101
2005-10-25,21.0121,20911863.0944,712656.2478,,,,0.0,35.0,35.0,22.9531,21.724,20.4949,-0.2976,51.4132,32.6877,,24.2023,21.6281,,,,,,,,0.0,22.2888,,,,,,,,,69.3928,21.395,21.1,17.8069,2.435,2.7,3.2614,24573190.0,29.1784,3.99,,13.9896,1.1399,66.3438,22.9153,21.724,77.2472,58.0295,68.0473,77.2472,,,,,0.84,21.8821,,,-26.3158,21.8493
