date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,0.5103,6411700.0,,,,,,,,0.9527,,,,,,,,,,,0.0,,,,,,,,,,,,6411700.0,,,,,,,,,,,,,,,,,,,
1998-01-05,0.4987,6454183.9416,,,,,,,,-0.4526,,,,,,,,,,,0.0,,,,,,,,,,,,591400.0,,,,,,,13.5,,,,,,,1.37,,,,,
1998-01-06,0.5948,16102215.1797,,,,,,,,0.5714,,,,,,,,,,,0.0,,,,,,,,,,,,16774200.0,,,,,,,13.5306,,,,,,,5.25,,,,,
1998-01-07,0.5496,8893184.4105,,,,,,,,-0.7751,,,,,,,,,,,0.0,,,,,,,,,,,,7474000.0,,,,,,,13.66,,,,,,,1.69,,,,,
1998-01-08,0.5713,12266361.7914,,,,,,,,0.4464,,,,,,,,,,,0.0,,,,,,,,,,,,14384900.0,,,,,,,13.7868,,,,,,,1.68,,,,,
1998-01-09,0.5713,10192220.615,,,,,,,,0.0374,,,,,,,,,,,0.0,,,,,,,,,,,,14384900.0,,,,,,,13.9111,,,,,,,1.87,,,,,
1998-01-12,0.5731,12528308.615,,,,,,,,0.54,,,,,,,,,,,0.0,,,,,,,,,,,,18995600.0,,,,,,,14.0328,,,66.6667,,,,1.5,,,,,
1998-01-13,0.6124,16996037.1864,,,,,,,,0.7857,,,,,,,,,,,0.0,,,,,,,,,,,,24681800.0,,,,,,,14.1522,,,95.5224,,,,1.37,,,,,
1998-01-14,0.6203,19359809.6501,,,,,,,,-0.1739,,,,,,,,,,,0.0,,,,,,,,,,,,29943100.0,,,,,,,14.2691,,85.2852,93.6667,,,,0.69,,,,,
1998-01-15,0.6027,19403999.9156,4252023.4791,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,24949600.0,,,,,,,14.3837,,87.5311,73.4043,,,,1.13,,,,,
1998-01-16,0.5907,17908271.9156,3412466.7535,,,,,,,-0.84,,,,,,,,,,,0.0,,,,,,,,,,,,22750000.0,,,,,,,14.4961,,75.6667,59.9291,,,,0.75,,,,,
1998-01-20,0.5986,18502173.3649,2947756.1221,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,24906800.0,,,,,,,14.6062,,57.4074,38.8889,,,,0.69,,,,,
1998-01-21,0.5939,19181493.3649,2705816.6708,,,,,,,0.32,,,,,,,,,,,0.0,,,,,,,,,,,,23208500.0,,,,,,,14.714,,41.3934,25.3623,,,,0.5,,,,,
1998-01-22,0.6046,19520183.6304,2468623.1915,,,,,,,0.4956,,,,,,,,,,,0.0,,,,,,,,,,,,26152500.0,,,,,,,14.8197,,40.7448,57.9832,,,,1.13,,,,,
1998-01-23,0.6124,19804065.4486,2237495.2384,,,,,,,0.2955,,,,,,,,,,,0.0,,,,,,,,,,,,28234300.0,,,,,,,14.9234,,54.1124,78.9916,,,,0.44,,,,,
1998-01-26,0.6105,20693165.4486,2222429.6904,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,26926800.0,,,,,,,15.0249,,70.3081,73.9496,,,,0.75,,,,,
1998-01-27,0.6005,20039621.9703,1806281.7968,,,,,,,-0.1014,,,,,,,,,,,0.0,,,,,,,,,,,,25924700.0,,,,,,,15.1244,,66.6667,47.0588,,,,0.69,,,,,
1998-01-28,0.6027,20741257.9703,1695079.8587,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,27274000.0,,,,,,,15.2219,,57.1503,50.4425,,,,0.75,,,,,
1998-01-29,0.581,18849457.9703,893553.6242,,,,,,,-0.7097,,,,,,,,,,,0.0,,,,,,,,,,,,25382200.0,,,,,,,15.3175,,32.5004,0.0,,,,0.69,,,,,
1998-01-30,0.575,17679780.551,112254.2926,,,,,,20.5957,0.0,-0.4406,,,,18.5865,,,,,,0.0,,,,,,17.815,16.75,,2.7,,,23931800.0,,6.64,,,,,15.4111,18.5865,18.203,4.1667,,,,0.62,18.8868,,,-26.0,18.9094
