date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,4.9919,358342.029,,,,,,,,-0.2754,,,,,,,,,,,0.0,,,,,,,,,,,,797600.0,,,,,,,,,,,,,,,,,,,
1998-01-05,5.061,625846.029,,,,,,,,0.62,,,,,,,,,,,0.0,,,,,,,,,,,,1912200.0,,,,,,,39.5,,,,,,,1.5,,,,,
1998-01-06,5.2311,927258.2427,,,,,,,,0.5954,,,,,,,,,,,0.0,,,,,,,,,,,,3491600.0,,,,,,,39.5213,,,,,,,2.62,,,,,
1998-01-07,5.1534,385970.7427,,,,,,,,-0.5089,,,,,,,,,,,0.0,,,,,,,,,,,,1159900.0,,,,,,,39.6009,,,,,,,1.12,,,,,
1998-01-08,5.2002,501036.3427,,,,,,,,0.448,,,,,,,,,,,0.0,,,,,,,,,,,,2266300.0,,,,,,,39.6789,,,,,,,1.25,,,,,
1998-01-09,5.0844,20123.7377,,,,,,,,-0.6303,,,,,,,,,,,0.0,,,,,,,,,,,,1436900.0,,,,,,,39.7553,,,,,,,1.19,,,,,
1998-01-12,5.0228,-306917.4052,,,,,,,,0.2114,,,,,,,,,,,0.0,,,,,,,,,,,,314700.0,,,,,,,39.8302,,,18.3976,,,,1.75,,,,,
1998-01-13,4.9611,-415282.3687,,,,,,,,-0.365,,,,,,,,,,,0.0,,,,,,,,,,,,-827300.0,,,,,,,43.5,,,19.8718,,,,1.37,,,,,
1998-01-14,4.7923,-1134565.0353,,,,,,,,-0.9133,,,,,,,,,,,0.0,,,,,,,,,,,,-1697400.0,,,,,,,43.4613,,13.8398,3.25,,,,1.5,,,,,
1998-01-15,4.8379,-1030007.8925,-594758.7992,,,,,,,0.4286,,,,,,,,,,,0.0,,,,,,,,,,,,-965500.0,,,,,,,43.3671,,16.1675,25.3807,,,,1.75,,,,,
1998-01-16,4.8379,-739139.8074,-450481.5123,,,,,,,-0.0638,,,,,,,,,,,0.0,,,,,,,,,,,,-965500.0,,,,,,,43.2136,,18.7263,27.5482,,,,0.94,,,,,
1998-01-20,4.8847,-565473.1407,-295248.5454,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,-444500.0,,,,,,,43.0647,,34.3702,50.1818,,,,0.75,,,,,
1998-01-21,4.8145,-964473.1407,-331857.9184,,,,,,,0.08,,,,,,,,,,,0.0,,,,,,,,,,,,-919500.0,,,,,,,42.9202,,39.41,40.5,,,,0.75,,,,,
1998-01-22,4.7454,-1072153.1407,-350927.3966,,,,,,,-0.2,,,,,,,,,,,0.0,,,,,,,,,,,,-1457900.0,,,,,,,42.7801,,38.5606,25.0,,,,1.25,,,,,
1998-01-23,4.7146,-847073.3535,-255209.7602,,,,,,,-0.0691,,,,,,,,,,,0.0,,,,,,,,,,,,-2140400.0,,,,,,,42.5889,,36.3009,43.4028,,,,1.88,,,,,
1998-01-26,4.6074,-1122501.3535,-280487.8399,,,,,,,-0.58,,,,,,,,,,,0.0,,,,,,,,,,,,-2698700.0,,,,,,,42.3095,,27.1991,13.1944,,,,1.5,,,,,
1998-01-27,4.6074,-1228503.7925,-299058.0267,,,,,,,0.3902,,,,,,,,,,,0.0,,,,,,,,,,,,-2698700.0,,,,,,,42.044,,23.4718,13.8182,,,,0.82,,,,,
1998-01-28,4.6764,-942627.6457,-188507.2358,,,,,,,0.4037,,,,,,,,,,,0.0,,,,,,,,,,,,-1808400.0,,,,,,,41.7918,,22.9301,41.7778,,,,1.09,,,,,
1998-01-29,4.6382,-881194.0174,-106597.8273,,,,,,,-0.2212,,,,,,,,,,,0.0,,,,,,,,,,,,-2342400.0,,,,,,,41.5522,,29.7022,33.5106,,,,1.13,,,,,
1998-01-30,4.7454,-469697.7211,67531.9184,,,,,,42.721,0.3086,-72.3843,,,,39.595,,,,,,0.0,,,,,,39.91,40.25,,5.6,,,-1747200.0,,4.3,,,,,41.3246,39.595,53.6676,85.7143,,,,1.62,39.545,,,-76.9231,38.8313
1998-02-02,4.7306,-1457400.9211,-181641.6509,,,,90.0,-80.0,42.6288,-0.4,-40.009,-19.0647,,4.776,39.4793,,,,,,0.0,38.4961,,,,39.4823,39.91,40.25,20.6674,5.32,-2.12,3.5214,-2994300.0,18.7833,4.835,,-5.2346,0.9477,40.4676,41.1084,39.489,58.1416,55.2,,,,1.25,39.3111,,,-78.7692,38.7156
1998-02-03,4.722,-1307023.5878,-219216.0822,,,,85.0,-80.0,42.4445,0.08,-57.2206,-19.5975,,8.2932,39.3679,,,,,,0.0,38.4871,,,,33.4414,39.91,40.25,21.5204,5.424,-2.75,3.4493,-4019600.0,18.2243,4.5932,,-6.6975,0.933,40.2012,40.9029,39.3515,64.4381,52.4,,,,0.75,39.0765,,,-79.8462,38.6033
1998-02-04,4.8379,-402745.3021,73066.2033,,,,80.0,-80.0,41.9414,0.7143,-24.5793,-9.4165,,0.2013,39.3567,,,,,,0.0,38.5359,,,,31.3285,39.785,39.875,20.0547,5.1528,-3.19,3.4213,-2864500.0,20.1356,5.1736,,-7.5165,0.9248,45.2917,40.7078,39.192,65.8667,90.0,,,,1.75,38.8567,,,-60.8696,38.5936
1998-02-05,4.8613,-1262821.3021,-87666.6983,,,,75.0,-70.0,41.5524,0.0,37.3329,-7.47,,6.7595,39.3646,,,,,,0.0,38.5762,,,,40.5449,39.785,39.875,19.3568,4.8952,-2.37,3.3461,-1840600.0,22.1634,5.6049,,-5.6685,0.9433,46.265,40.5224,39.0735,73.1333,77.0,,,,0.88,38.6762,,,-57.5652,38.6172
1998-02-06,4.9303,-1049177.99,-77473.9498,,,,70.0,-70.0,41.0439,0.5541,69.2909,-1.8486,,11.2101,39.4251,,,,,,0.0,38.6316,,,,40.2186,39.315,39.595,18.1695,4.6504,-2.19,3.3306,-758600.0,22.7574,5.8247,,-5.1908,0.9481,49.0757,37.0,38.964,81.8571,78.5714,,,,1.57,38.5416,,,-42.1965,38.7055
1998-02-09,5.008,-1253748.6566,-131351.7694,,,-0.9442,65.0,-65.0,40.8906,0.3333,136.9841,4.092,,14.8878,39.5399,,,,,,0.0,38.6529,,,,47.5256,39.065,39.44,17.4105,4.4179,-0.62,3.2454,636200.0,23.5013,5.9634,-2.3882,-1.503,0.985,52.04600000000001,37.0363,38.933,80.9373,87.2404,,,,1.06,38.4725,,,-25.6148,38.8641
1998-02-10,4.9685,-2029804.2122,-388378.3933,,,-0.7652,60.0,-60.0,40.7949,-0.3086,125.8534,0.9439,,12.8285,39.6132,,,,,,0.0,38.6671,,,,46.7671,39.005,39.03,17.5669,4.377,-0.44,3.2081,-760700.0,22.7373,5.6653,-1.9358,-1.0798,0.9892,50.472,37.1168,38.911,81.1855,77.7448,76.6955,,,0.81,38.4651,,,-18.4729,38.9953
1998-02-11,4.9772,-2216990.5758,-517777.8194,,,-0.489,55.0,35.0,40.8206,0.2841,121.1336,1.629,,11.3117,39.6863,,,,,,0.0,38.6763,,,,46.1095,39.005,39.03,17.4667,4.2881,0.13,3.1514,612000.0,21.9223,5.3820000000000014,-1.238,0.32299999999999995,1.0032,50.8145,37.1956,38.9175,76.9951,66.0,78.6971,,,0.88,38.5105,,,-16.7488,39.1352
1998-02-12,5.0844,345251.9329,291615.7426,,,-0.1208,50.0,50.0,41.1932,0.6098,111.7328,9.7909,,3.1339,39.8352,,,,,,0.0,38.8151,,,,57.0161,39.315,39.25,20.7833,5.4437,2.37,3.2785,3714800.0,19.5202,5.1129,-0.3061,6.0957,1.061,54.8954,37.2729,39.036,78.3447,91.2892,100.0,,,2.87,38.6099,,61.9657,-5.5556,39.3573
1998-02-13,5.3543,1474899.1329,955653.9687,,,0.2749,45.0,55.0,42.1348,0.6507,235.308,26.0489,,21.3979,40.1785,,,,,,0.0,39.256,,,,65.4703,40.41,40.815,18.0614,5.1715,4.19,3.3892,6806900.0,27.8951,7.9873,0.6956,10.6752,1.1068,63.0244,37.3997,39.2455,79.152,80.1667,100.0,,,3.75,38.7655,,61.7884,-15.5963,39.7768
1998-02-17,5.3383,1315026.7925,1089559.8648,,,0.7051,40.0,55.0,42.8378,-0.5691,205.7474,24.6452,,21.3979,40.4767,,,,,,0.0,39.6166,,,,69.1834,40.41,40.815,16.8938,4.913,4.06,3.4465,5650900.0,26.0918,7.5879,1.7824,10.3439,1.1034,62.3226,37.6889,39.4485,83.152,78.0,94.4087,,,1.88,38.9728,,61.3618,-17.3001,40.1639
