date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Hist,MACD_Signal,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,9.636,242652.6316,,,,,,,,,,,-0.1842,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,768400.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,10.073,724660.653,,,,,,,,,,,0.631,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2607900.0,,,,,,,27.31,,,,,,,,,,1.94,,,,,
1998-01-06,9.6605,140066.8477,,,,,,,,,,,-0.7699,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1848600.0,,,,,,,27.3319,,,,,,,,,,1.31,,,,,
1998-01-07,9.2444,-555875.1813,,,,,,,,,,,-0.8623,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,888200.0,,,,,,,29.5,,,,,,,,,,1.38,,,,,
1998-01-08,9.2864,-7220.1089,,,,,,,,,,,0.1739,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2109400.0,,,,,,,29.4675,,,,,,,,,,0.69,,,,,
1998-01-09,8.7409,-798618.1671,,,,,,,,,,,-0.7573,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,571400.0,,,,,,,29.3994,,,,,,,,,,2.06,,,,,
1998-01-12,8.7409,-715751.5004,,,,,,,,,,,0.537,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,571400.0,,,,,,,29.2524,,,,19.3333,14.6227,,,,,1.62,,,,,
1998-01-13,9.2654,1654448.4996,,,,,,,,,,,0.6267,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2941600.0,,,,,,,29.0475,,,,67.7143,32.3492,,,,,1.5,,,,,
1998-01-14,8.7409,-251415.2367,,,,,,,,,,,-0.8242,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,532800.0,,,,,,,28.8508,,40.0846,29.0188,33.2061,40.0846,,,,,1.82,,,,,
1998-01-15,9.2234,1095720.6749,351481.0867,,,,,,,,,,0.6575,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2811600.0,,,,,,,28.6619,,62.2661,44.9,85.8779,62.2661,,,,,1.81,,,,,
1998-01-16,9.3108,678187.3416,306057.0912,,,,,,,,,,0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4064200.0,,,,,,,28.4807,,67.4724,56.6077,83.3333,67.4724,,,,,0.75,,,,,
1998-01-20,9.636,1349316.887,473192.3947,,,,,,,,,,0.6364,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4862300.0,,,,,,,28.3066,,88.9096,72.8827,97.5177,88.9096,,,,,1.0,,,,,
1998-01-21,9.3528,509733.9083,231408.3988,,,,,,,,,,-0.7979,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3453000.0,,,,,,,28.1396,,83.2151,79.8657,68.7943,83.2151,,,,,1.0,,,,,
1998-01-22,9.0241,-230866.0917,-124185.8176,,,,,,,,,,-0.8519,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2583600.0,,,,,,,27.9792,,66.218,79.4476,32.342,66.218,,,,,1.0,,,,,
1998-01-23,9.3982,727833.9083,46674.35,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3542300.0,,,,,,,27.8252,,56.2696,68.5676,67.6724,56.2696,,,,,1.57,,,,,
