date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD,MACDEXT,MACD_Hist,MACD,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,8.9134,276200.0,,,,,,,,,,,0.537,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,276200.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,9.0916,763261.7284,,,,,,,,,,,0.8457,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,980700.0,,,,,,,35.88,,,,,,,,,,1.62,,,,,
1998-01-06,9.3602,1043797.0225,,,,,,,,,,,0.6684,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1813400.0,,,,,,,35.9062,,,,,,,,,,1.87,,,,,
1998-01-07,9.0465,694997.0225,,,,,,,,,,,-0.75,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1115800.0,,,,,,,35.9881,,,,,,,,,,2.0,,,,,
1998-01-08,9.256,1079711.3082,,,,,,,,,,,0.6457,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1654400.0,,,,,,,36.0683,,,,,,,,,,1.75,,,,,
1998-01-09,8.556000000000001,522126.5625,,,,,,,,,,,-0.6513,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,338500.0,,,,,,,40.0,,,,,,,,,,4.13,,,,,
1998-01-12,8.5108,792522.5625,,,,,,,,,,,0.625,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-392300.0,,,,,,,39.9475,,,,39.9531,24.3772,,,,,2.0,,,,,
1998-01-13,8.6608,737070.7106,,,,,,,,,,,0.2346,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,356300.0,,,,,,,39.8361,,,,28.7021,39.0625,,,,,1.62,,,,,
1998-01-14,8.8989,1084542.9998,,,,,,,,,,,0.5301,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,762500.0,,,,,,,39.727,,36.9515,42.1992,42.1992,63.1579,,,,,1.66,,,,,
1998-01-15,9.0179,1201369.6664,237555.4441,,,,,,,,,,0.42,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1436500.0,,,,,,,39.6201,,43.6336,59.9994,59.9994,77.7778,,,,,1.5,,,,,
1998-01-16,9.0917,977198.9998,168586.9292,,,,,,,,,,-0.08,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1890900.0,,,,,,,39.5153,,59.413,76.0403,76.0403,87.1854,,,,,0.87,,,,,
1998-01-20,9.0607,1505988.3331,293297.6037,,,,,,,,,,0.04,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1182700.0,,,,,,,39.4126,,72.3297,80.9492,80.9492,77.8846,,,,,1.5,,,,,
1998-01-21,9.0179,1561013.9741,335160.347,,,,,,,,,,0.2436,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,753500.0,,,,,,,39.3119,,78.4602,78.391,78.391,70.1031,,,,,1.56,,,,,
1998-01-22,8.9274,1716378.68,371251.1168,,,,,,,,,,0.3109,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,157100.0,,,,,,,39.2133,,73.7232,61.8292,61.8292,37.5,,,,,1.19,,,,,
