date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
11/02/2008,5.5779,-884900,,,,,,,,-1,,,,,,,,,,,0,,,,,,,,,,,,884900,,,,,,,,,,,,,,,,,,,
12/02/2008,5.268,-1271330.435,,,,,,,,-0.5435,,,,,,,,,,,0,,,,,,,,,,,,-384800,,,,,,,16.35,,,,,,,1.84,,,,,
13/02/2008,5.3416,-1184834.86,,,,,,,,-0.0973,,,,,,,,,,,0,,,,,,,,,,,,-167600,,,,,,,16.3161,,,,,,,1.13,,,,,
14/02/2008,5.1906,-1704479.304,,,,,,,,-0.6173,,,,,,,,,,,0,,,,,,,,,,,,-700400,,,,,,,16.2825,,,,,,,0.81,,,,,
15/02/2008,5.1053,-1638394.689,,,,,,,,-0.1846,,,,,,,,,,,0,,,,,,,,,,,,-1090900,,,,,,,16.2493,,,,,,,0.65,,,,,
19/02/2008,5.1325,-1612361.355,,,,,,,,0.5111,,,,,,,,,,,0,,,,,,,,,,,,-1012800,,,,,,,16.1803,,,,,,,0.45,,,,,
20/02/2008,5.0356,-1872961.355,,,,,,,,0.1667,,,,,,,,,,,0,,,,,,,,,,,,-1794600,,,,,,,16.1127,,,14.2857,,,,0.35,,,,,
21/02/2008,4.8226,-1994416.911,,,,,,,,-0.3194,,,,,,,,,,,0,,,,,,,,,,,,-2051800,,,,,,,16.0465,,,9.7938,,,,0.74,,,,,
22/02/2008,5.0511,-1598392.587,,,,,,,,0.8108,,,,,,,,,,,0,,,,,,,,,,,,-1509100,,,,,,,15.9329,,29.8752,65.5462,,,,0.74,,,,,
25/02/2008,5.2951,-1444392.587,-78398.1179,,,,,,,0.7523,,,,,,,,,,,0,,,,,,,,,,,,-1203900,,,,,,,15.8227,,53.0895,83.9286,,,,1.09,,,,,
26/02/2008,5.1673,-1625126.833,-76498.3075,,,,,,,-0.5616,,,,,,,,,,,0,,,,,,,,,,,,-1629500,,,,,,,15.7158,,71.2535,64.2857,,,,0.73,,,,,
27/02/2008,4.9194,-1707759.186,-95058.8331,,,,,,,-0.7206,,,,,,,,,,,0,,,,,,,,,,,,-1816800,,,,,,,15.6121,,58.1349,26.1905,,,,0.83,,,,,
28/02/2008,4.8071,-1784211.567,-118335.8208,,,,,,,-0.9524,,,,,,,,,,,0,,,,,,,,,,,,-1901300,,,,,,,15.5116,,30.5888,1.2903,,,,0.42,,,,,
29/02/2008,4.7141,-1872890.355,-145316.401,,,,,,,-0.9697,,,,,,,,,,,0,,,,,,,,,,,,-1995700,,,,,,,15.414,,9.5327,1.1173,,,,0.66,,,,,
03/03/2008,4.718,-1784640.355,-115063.7837,,,,,,,0.1875,,,,,,,,,,,0,,,,,,,,,,,,-1854500,,,,,,,15.2835,,3.1967,7.1823,,,,0.16,,,,,
04/03/2008,4.5514,-1826293.876,-105480.7621,,,,,,,-0.7042,,,,,,,,,,,0,,,,,,,,,,,,-1949900,,,,,,,15.1218,,6.8316,12.1951,,,,0.71,,,,,
05/03/2008,4.5437,-1779123.288,-76962.4513,,,,,,,0.4706,,,,,,,,,,,0,,,,,,,,,,,,-2039000,,,,,,,14.9075,,11.2211,14.2857,,,,0.17,,,,,
06/03/2008,4.5514,-1641923.288,-14644.7377,,,,,,,0.8333,,,,,,,,,,,0,,,,,,,,,,,,-1833200,,,,,,,14.706,,14.118,15.873,,,,0.18,,,,,
07/03/2008,4.5127,-1679443.288,242.0303,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,-2020800,,,,,,,14.5167,,14.7477,14.0845,,,,0.25,,,,,
10/03/2008,4.474,-1651162.519,15308.4957,,,,,,12.7505,-0.4231,-118.2806,,,,12.7505,,,,,,0,,,,,,12.975,13.805,,4.64,,,-2265900,,1.04,,,,,14.3387,12.7505,19.6525,29,,,,0.52,12.7968,,,-94.3026,12.3402
