date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2001-01-30,16.88,-284723.7113,,,,,,,,-0.6443,,,,,,,,,,,0.0,,,,,,,,,,,,812300.0,,,,,,,,,,,,,,,,,,,
2001-01-31,13.5,-1458617.3113,,,,,,,,-0.968,,,,,,,,,,,0.0,,,,,,,,,,,,-400400.0,,,,,,,18.19,,,,,,,3.75,,,,,
2001-02-01,14.19,-973762.2389,,,,,,,,0.7681,,,,,,,,,,,0.0,,,,,,,,,,,,268700.0,,,,,,,18.1425,,,,,,,1.38,,,,,
2001-02-02,14.13,-1021601.745,,,,,,,,0.1605,,,,,,,,,,,0.0,,,,,,,,,,,,-506300.0,,,,,,,18.0397,,,,,,,0.81,,,,,
2001-02-05,14.13,-1116324.3257,,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,-506300.0,,,,,,,17.9389,,,,,,,0.62,,,,,
2001-02-06,14.0,-870357.6590000001,,,,,,,,-0.1111,,,,,,,,,,,0.0,,,,,,,,,,,,-1244200.0,,,,,,,17.8401,,,,,,,0.25,,,,,
2001-02-07,13.06,-2077282.1873,,,,,,,,-0.8868,,,,,,,,,,,0.0,,,,,,,,,,,,-2605200.0,,,,,,,17.7433,,,3.8462,,,,1.06,,,,,
2001-02-08,13.06,-2339597.9768,,,,,,,,-0.3684,,,,,,,,,,,0.0,,,,,,,,,,,,-2605200.0,,,,,,,17.6484,,,3.8462,,,,0.19,,,,,
2001-02-09,12.0,-3216506.4514,,,,,,,,-0.8898,,,,,,,,,,,0.0,,,,,,,,,,,,-3706000.0,,,,,,,17.5554,,4.0908,4.5802,,,,1.18,,,,,
2001-02-12,11.06,-3657178.7203,-1135228.3841,,,,,,,-0.8319,,,,,,,,,,,0.0,,,,,,,,,,,,-4258000.0,,,,,,,17.3852,,4.0908,3.8462,,,,1.19,,,,,
2001-02-13,11.44,-3483293.006,-1046062.3795,,,,,,,0.7857,,,,,,,,,,,0.0,,,,,,,,,,,,-3953700.0,,,,,,,17.1274,,8.1506,16.0256,,,,0.56,,,,,
2001-02-14,11.63,-3399386.5544,-887791.2904,,,,,,,0.6129,,,,,,,,,,,0.0,,,,,,,,,,,,-3816800.0,,,,,,,16.8799,,16.8462,30.6667,,,,0.62,,,,,
