date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,2.97,-16986.6667,,,,,,,,-0.4933,,,,,,,,,,,0.0,,,,,,,,,,,,26000.0,,,,,,,,,,,,,,,,,,,
1998-01-05,2.97,-27386.6667,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,26000.0,,,,,,,11.75,,,,,,,0.75,,,,,
1998-01-06,3.0,3313.3333,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,56700.0,,,,,,,11.7588,,,,,,,0.12,,,,,
1998-01-07,3.0,20313.3333,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,56700.0,,,,,,,12.63,,,,,,,0.25,,,,,
1998-01-08,2.9375,8413.3333,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,44800.0,,,,,,,12.6212,,,,,,,0.25,,,,,
1998-01-09,3.0325,112697.4242,,,,,,,,0.7159,,,,,,,,,,,0.0,,,,,,,,,,,,286300.0,,,,,,,12.6125,,,,,,,0.88,,,,,
1998-01-12,3.0,109236.71,,,,,,,,0.4464,,,,,,,,,,,0.0,,,,,,,,,,,,254000.0,,,,,,,12.5902,,,56.8182,,,,0.56,,,,,
1998-01-13,3.25,140760.71,,,,,,,,0.7467,,,,,,,,,,,0.0,,,,,,,,,,,,317900.0,,,,,,,11.5,,,79.7872,,,,1.5,,,,,
1998-01-14,3.25,152451.0325,,,,,,,,-0.4032,,,,,,,,,,,0.0,,,,,,,,,,,,317900.0,,,,,,,11.5188,,72.1309,79.7872,,,,0.62,,,,,
1998-01-15,3.375,193268.4929,69870.6327,,,,,,,0.1905,,,,,,,,,,,0.0,,,,,,,,,,,,387400.0,,,,,,,11.5374,,84.4904,93.8967,,,,0.63,,,,,
1998-01-16,3.375,210901.8262,72437.7669,,,,,,,-0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,387400.0,,,,,,,11.5793,,87.0613,87.5,,,,0.75,,,,,
1998-01-20,3.3125,205753.4391,65264.5834,,,,,,,-0.8065,,,,,,,,,,,0.0,,,,,,,,,,,,379000.0,,,,,,,11.6444,,84.8862,73.262,,,,0.31,,,,,
1998-01-21,3.595,236834.2902,66286.317,,,,,,,0.7340000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,445400.0,,,,,,,11.7076,,79.5133,77.7778,,,,1.88,,,,,
