date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,6.0196,3770818.8679,,,,,,,,0.7075,,,,,,,,,,,0.0,,,,,,,,,,,,4252200.0,,,,,,,,,,,,,,,,,,,
1998-01-05,6.4332,15281329.5346,,,,,,,,0.7511,,,,,,,,,,,0.0,,,,,,,,,,,,17137100.0,,,,,,,30.0,,,,,,,2.25,,,,,
1998-01-06,6.0681,8298309.3218,,,,,,,,-0.6649,,,,,,,,,,,0.0,,,,,,,,,,,,7624000.0,,,,,,,30.0325,,,,,,,2.13,,,,,
1998-01-07,5.7283,2685399.5996,,,,,,,,-0.7847,,,,,,,,,,,0.0,,,,,,,,,,,,-974500.0,,,,,,,33.25,,,,,,,2.0,,,,,
1998-01-08,5.6914,-3879028.9718,,,,,,,,0.0343,,,,,,,,,,,0.0,,,,,,,,,,,,-10164700.0,,,,,,,33.21,,,,,,,1.75,,,,,
1998-01-09,5.437,-8888393.7802,,,,,,,,-0.5226,,,,,,,,,,,0.0,,,,,,,,,,,,-22887600.0,,,,,,,33.126999999999995,,,,,,,2.87,,,,,
1998-01-12,5.4487,-2514274.3627,,,,,,,,0.5728,,,,,,,,,,,0.0,,,,,,,,,,,,-11759900.0,,,,,,,32.9471,,,25.1553,,,,2.06,,,,,
1998-01-13,5.8137,3392989.715,,,,,,,,0.3932,,,,,,,,,,,0.0,,,,,,,,,,,,3080300.0,,,,,,,32.6868,,,80.0915,,,,2.5,,,,,
1998-01-14,5.7167,1604402.1502,,,,,,,,-0.48700000000000004,,,,,,,,,,,0.0,,,,,,,,,,,,-8055100.0,,,,,,,32.4369,,57.9656,68.6499,,,,1.93,,,,,
1998-01-15,5.7885,3537358.6719,433066.9981,,,,,,,0.4928,,,,,,,,,,,0.0,,,,,,,,,,,,3059400.0,,,,,,,32.1971,,76.8458,81.7961,,,,1.38,,,,,
1998-01-16,5.7769,-2738221.3281,-1213423.2617,,,,,,,-0.7040000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,-7399900.0,,,,,,,31.9668,,75.748,76.7981,,,,1.25,,,,,
1998-01-20,5.971,9211474.6719,2025499.7468,,,,,,,0.4133,,,,,,,,,,,0.0,,,,,,,,,,,,5588900.0,,,,,,,31.7457,,85.3323,97.4026,,,,1.5,,,,,
1998-01-21,6.2623,18954674.6719,6266486.455,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,25075300.0,,,,,,,26.44,,85.6794,82.8375,,,,3.0,,,,,
1998-01-22,5.8623,9046156.1534,4279044.5385,,,,,,,-0.9259,,,,,,,,,,,0.0,,,,,,,,,,,,14374100.0,,,,,,,26.5056,,69.9967,29.75,,,,2.12,,,,,
1998-01-23,5.9341,5118524.295,1827295.0232,,,,,,,-0.5044,,,,,,,,,,,0.0,,,,,,,,,,,,23076500.0,,,,,,,26.5705,,48.821000000000005,33.8753,,,,1.19,,,,,
1998-01-26,5.8739,1525182.7021,-485147.1056,,,,,,,-0.4956,,,,,,,,,,,0.0,,,,,,,,,,,,16631300.0,,,,,,,26.6348,,29.6999,25.4743,,,,1.13,,,,,
1998-01-27,5.9827,3222402.1711,-847017.4995,,,,,,,0.6018,,,,,,,,,,,0.0,,,,,,,,,,,,21814700.0,,,,,,,26.6985,,28.7832,27.0,,,,1.13,,,,,
1998-01-28,6.3594,15166802.1711,2882437.1121,,,,,,,0.7798,,,,,,,,,,,0.0,,,,,,,,,,,,34677900.0,,,,,,,26.7615,,50.113,97.8648,,,,2.0,,,,,
1998-01-29,6.1652,8627515.6165,2065401.2665,,,,,,,-0.1092,,,,,,,,,,,0.0,,,,,,,,,,,,25070800.0,,,,,,,26.8239,,62.3808,62.2776,,,,1.19,,,,,
1998-01-30,6.371,14312500.287999999,3352254.3373,,,,,,33.3969,0.5912,128.5187,,,,30.5655,,,,,,0.0,,,,,,30.565,29.845,,5.0,,,32937900.0,,8.74,,,,,26.8857,30.5655,84.603,93.6667,,,,1.37,30.1686,,,-6.4611,30.8373
1998-02-02,6.7361,21566067.1452,5881896.9265,,,,30.0,70.0,34.1034,0.4629,200.5223,16.9188,,36.8897,30.9583,,,,,,0.0,32.8621,,,,60.0284,31.345,30.72,13.4934,4.75,3.69,5.3243,44171300.0,29.2678,10.302999999999999,,11.9032,1.119,58.4594,26.9468,30.75,83.223,93.7247,,,,2.19,30.3265,,,-3.6215,31.2301
1998-02-03,6.773,22811293.9493,6778241.3392,,,,25.0,75.0,34.5108,0.0361,196.8653,17.6738,,40.0346,31.3318,,,,,,0.0,32.8899,,,,60.0419,31.44,31.095,12.7535,4.5125,1.75,5.3086,56250000.0,29.7828,10.5379,,5.2822,1.0528,58.8369,27.1079,30.8375,89.5201,81.1688,,,,1.94,30.5334,,,-9.3448,31.6235
1998-02-04,7.1614,31614781.5782,9329833.6318,,,,20.0,80.0,35.6405,0.6289,210.6958,25.2045,,47.8096,31.8602,,,,,,0.0,33.1086,,,,66.3734,32.44,32.16,11.4337,4.2869,5.63,5.2957,74418900.0,32.3817,12.140999999999998,,18.016,1.1802,62.6023,27.3671,31.119,86.3569,84.1772,,,,3.88,30.8039,,,-8.7413,32.199
1998-02-05,6.9303,12036343.3065,3295997.0622,,,,15.0,85.0,36.2984,-0.9506,176.2094,18.42,,48.4047,32.2249,,,,,,0.0,33.2782,,,,71.9997,32.44,32.25,10.7035,4.0725,6.19,5.5391,53823400.0,30.7867,11.7139,,20.9831,1.2098,59.21,27.7876,31.4285,76.1625,63.1415,,,,2.43,31.1154,,,-20.3959,32.6343
1998-02-06,6.9905,19021270.9661,2750450.2607,,,,10.0,85.0,36.9157,0.5319,126.5454,19.6145,,38.0062,32.5845,,,,,,0.0,33.4775,,,,70.6407,32.44,32.25,13.145999999999999,4.9989,6.69,5.478,65548100.0,29.2646,11.1282,,22.825,1.2282,59.8072,28.3013,31.763,68.1638,57.1726,,,,1.88,31.47,,,-17.7281,33.0697
1998-02-09,6.7478,10918192.9661,-301021.0,,,1.785,5.0,85.0,37.1052,-0.69,102.4229,12.6159,,38.7261,32.7907,,,,,,0.0,33.5724,,,,70.7146,32.47,32.25,12.4563,4.749,6.75,5.678999999999999,55544300.0,28.2016,10.7518,5.6309,24.1071,1.2411,56.308,28.7892,32.1005,47.4772,22.1176,,,,2.0,31.8542,,,-28.4854,33.3541
1998-02-10,6.9905,14996617.9661,-224303.9248,,,2.046,0.0,85.0,37.4161,0.56,105.0023,17.6856,,39.5066,33.0964,,,,,,0.0,33.7847,,,,75.6216,33.16,33.28,11.8045,4.5115,7.94,5.4855,71858000.0,27.2229,10.4042,6.4154,28.2965,1.2830000000000001,58.8428,29.2527,32.4975,42.8504,49.2611,40.2716,,,2.0,32.2651,,,-21.5481,33.7255
1998-02-11,6.9788,21603600.7247,1929693.3859,,,2.4121,0.0,80.0,37.787,0.069,92.2771,17.3416,,39.5066,33.3672,,,,,,0.0,33.926,,,,76.7487,33.16,33.345,11.5282,4.2859,6.0,5.341,48865700.0,26.5858,9.884,7.5378,20.0401,1.2004,58.6708,29.6931,32.7975,37.2761,40.4494,67.5236,,,0.87,32.68,,,-22.4814,34.0534
1998-02-12,7.172999999999999,29121749.2096,5027585.5868,,,2.7041,0.0,75.0,38.2232,0.6667,101.5323,21.3733,,43.2186,33.7075,,,,,,0.0,34.1933,,,,80.8407,33.345,33.53,11.1129,4.0716,7.5,5.1153,59423100.0,28.0299,10.2698,8.3928,25.4755,1.2548,60.6866,30.1114,33.1725,60.8287,92.7757,100.0,,,1.32,33.1165,,54.3383,-12.362,34.4479
1998-02-13,7.2817,36336079.7651,8133320.7015,,,2.7922,0.0,70.0,38.6953,0.6944,104.3394,23.5707,,45.4603,34.0686,,,,,,0.0,34.4936,,,,80.9174,33.625,33.685,10.6714,3.8681,7.69,4.9789,69223700.0,28.4613,10.3163,8.5844,25.7967,1.258,61.7854,30.5089,33.556999999999995,75.7183,93.9297,100.0,,,1.44,33.5747,,53.4734,-6.4,34.86
1998-02-17,7.0643,31439893.5583,7106578.4824,,,2.9062,5.0,95.0,38.8542,-0.7241,85.6612,16.7041,,47.1848,34.2888,,,,,,0.0,34.6194,,,,76.8146,33.845,33.72,9.9978,3.6747,6.63,5.1945,59597300.0,27.8619,10.2405,8.8605,22.2857,1.2229,58.352,30.8864,33.8885,78.3101,48.2249,0.0,,,2.32,34.021,,55.2872,-19.8413,35.1289
1998-02-18,7.1478,32565232.6887,6398557.4359,,,2.9006,0.0,95.0,39.0933,0.4058,78.312,18.5336,,47.1848,34.5289,,,,,,0.0,34.7526,,,,73.5102,33.845,34.065,9.6177,3.4909,6.06,5.0645,66068000.0,26.8026,9.7285,8.7533,19.7073,1.1971,59.2668,31.320999999999998,34.1915,64.7182,52.0,26.6434,,,1.38,34.4399,,52.5873,-16.2362,35.4071
1998-02-19,7.3186,37866682.6887,7214050.4227,,,2.7803,15.0,85.0,39.5059,0.3056,94.1058,22.2141,,50.1613,34.83,15.6467,,0.3273,,,0.0,34.9123,,,6.5637,73.1622,33.94,34.065,9.2322,3.3164,5.44,4.89,79700300.0,27.816,9.992,8.2973,16.8682,1.1687,61.107,31.7296,34.4635,60.4198,81.0345,80.2425,,,1.44,34.8286,,59.373999999999995,-5.4121,35.7403
1998-02-20,7.0643,31016736.6887,4712310.1516,,,2.6576,10.0,85.0,39.4767,-0.81,68.0551,14.1342,,42.3902,34.9776,17.2118,,0.708,,,0.0,35.0148,1.8989,2.6576,6.8619,72.4703,33.97,34.065,10.630999999999998,3.8406,6.19,5.0877,68652000.0,26.276,9.4924,7.8729,20.5035,1.205,57.0671,32.1136,34.773,52.5345,24.569000000000003,0.0,,,2.0,35.1815,,53.5279,-21.5252,35.9229
1998-02-23,7.2449,36914761.8988,5137123.5029,,,2.3907,5.0,85.0,39.5158,0.0504,72.5137,18.1767,,42.3902,35.1997,18.9332,,1.3268,,,0.0,35.1894,1.8691,2.3907,7.1663,72.6476,33.97,34.065,10.2748,3.6485,6.75,4.8723,77317000.0,25.3955,9.0178,7.0194,22.0877,1.2209,59.0883,32.4746,35.1105,56.7529,64.6552,50.0316,,,1.19,35.4964,,54.5074,-10.0861,36.1645
1998-02-24,6.9905,28660261.8988,2217467.7372,,,2.1785,0.0,85.0,39.2071,-1.0,47.588,10.4655,,38.814,35.2759,20.8267,,0.8425,,,0.0,35.2345,1.72,2.1785,7.4547,71.7442,34.25,34.095,10.7538,3.7761,5.75,4.9888,69062500.0,24.3974,8.5669,6.3518,19.0083,1.1901,55.2327,32.8139,35.398,29.7414,0.0,0.0,,,1.38,35.7731,,47.3083,-26.3941,36.2492
1998-02-25,7.2584,34522142.6005,2686618.9893,,,2.0,0.0,80.0,38.9905,0.6579,73.7218,16.5067,,39.5359,35.4763,22.9095,,0.1681,,,0.0,35.3712,1.6937,2.0,7.7539,72.1714,34.72,34.63,10.2852,3.5873,6.57,4.7677,76832900.0,23.7356,8.2786,5.782,21.3242,1.2132,58.2534,33.1329,35.7265,43.148,64.7887,51.4209,,,1.52,36.0215,,47.6032,-10.7143,36.438
1998-02-26,7.3555,40591261.4684,4565389.6878,,,1.9866,0.0,75.0,39.0726,0.5377,96.8482,18.6014,,41.7078,35.7052,25.2005,,0.595,,,0.0,35.4949,1.6936,1.9866,8.0552,71.6488,34.815,34.845,9.9663,3.4079,5.13,4.6094,83676800.0,24.2281,8.2847,5.6981,15.6641,1.1566,59.3007,33.4327,35.983000000000004,52.9296,94.0,100.0,,,1.06,36.2403,,55.5719,-3.8052,36.643
1998-02-27,7.1478,37962401.894,4082486.9555,,,1.8787,0.0,70.0,38.6532,-0.4043,57.1358,12.2573,37.9885,37.7398,35.8105,27.226999999999997,,-0.015,,,0.0,35.5582,1.5889,1.8787,8.3427,72.514,35.345,34.88,10.5238,3.5575,5.06,4.6855,78060600.0,23.281999999999996,7.8704,5.3617,15.937000000000001,1.1594,56.1286,33.7145,36.236,66.8471,41.7526,22.0231,,,1.32,36.4289,,51.2585,-20.3077,36.7218
1998-03-02,6.8817,32126860.5606,1657037.5084,41.2846,,1.6351,0.0,65.0,38.2524,-0.7467,-61.8386,4.7085,37.7139,21.0191,35.7752,28.8394,,-0.1057,,,0.0,35.5557,1.3795,1.6351,8.6137,68.0616,36.285,35.69,14.4094,4.8797,2.63,4.8702,66231800.0,22.0789,7.4769,4.6398,8.0158,1.0802,52.3542,33.9795,36.3675,49.648999999999994,13.1944,0.0,,,1.75,36.5516,,46.9936,-55.123000000000005,36.646
1998-03-03,6.8701,34334234.5606,1216514.6884,40.1156,,1.3197,0.0,60.0,38.1854,0.5,-113.0523,4.3849,37.4575,17.9055,35.7375,30.6578,,-0.2131,,,0.0,35.5544,1.1949,1.3197,8.8814,64.1526,36.315,35.97,14.9095,4.9457,0.69,4.7759,57741900.0,21.4133,7.1031,3.7253,1.989,1.0199,52.1924,34.2285,36.402,24.8987,19.7492,0.0,,,1.0,36.6226,,50.8913,-63.6574,36.552
1998-03-04,6.8934,34775611.7536,1066146.7609,39.0997,,0.9512,0.0,55.0,38.1289,0.4912,-104.9119,5.003,37.2506,19.7973,35.7149,31.9858,,-0.3236,,,0.0,35.554,1.0462,0.9512,9.1476,63.0847,36.315,36.065,14.389000000000001,4.6984,0.62,4.6823,62773600.0,21.4926,7.0179,2.6696,1.7775,1.0178,52.5015,34.4626,36.433,18.8182,23.511,4.3476,,,1.14,36.6664,,48.9023,-63.6804,36.466
1998-03-05,6.4448,25390666.4982,-2078408.769,37.3208,,0.5938,100.0,-50.0,38.4402,-0.1387,-233.458,-7.1579999999999995,36.6463,3.5211,35.4744,32.8667,,1.0083,,,0.0,35.4729,0.7336,0.5938,9.388,57.1803,35.535,35.63,18.6087,6.2135,-3.69,5.1148,52487700.0,19.967,6.667000000000001,1.6623,-10.0054,0.8999,46.42100000000001,38.13,36.2485,14.8777,1.3730000000000002,0.0,,,2.37,36.6516,,44.2063,-98.8,36.1572
