date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,9.655,1256200,,,,,,,,0.9464,,,,,,,,,,,0,,,,,,,,,,,,1256200,,,,,,,,,,,,,,,,,,,
05/01/1998,9.655,2227038.71,,,,,,,,-0.1129,,,,,,,,,,,0,,,,,,,,,,,,1256200,,,,,,,18.19,,,,,,,0.62,,,,,
06/01/1998,9.94,-916101.6265,,,,,,,,-0.2101,,,,,,,,,,,0,,,,,,,,,,,,5873900,,,,,,,18.2031,,,,,,,1.57,,,,,
07/01/1998,9.5,-1888512.99,,,,,,,,-0.6364,,,,,,,,,,,0,,,,,,,,,,,,3622000,,,,,,,18.2566,,,,,,,1.13,,,,,
08/01/1998,9.47,-2916887.458,,,,,,,,-0.1277,,,,,,,,,,,0,,,,,,,,,,,,1895800,,,,,,,18.3091,,,,,,,0.94,,,,,
09/01/1998,9.125,-3195902.125,,,,,,,,-0.54,,,,,,,,,,,0,,,,,,,,,,,,286100,,,,,,,20.88,,,,,,,1.5,,,,,
12/01/1998,8.875,-3279219.146,,,,,,,,0.266,,,,,,,,,,,0,,,,,,,,,,,,-1019200,,,,,,,20.8475,,,12.3249,,,,0.94,,,,,
13/01/1998,10.44,-792519.1461,,,,,,,,0.9796,,,,,,,,,,,0,,,,,,,,,,,,1467500,,,,,,,17.31,,,100,,,,3.13,,,,,
14/01/1998,9.22,-2611165.146,,,,,,,,-0.75,,,,,,,,,,,0,,,,,,,,,,,,-1465800,,,,,,,17.31,,47.9925,31.6527,,,,2.63,,,,,
15/01/1998,9.03,-4304865.146,-1361045.083,,,,,,,-0.6984,,,,,,,,,,,0,,,,,,,,,,,,-3159500,,,,,,,17.3457,,50.887,21.0084,,,,0.63,,,,,
16/01/1998,8.905,-4754103.783,-1587000.676,,,,,,,-0.5,,,,,,,,,,,0,,,,,,,,,,,,-4680000,,,,,,,17.381,,22.2222,14.0056,,,,0.88,,,,,
20/01/1998,9.28,-3648103.783,-1183255.175,,,,,,,0.9259,,,,,,,,,,,0,,,,,,,,,,,,-3574000,,,,,,,17.416,,22.125,31.3609,,,,0.81,,,,,
21/01/1998,9.28,-2895415.783,-671026.2723,,,,,,,0.12,,,,,,,,,,,0,,,,,,,,,,,,-3574000,,,,,,,17.4507,,35.3127,60.5714,,,,0.5,,,,,
22/01/1998,9.19,-2983647.667,-428549.4778,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,-4791600,,,,,,,17.485,,54.1108,70.4,,,,0.69,,,,,
23/01/1998,9.065,-3481919.596,-448936.4506,,,,,,,-0.8772,,,,,,,,,,,0,,,,,,,,,,,,-5452100,,,,,,,17.5189,,60.4571,50.4,,,,0.57,,,,,
26/01/1998,9.47,-2101919.596,22626.7378,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,-4072100,,,,,,,17.5525,,73.6,100,,,,0.81,,,,,
