date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,11.3032,522292.0,,,,,,,,,,,-0.16,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1058700.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,11.2634,-911226.4874,,,,,,,,,,,-0.2101,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1413600.0,,,,,,,53.38,,,,,,,,,,1.19,,,,,
1998-01-06,11.1335,-1479291.9195,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2897900.0,,,,,,,54.69,,,,,,,,,,0.87,,,,,
1998-01-07,11.1461,-1755051.9195,,,,,,,,,,,0.31,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-599900.0,,,,,,,54.69,,,,,,,,,,1.0,,,,,
1998-01-08,11.1859,-1051316.4356,,,,,,,,,,,0.4032,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,548300.0,,,,,,,54.6512,,,,,,,,,,0.62,,,,,
1998-01-09,11.0287,-1842066.4356,,,,,,,,,,,-0.75,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1033200.0,,,,,,,54.6132,,,,,,,,,,1.0,,,,,
1998-01-12,11.0937,243495.2787,,,,,,,,,,,0.8914,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1205900.0,,,,,,,54.5462,,,,67.6,36.9656,,,,,1.75,,,,,
1998-01-13,10.8841,-1464659.8016,,,,,,,,,,,-0.7701,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1349500.0,,,,,,,54.4143,,,,27.6,35.3408,,,,,1.87,,,,,
1998-01-14,10.4776,-4437639.1119,,,,,,,,,,,-0.8103,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6139300.0,,,,,,,54.2878,,35.4558,35.9208,11.1675,35.4558,,,,,2.38,,,,,
1998-01-15,10.268,-4675726.8124,-1715714.6594,,,,,,,,,,-0.5027,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9564100.0,,,,,,,54.0514,,18.3229,29.7065,16.2011,18.3229,,,,,1.87,,,,,
1998-01-16,10.268,-5981026.8124,-2126563.8683,,,,,,,,,,-0.5,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9564100.0,,,,,,,53.6961,,14.5232,22.7673,16.2011,14.5232,,,,,1.0,,,,,
1998-01-20,10.465,-3365026.8124,-1268950.9203,,,,,,,,,,0.8617,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6948100.0,,,,,,,53.3621,,22.036,18.294,33.7058,22.036,,,,,0.94,,,,,
1998-01-21,10.3854,-5303914.8124,-1419668.9943,,,,,,,,,,-0.4267,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9256300.0,,,,,,,53.0482,,29.3467,21.9687,38.1333,29.3467,,,,,0.75,,,,,
1998-01-22,9.8762,-8041270.368,-2223242.3382,,,,,,,,,,-0.72,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-12351300.0,,,,,,,52.7531,,25.2797,25.5541,4.0,25.2797,,,,,2.56,,,,,
1998-01-23,10.1633,-7242354.6447,-2095663.4907,,,,,,,,,,0.3145,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-7814600.0,,,,,,,52.3504,,31.2636,28.63,51.6575,31.2636,,,,,3.18,,,,,
1998-01-26,10.2031,-7382368.9304,-1897507.2812,,,,,,,,,,0.3393,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6507800.0,,,,,,,51.8928,,37.5212,31.3548,56.9061,37.5212,,,,,0.56,,,,,
