date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,4.9583,81678.6885,,,,,,,,-0.2049,,,,,,,,,,,0.0,,,,,,,,,,,,138400.0,,,,,,,,,,,,,,,,,,,
1998-01-05,4.75,-108721.3115,,,,,,,,-0.5927,,,,,,,,,,,0.0,,,,,,,,,,,,-160800.0,,,,,,,60.0,,,,,,,3.0,,,,,
1998-01-06,4.8383,116717.8885,,,,,,,,0.672,,,,,,,,,,,0.0,,,,,,,,,,,,187100.0,,,,,,,59.965,,,,,,,2.5,,,,,
1998-01-07,4.7817,177188.3027,,,,,,,,-0.3669,,,,,,,,,,,0.0,,,,,,,,,,,,-40000.0,,,,,,,59.8857,,,,,,,1.75,,,,,
1998-01-08,4.615,162587.3319,,,,,,,,-0.4854,,,,,,,,,,,0.0,,,,,,,,,,,,-541300.0,,,,,,,59.808,,,,,,,3.0,,,,,
1998-01-09,4.2608,-310872.4777,,,,,,,,-0.9276,,,,,,,,,,,0.0,,,,,,,,,,,,-1094900.0,,,,,,,59.6451,,,,,,,5.25,,,,,
1998-01-12,4.3025,-122405.811,,,,,,,,0.5660000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,-478100.0,,,,,,,59.2893,,,21.4857,,,,2.88,,,,,
1998-01-13,4.6458,413652.9269,,,,,,,,0.8786,,,,,,,,,,,0.0,,,,,,,,,,,,132000.0,,,,,,,58.8124,,,72.7273,,,,4.37,,,,,
1998-01-14,4.875,1122452.9269,,,,,,,,0.8733,,,,,,,,,,,0.0,,,,,,,,,,,,840800.0,,,,,,,49.75,,64.7377,100.0,,,,3.0,,,,,
1998-01-15,4.9533,1360665.8546,537254.8446,,,,,,,0.7376,,,,,,,,,,,0.0,,,,,,,,,,,,1342000.0,,,,,,,49.8375,,88.6933,93.3526,,,,2.63,,,,,
1998-01-16,4.7917,1189785.8546,500080.9046,,,,,,,-0.8,,,,,,,,,,,0.0,,,,,,,,,,,,1128400.0,,,,,,,50.0433,,89.3385,74.6628,,,,2.5,,,,,
1998-01-20,4.9533,1381214.426,500320.5742,,,,,,,0.6555,,,,,,,,,,,0.0,,,,,,,,,,,,1584000.0,,,,,,,50.2451,,86.5506,91.6364,,,,2.63,,,,,
1998-01-21,5.0733,1643366.426,538346.9323,,,,,,,0.4657,,,,,,,,,,,0.0,,,,,,,,,,,,2312200.0,,,,,,,50.4428,,83.0228,82.7692,,,,3.5,,,,,
1998-01-22,5.1358,1580222.426,484871.2668,,,,,,,0.25,,,,,,,,,,,0.0,,,,,,,,,,,,3101500.0,,,,,,,50.7895,,82.4685,73.0,,,,3.0,,,,,
1998-01-23,4.9375,820322.426,177129.2884,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,2341600.0,,,,,,,51.2879,,61.613,29.0698,,,,4.88,,,,,
1998-01-26,4.8125,655388.426,-17346.8198,,,,,,,-0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,1948900.0,,,,,,,51.93,,38.0233,12.0,,,,3.0,,,,,
1998-01-27,4.75,600783.384,-112702.5757,,,,,,,-0.3403,,,,,,,,,,,0.0,,,,,,,,,,,,1606900.0,,,,,,,52.54,,17.79,12.3001,,,,2.38,,,,,
1998-01-28,4.7708,777223.3840000002,-85326.0598,,,,,,,0.1,,,,,,,,,,,0.0,,,,,,,,,,,,2048000.0,,,,,,,53.1195,,14.8594,20.2781,,,,2.5,,,,,
1998-01-29,4.9583,1057711.384,22876.5203,,,,,,,0.8,,,,,,,,,,,0.0,,,,,,,,,,,,2451000.0,,,,,,,53.67,,26.3094,46.3499,,,,2.63,,,,,
1998-01-30,4.9167,855788.7425,813.4153,,,,,,62.8142,-0.4717,65.5415,,,,57.6485,,,,,,0.0,,,,,,56.38,56.94,,13.12,,,2140800.0,,13.75,,,,,54.19300000000001,57.6485,44.4316,66.6667,,,,2.12,57.6327,,,-35.6745,58.1523
1998-02-02,5.1983,1389345.9733,161481.8625,,,,30.0,40.0,63.3055,0.9231,122.3704,8.0268,,8.61,58.0991,,,,,,0.0,59.043,,,,53.1679,56.755,56.94,21.4364,12.464,2.88,4.891,2716900.0,25.4755,14.8125,,4.8403,1.0484,54.0134,54.6899,57.7925,70.4341,98.2857,,,,3.5,57.9083,,,-12.1697,58.6029
1998-02-03,5.1508,1288682.3369,180500.3555,,,,25.0,40.0,63.8006,-0.2353,123.9609,6.25,,10.34,58.4525,,,,,,0.0,59.1052,,,,56.6457,56.755,56.94,20.7345,11.8408,4.81,4.8406,2347800.0,25.5169,14.5719,,8.4386,1.0844,53.125,55.1619,58.033,83.0286,84.1333,,,,1.87,58.2235,,,-16.1335,58.9855
1998-02-04,5.0625,1201026.7814,143981.1208,,,,20.0,40.0,64.0555,0.0,90.1547,2.9359,,8.1843,58.6713,,,,,,0.0,59.1259,,,,58.0384,56.755,56.94,21.0282,11.7488,2.69,4.8121,2244900.0,24.777,13.8433,,4.6331,1.0463,51.4679,55.6103,58.1675,80.7945,59.9644,,,,1.62,58.5155,,,-23.5049,59.2443
1998-02-05,4.9375,968151.7814,41855.6502,,,,15.0,40.0,64.1554,-0.7396,41.8896,-1.6345,,0.5302,58.7265,,,,,,0.0,59.127,,,,56.4177,56.755,56.94,23.7524,13.2913,1.87,4.9303,1758900.0,23.5018,13.1511,,3.259,1.0326,49.1828,56.0363,58.261,53.5881,16.6667,,,,2.88,58.7601,,,-33.936,59.3474
1998-02-06,4.9067,868076.9242,-35570.0105,,,,10.0,40.0,64.1839,-0.1429,23.022,-2.7555,,0.5302,58.7411,,,,,,0.0,59.12300000000001,,,,58.1714,56.755,56.94,22.9954,12.6268,3.5,4.8618,1582000.0,22.7528,12.4936,,6.32,1.0632,48.6222,56.441,58.43600000000001,28.3585,8.4444,,,,1.75,58.9627,,,-36.509,59.4063
1998-02-09,4.8542,843754.702,-71749.396,,,1.0139,5.0,40.0,63.4677,-0.3333,-15.719,-4.7022,,5.4811,58.6943,,,,,,0.0,59.0846,,,,59.934,57.005,56.94,24.3417,13.2454,7.12,4.8618,1363100.0,21.812,11.8689,1.7409,13.9253,1.1393,47.6489,56.8254,58.792,14.1675,17.3913,,,,2.25,59.1347,,,-40.8901,59.3886
