date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2009-08-06,13.9577,-1971672.5926,,,,,,,,-0.237,,,,,,,,,,,0.0,,,,,,,,,,,,24197800.0,,,,,,,,,,,,,,,,,,,
2009-08-07,14.1734,-1736328.757,,,,,,,,0.3836,,,,,,,,,,,0.0,,,,,,,,,,,,26652100.0,,,,,,,15.56,,,,,,,0.73,,,,,
2009-08-10,13.7766,-2448387.5805,,,,,,,,-0.6471,,,,,,,,,,,0.0,,,,,,,,,,,,24231100.0,,,,,,,15.572000000000001,,,,,,,1.02,,,,,
2009-08-11,13.5178,-3186115.5805,,,,,,,,-0.62,,,,,,,,,,,0.0,,,,,,,,,,,,21925700.0,,,,,,,16.76,,,,,,,0.5,,,,,
2009-08-12,13.8025,-2809852.6175,,,,,,,,-0.2778,,,,,,,,,,,0.0,,,,,,,,,,,,23377000.0,,,,,,,16.7474,,,,,,,0.54,,,,,
2009-08-13,14.2769,-2202591.5064,,,,,,,,0.7639,,,,,,,,,,,0.0,,,,,,,,,,,,24527600.0,,,,,,,16.7349,,,,,,,0.72,,,,,
2009-08-14,14.32,-2245111.5064,,,,,,,,0.1333,,,,,,,,,,,0.0,,,,,,,,,,,,25165400.0,,,,,,,15.5,,,64.0426,,,,0.75,,,,,
2009-08-17,13.9922,-2439652.6829,,,,,,,,-0.2941,,,,,,,,,,,0.0,,,,,,,,,,,,24911000.0,,,,,,,15.515,,,68.2222,,,,0.4,,,,,
2009-08-18,14.7255,-1435472.6829,,,,,,,,0.6941,,,,,,,,,,,0.0,,,,,,,,,,,,26357700.0,,,,,,,15.5298,,67.7429,70.9639,,,,0.98,,,,,
2009-08-19,15.4329,453678.1943,956996.1805,,,,,,,0.9211,,,,,,,,,,,0.0,,,,,,,,,,,,28428500.0,,,,,,,15.5633,,72.7266,78.9937,,,,1.14,,,,,
2009-08-20,15.3207,1252144.861,1414232.2645,,,,,,,-0.2879,,,,,,,,,,,0.0,,,,,,,,,,,,26546400.0,,,,,,,15.6346,,80.8885,92.708,,,,0.66,,,,,
2009-08-21,15.3725,1451437.1686,1536128.0091,,,,,,,0.0769,,,,,,,,,,,0.0,,,,,,,,,,,,27410000.0,,,,,,,15.7272,,88.1329,92.697,,,,0.39,,,,,
2009-08-24,15.0964,1172818.9868,1357695.2096,,,,,,,-0.0364,,,,,,,,,,,0.0,,,,,,,,,,,,26388400.0,,,,,,,15.8393,,89.7634,83.8853,,,,0.55,,,,,
