date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,15.6044,11467.9245,,,,,,,,,,,-0.4151,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,202600.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,15.5599,64726.6547,,,,,,,,,,,-0.0952,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-55500.0,,,,,,,63.19,,,,,,,,,,0.63,,,,,
1998-01-06,15.3893,-36206.6786,,,,,,,,,,,-0.5867,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-358300.0,,,,,,,63.19,,,,,,,,,,0.94,,,,,
1998-01-07,15.1742,18098.6547,,,,,,,,,,,-0.4133,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-671600.0,,,,,,,63.19,,,,,,,,,,1.75,,,,,
1998-01-08,14.927,-51331.2816,,,,,,,,,,,-0.6369,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-925100.0,,,,,,,63.1093,,,,,,,,,,1.57,,,,,
1998-01-09,14.7243,-417341.9199,,,,,,,,,,,-0.4681,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1416600.0,,,,,,,62.9773,,,,,,,,,,0.94,,,,,
1998-01-12,14.5858,-144936.8779,,,,,,,,,,,0.8403,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1816800.0,,,,,,,62.8005,,,,21.0526,13.0711,,,,,1.56,,,,,
1998-01-13,14.7861,-27797.2553,,,,,,,,,,,0.7642,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1634200.0,,,,,,,62.5124,,,,45.25,23.1675,,,,,1.06,,,,,
1998-01-14,14.9567,130302.7447,,,,,,,,,,,0.3623,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1476100.0,,,,,,,62.2417,,43.6985,26.6457,64.7929,43.6985,,,,,0.69,,,,,
1998-01-15,14.7852,-24897.2553,30665.0007,,,,,,,,,,-0.6173,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1631300.0,,,,,,,61.9872,,57.6894,41.5185,63.0252,57.6894,,,,,0.81,,,,,
1998-01-16,14.8001,-111786.4444,-8537.5267,,,,,,,,,,0.1622,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1384000.0,,,,,,,61.748,,65.1169,55.5016,67.5325,65.1169,,,,,0.37,,,,,
1998-01-20,14.9094,112013.5556,47410.3054,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1160200.0,,,,,,,61.5231,,69.31,64.0387,77.3723,69.31,,,,,0.44,,,,,
1998-01-21,14.7082,65630.3556,51229.7362,,,,,,,,,,-0.648,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1316900.0,,,,,,,61.3117,,57.7033,64.0434,28.2051,57.7033,,,,,1.25,,,,,
1998-01-22,14.5218,10893.9919,30718.8662,,,,,,,,,,-0.6364,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1517600.0,,,,,,,61.113,,40.0631,55.6921,14.6119,40.0631,,,,,1.07,,,,,
1998-01-23,14.4274,-103167.2984,-16756.7972,,,,,,,,,,-0.6022,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1703700.0,,,,,,,60.9262,,17.1025,38.2896,8.4906,17.1025,,,,,0.93,,,,,
1998-01-26,14.4895,-148035.3835,-48931.5232,,,,,,,,,,0.1277,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1571900.0,,,,,,,60.713,,14.4618,23.8758,20.283,14.4618,,,,,0.94,,,,,
1998-01-27,14.6311,-102769.3835,-43242.7726,,,,,,,,,,0.63,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1397800.0,,,,,,,60.5147,,25.3145,18.9596,47.1698,25.3145,,,,,1.0,,,,,
1998-01-28,14.7852,59130.6165,14529.241,,,,,,,,,,0.38,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1235900.0,,,,,,,60.3302,,55.8176,31.8646,100.0,55.8176,,,,,1.0,,,,,
1998-01-29,14.7852,19650.6165,24280.5883,,,,,,,,,,0.4,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1235900.0,,,,,,,57.88,,71.8414,50.9912,68.3544,71.8414,,,,,1.25,,,,,
1998-01-30,14.646,-55582.7168,2124.5709,,,,,,,62.7424,59.9255,57.1086,-0.7467,-54.6351,,,,59.9255,,,,,,,,0.0,,,,,,,,,,,60.59,60.75,,6.55,,,-1388400.0,,2.75,,,,,57.9037,59.9255,70.0441,65.901,41.7778,70.0441,,,,,0.75,59.6254,,,-81.5331,59.3173
1998-02-02,14.9716,218017.2832,79922.1482,,,,0.0,70.0,-70.0,62.1971,59.782,57.3669,1.0,19.3768,-24.4255,,29.8383,59.9564,,,,,,,,0.0,58.9987,,,,,,,,,32.3047,60.5,60.535,32.2201,6.2225,-2.87,1.6813,-1114800.0,17.411,3.3625,,-4.5469,0.9545,37.7872,57.9272,59.782,70.0441,70.6432,100.0,70.0441,,,,,1.31,59.4703,,,-55.3672,59.3482
1998-02-03,15.143,354617.2832,147946.4163,,,,0.0,65.0,-65.0,61.6985,59.682,57.6655,0.552,80.6786,-17.182,,20.6926,60.0501,,,,,,,,0.0,59.0501,,,,,,,,,36.3358,60.155,60.315,30.1649,5.9114,-2.0,1.6817,-978200.0,19.8214,3.8844,,-3.1776,0.9682,41.409,57.9504,59.682,80.5926,73.5602,100.0,80.5926,,,,,1.25,59.3561,,,-37.1663,59.4585
1998-02-04,14.9393,220743.2091,119728.5555,,,,0.0,60.0,-60.0,61.2309,59.5755,57.9201,-0.7037,73.855,-22.8038,,20.6926,60.0567,,,,,,,,0.0,59.0803,,,,,,,,,36.2123,59.72,59.94,28.5399,5.6158,-2.13,1.7076,-1306800.0,18.7536,3.6902,,-3.4217,0.9658,38.5981,58.0102,59.5755,87.519,79.3852,62.5571,87.519,,,,,1.06,59.2771,,,-45.6311,59.5002
1998-02-05,14.9567,294734.6984,120843.2177,,,,0.0,55.0,-55.0,60.9825,59.516,58.0495,-0.0638,61.4139,-22.0593,,24.4526,60.0694,,,,,,,,0.0,59.098,,,,,,,,,37.861,59.5,59.63,29.4146,5.775,-1.19,1.6984,-1182600.0,17.8557,3.5056,,-1.9387,0.9806,38.9703,58.0688,59.516,76.1035,81.405,65.7534,76.1035,,,,,0.94,59.2418,,,-34.0,59.5587
1998-02-06,15.3766,495319.3138,174135.8464,,,,100.0,50.0,50.0,61.3507,59.591,57.8313,0.9615,208.6958,-5.7636,,5.7427,60.2419,,,,,,,,0.0,59.151,,,,,,,,,43.3665,59.97,59.91,26.8915,5.4863,1.5,1.7108,-965300.0,23.9706,4.8904,,2.4843,1.0248,47.1182,58.1262,59.591,75.3035,79.642,97.6,75.3035,,,,,1.75,59.268,,,-1.4778,59.7839
1998-02-09,15.3915,628319.3138,222425.0266,,,-0.2715,100.0,45.0,55.0,61.7455,59.71,57.6745,0.2533,201.4854,-5.2386,,5.7427,60.4036,,,,,,,,0.0,59.2506,,,,,,,,,50.7696,60.0,59.91,25.8896,5.212,2.38,1.6843,-832300.0,23.0776,4.6458,-0.4513,3.996,1.04,47.3807,58.2406,59.71,87.7845,79.7305,100.0,87.7845,,,,,0.75,59.3483,,,-0.0,60.0076
1998-02-10,15.4362,582231.3138,207294.8707,,,0.1053,100.0,40.0,60.0,62.1258,59.866,57.6062,0.36,205.6385,-3.6141,,0.3832,60.5671,,,,,,,,0.0,59.4066,,,,,,,,,58.4261,60.09,60.16,25.23,4.9514,3.12,1.6357,-667700.0,25.0374,4.9136,0.1752,5.2881,1.0529,48.1929,58.3516,59.866,95.6444,86.2441,89.3333,95.6444,100.0,100.0,,,0.5,59.4694,,,-7.0175,60.2371
