date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2005-08-05,12.254000000000001,8422419.2194,,,,,,,,0.6199,,,,,,,,,,,0.0,,,,,,,,,,,,22681100.0,,,,,,,,,,,,,,,,,,,
2005-08-08,11.55,-6858576.0826,,,,,,,,-0.5743,,,,,,,,,,,0.0,,,,,,,,,,,,7192200.0,,,,,,,60.0,,,,,,,38.74,,,,,
2005-08-09,9.61,-15286238.4602,,,,,,,,-0.8240000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,-1475500.0,,,,,,,60.9398,,,,,,,29.61,,,,,
2005-08-10,9.175,-17996734.5128,,,,,,,,-0.6086,,,,,,,,,,,0.0,,,,,,,,,,,,-6439300.0,,,,,,,61.8702,,,,,,,15.2,,,,,
2005-08-11,9.79,-14519304.2098,,,,,,,,0.6768,,,,,,,,,,,0.0,,,,,,,,,,,,885500.0,,,,,,,62.7913,,,,,,,9.9,,,,,
2005-08-12,9.5,-17027605.3703,,,,,,,,-0.5803,,,,,,,,,,,0.0,,,,,,,,,,,,-2109400.0,,,,,,,63.7032,,,,,,,5.17,,,,,
2005-08-15,9.3,-18604598.0711,,,,,,,,-0.6843,,,,,,,,,,,0.0,,,,,,,,,,,,-4038400.0,,,,,,,64.60600000000001,,,21.0771,,,,5.48,,,,,
2005-08-16,9.151,-19914012.0004,,,,,,,,-0.4948,,,,,,,,,,,0.0,,,,,,,,,,,,-5896300.0,,,,,,,65.4997,,,14.674,,,,4.81,,,,,
2005-08-17,8.581,-21572332.8126,,,,,,,,-0.8858,,,,,,,,,,,0.0,,,,,,,,,,,,-7912900.0,,,,,,,66.3845,,16.1803,12.7898,,,,7.88,,,,,
2005-08-18,8.248,-23240563.8111,-7024870.8985,,,,,,,-0.845,,,,,,,,,,,0.0,,,,,,,,,,,,-10129500.0,,,,,,,67.2605,,12.515999999999998,10.0842,,,,6.71,,,,,
2005-08-19,7.955,-24952962.3486,-6807588.5586,,,,,,,-0.4662,,,,,,,,,,,0.0,,,,,,,,,,,,-11948300.0,,,,,,,68.1276,,8.7352,3.3316,,,,5.47,,,,,
2005-08-22,7.269,-27126263.3242,-6791333.4974,,,,,,,-0.7695,,,,,,,,,,,0.0,,,,,,,,,,,,-14465400.0,,,,,,,68.9862,,5.3421,2.6104,,,,8.2,,,,,
2005-08-23,8.2,-20468863.3242,-4049026.1089,,,,,,,0.9847,,,,,,,,,,,0.0,,,,,,,,,,,,-7808000.0,,,,,,,69.8361,,7.7596,17.3368,,,,10.46,,,,,
2005-08-24,7.78,-24325507.3242,-3786193.8038,,,,,,,0.027000000000000003,,,,,,,,,,,0.0,,,,,,,,,,,,-16573100.0,,,,,,,70.6775,,16.4676,29.4557,,,,10.0,,,,,
2005-08-25,7.9,-25458356.4366,-3694924.0507,,,,,,,-0.1982,,,,,,,,,,,0.0,,,,,,,,,,,,-13876600.0,,,,,,,71.5106,,31.3092,47.1352,,,,3.6,,,,,
