date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD,MACDEXT,MACD_Hist,MACD,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,5.645,35424.0,,,,,,,,,,,-0.34,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,221400.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,5.6667,102408.6626,,,,,,,,,,,-0.0736,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,346900.0,,,,,,,34.5,,,,,,,,,,1.63,,,,,
1998-01-06,5.8333,297908.6626,,,,,,,,,,,0.8571,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,620600.0,,,,,,,32.75,,,,,,,,,,1.75,,,,,
1998-01-07,5.7083,-72066.3374,,,,,,,,,,,-0.375,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,127300.0,,,,,,,32.75,,,,,,,,,,2.0,,,,,
1998-01-08,5.875,-41335.9026,,,,,,,,,,,0.087,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,480700.0,,,,,,,32.815,,,,,,,,,,1.63,,,,,
1998-01-09,5.99,187828.0974,,,,,,,,,,,0.352,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,734200.0,,,,,,,32.8787,,,,,,,,,,1.25,,,,,
1998-01-12,5.8333,95294.764,,,,,,,,,,,-0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,456600.0,,,,,,,32.9411,,,,78.359,60.0,,,,,1.5,,,,,
1998-01-13,6.23,565032.932,,,,,,,,,,,0.9084,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1031700.0,,,,,,,33.0023,,,,83.8413,93.3702,,,,,2.62,,,,,
1998-01-14,6.5,1533232.932,,,,,,,,,,,0.976,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1999900.0,,,,,,,33.1408,,82.219,84.4567,84.4567,100.0,,,,,2.5,,,,,
1998-01-15,6.5417,1379732.932,567175.6672,,,,,,,,,,0.1667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2460400.0,,,,,,,33.3752,,86.7637,91.993,91.993,82.6087,,,,,1.5,,,,,
1998-01-16,6.4583,1387134.4587,537642.2513,,,,,,,,,,-0.4771,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2298800.0,,,,,,,33.7189,,87.319,85.5072,85.5072,73.913,,,,,2.62,,,,,
1998-01-20,7.2083,2474234.4587,822579.2856,,,,,,,,,,0.9451,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3385900.0,,,,,,,34.0455,,87.6691,85.5072,85.5072,100.0,,,,,4.5,,,,,
1998-01-21,7.0633,2476852.7444,865197.5918,,,,,,,,,,-0.2114,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2927700.0,,,,,,,34.5978,,86.0075,87.0081,87.0081,87.1111,,,,,1.75,,,,,
1998-01-22,7.0,2453193.6535,796450.1344,,,,,,,,,,0.2841,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2754200.0,,,,,,,35.1169,,87.0403,88.6055,88.6055,78.7053,,,,,0.88,,,,,
1998-01-23,7.0,2516452.7444,716049.5094,,,,,,,,,,-0.4318,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2754200.0,,,,,,,35.6049,,85.7069,81.5072,81.5072,78.7053,,,,,0.88,,,,,
1998-01-26,6.8333,2407252.7444,583317.4801,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2645000.0,,,,,,,36.0636,,79.5846,68.641,68.641,48.5126,,,,,1.0,,,,,
1998-01-27,6.9267,2504636.7444,506974.97,,,,,,,,,,0.28,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2818900.0,,,,,,,36.4948,,69.5181,58.406,58.406,48.0,,,,,2.0,,,,,
1998-01-28,7.125,2662952.129,480028.3864,,,,,,,,,,0.5192,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3006000.0,,,,,,,36.9001,,63.7192,64.1105,64.1105,95.8188,,,,,1.56,,,,,
1998-01-29,7.145,2646754.0302,420211.8992,,,,,,,,,,0.1407,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3333700.0,,,,,,,37.2811,,64.3219,70.4494,70.4494,67.5294,,,,,2.63,,,,,
1998-01-30,6.9583,2578270.0302,335750.0727,,,,,,,32.1347,45.5903,38.8625,-0.2933,69.2146,,,,38.8625,,,,,,,,0.0,,,,,,,,,,38.56,38.5,,3.98,,,2938600.0,,11.49,,,,,37.7689,38.8625,67.5783,68.1749,68.1749,41.1765,,,,,1.74,39.2006,,,-21.7391,40.5669
1998-02-02,7.1867,2460063.3635,233063.5614,,,,100.0,5.0,95.0,32.7639,45.8861,39.325,0.3867,92.5869,45.4099,,54.3537,39.268,,,,,,,,0.0,41.9065,,,,,,,,75.6494,38.625,38.625,10.2486,3.781,9.25,4.4863,3460100.0,34.6556,12.7855,,27.3103,1.2731,72.705,38.2226,39.325,65.9902,59.3464,59.3464,69.3333,,,,,2.75,39.7801,,,-11.7447,40.9723
