date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1999-03-31,497.28,3899809.3585,,,,,,,,0.5758,,,,,,,,,,,0.0,,,,,,,,,,,,7937400.0,,,,,,,,,,,,,,,,,,,
1999-04-01,483.0,1569079.9467,,,,,,,,-0.8824,,,,,,,,,,,0.0,,,,,,,,,,,,5038200.0,,,,,,,73.0,,,,,,,12.75,,,,,
1999-04-05,450.78,511318.5554,,,,,,,,-0.7278,,,,,,,,,,,0.0,,,,,,,,,,,,3088800.0,,,,,,,92.0,,,,,,,11.5,,,,,
1999-04-06,474.0,1963334.8323,,,,,,,,0.3386,,,,,,,,,,,0.0,,,,,,,,,,,,5212200.0,,,,,,,92.0,,,,,,,10.69,,,,,
1999-04-07,447.0,1211654.8323,,,,,,,,-0.7507,,,,,,,,,,,0.0,,,,,,,,,,,,4272600.0,,,,,,,91.56,,,,,,,7.5,,,,,
1999-04-08,435.0,1061985.499,,,,,,,,-0.4444,,,,,,,,,,,0.0,,,,,,,,,,,,3386400.0,,,,,,,91.1288,,,,,,,4.5,,,,,
1999-04-09,444.0,1500585.499,,,,,,,,0.2424,,,,,,,,,,,0.0,,,,,,,,,,,,4237800.0,,,,,,,90.7062,,,23.4266,,,,8.25,,,,,
1999-04-12,459.36,2021699.2551,,,,,,,,0.6273,,,,,,,,,,,0.0,,,,,,,,,,,,5334600.0,,,,,,,90.0175,,,38.3615,,,,10.25,,,,,
1999-04-13,489.0,2000007.4822,,,,,,,,0.3187,,,,,,,,,,,0.0,,,,,,,,,,,,6774600.0,,,,,,,89.3495,,40.5473,59.854,,,,9.32,,,,,
1999-04-14,558.78,2531409.1664,43814.4955,,,,,,,0.0526,,,,,,,,,,,0.0,,,,,,,,,,,,10542000.0,,,,,,,67.75,,57.3687,73.8906,,,,17.75,,,,,
1999-04-15,479.28,1282746.0807,-253568.6356,,,,,,,-0.8069,,,,,,,,,,,0.0,,,,,,,,,,,,8507400.0,,,,,,,68.065,,66.2394,64.9735,,,,17.5,,,,,
1999-04-16,488.28,1703054.0807,-218439.3132,,,,,,,0.0317,,,,,,,,,,,0.0,,,,,,,,,,,,9567000.0,,,,,,,68.3769,,64.0664,53.335,,,,12.0,,,,,
1999-04-19,359.28,543808.0807,-553061.1074,,,,,,,-0.9112,,,,,,,,,,,0.0,,,,,,,,,,,,8192400.0,,,,,,,99.25,,48.7685,27.997,,,,24.0,,,,,
1999-04-20,405.78,1733698.6261,-261072.0217,,,,,,,0.7045,,,,,,,,,,,0.0,,,,,,,,,,,,9777000.0,,,,,,,98.8375,,34.7583,22.9429,,,,11.0,,,,,
1999-04-21,447.0,2312657.7659,66326.1507,,,,,,,0.3584,,,,,,,,,,,0.0,,,,,,,,,,,,10679400.0,,,,,,,98.4291,,25.1729,24.5788,,,,8.37,,,,,
1999-04-22,458.28,2048989.4023,110337.6373,,,,,,,-0.5673,,,,,,,,,,,0.0,,,,,,,,,,,,11553000.0,,,,,,,98.0248,,31.0909,45.751000000000005,,,,8.25,,,,,
1999-04-23,528.0,1482600.3114,-61903.0687,,,,,,,0.1411,,,,,,,,,,,0.0,,,,,,,,,,,,16003200.0,,,,,,,97.6246,,44.9296,64.4592,,,,19.37,,,,,
1999-04-26,724.5,9055218.8711,2282731.9177,,,,,,,0.7883,,,,,,,,,,,0.0,,,,,,,,,,,,24117000.0,,,,,,,58.0,,64.1208,82.1522,,,,33.44,,,,,
1999-04-27,778.14,8784199.7468,2948146.3346,,,,,,,0.3301,,,,,,,,,,,0.0,,,,,,,,,,,,31297200.0,,,,,,,58.6344,,78.219,88.0454,,,,19.87,,,,,
1999-04-28,726.0,7551703.4344,2560190.1027,,,,,,48.5903,-0.2137,207.0782,,,,84.4395,,,,,,0.0,,,,,,94.785,99.0,,46.38,,,28604400.0,,100.56,,,,,60.2617,84.4395,85.1875,85.3649,,,,18.44,79.9568,,,-23.1707,89.8178
1999-04-29,826.92,11498573.7862,3424558.5649,,,,90.0,25.0,44.4736,0.9531,184.2527,32.2569,,38.8182,89.5234,,,,,,0.0,122.1261,,,,74.3271,98.85,99.0,15.9993,44.06100000000001,54.94,10.4713,32935800.0,36.3016,99.97200000000001,,66.2886,1.6629,66.1285,61.8565,87.1865,85.9616,84.4746,,,,23.88,81.47800000000001,,,-2.6585,94.9017
1999-04-30,974.28,15684994.5862,4798883.3208,,,,100.0,40.0,37.6222,0.3627,209.84400000000002,41.1845,,48.6252,96.4621,,,,,,0.0,126.2647,,,,76.8062,111.13,111.5,14.3535,41.8579,81.88,9.3669,38008200.0,41.523999999999994,121.0934,,101.7143,2.0171,70.5922,63.4193,91.2805,85.9012,87.86399999999999,,,,30.0,83.7628,,,-2.4486,102.06299999999999
1999-05-03,835.5,10639067.1862,3319322.61,,,,95.0,40.0,37.5115,-0.6595,146.8935,24.8708,,48.6252,100.5371,,,,,,0.0,127.0643,,,,69.202,111.13,111.5,13.2311,39.7651,64.12,11.2204,32768400.0,38.2771,115.0387,,85.3454,1.8535,62.4354,66.4668,94.4865,84.1866,80.2212,,,,23.5,86.7612,,,-24.0654,106.6315
1999-05-04,804.0,7929061.7138,1550016.7043,,,,90.0,40.0,38.2433,-0.4455,106.6451,21.5161,,40.7305,103.7241,,,,,,0.0,127.40299999999999,,,,64.8843,111.13,111.5,15.0965,46.0268,55.0,11.7998,28612200.0,35.8453,109.2868,,69.6203,1.6962,60.758,69.4228,97.2365,76.2975,60.8074,,,,19.37,90.5015,,,-28.971999999999998,110.3947
1999-05-05,907.14,15127555.5952,2975729.0048,,,,85.0,40.0,38.6195,0.3138,98.7846,28.1675,,31.381,108.2446,,,,,,0.0,129.1418,,,,70.4431,111.13,111.5,16.8658,54.2255,76.69,10.9892,36196200.0,32.2921,103.8225,,102.9396,2.0294,64.0837,72.2901,101.071,64.6629,52.96,,,,31.87,95.0425,,,-12.9065,115.5331
1999-05-06,836.64,12173447.9465,2348510.7845,,,24.6794,80.0,40.0,41.2788,-0.6062,91.4052,20.8013,,31.381,111.2156,,,,,,0.0,129.7189,,,,72.991,111.13,111.5,16.1206,51.5142,66.94,11.8258,32404200.0,30.8652,98.6313,25.135,92.331,1.9233,60.4007,75.0714,104.41799999999999,54.9686,51.1385,,,,14.12,100.1566,,,-23.8879,119.1873
1999-05-07,783.96,9235102.9499,943492.5787,,,27.5217,75.0,40.0,44.744,-0.9251,65.0339,15.5766,,24.1976,113.0675,,,,,,0.0,129.7587,,,,69.5542,111.13,111.5,17.9687,57.1885,56.66,12.5516,28986600.0,29.4406,93.6998,27.5148,76.5676,1.7657,57.7883,77.7692,107.251,50.5428,47.5299,11.2725,,,14.69,105.6234,,,-32.0935,121.6865
1999-05-10,768.0,10007819.1263,528804.589,,,29.9964,70.0,40.0,48.3544,0.0,41.8449,14.0041,,17.1449,114.4896,,,,,,0.0,129.6934,,,,66.5442,111.13,111.5,20.0997,62.9591,51.44,12.5968,26292000.0,28.418000000000003,89.0148,29.451,67.1891,1.6719,57.001999999999995,80.3862,109.823,43.4343,31.6346,0.0,,,10.88,111.0287,,,-34.5794,123.6626
1999-05-11,738.0,8289419.1263,-235677.2786,,,31.0719,65.0,40.0,51.6033,-0.9787,37.6309,11.0156,,18.7598,115.3001,,,,,,0.0,129.5045,,,,64.4574,111.13,111.5,19.3362,59.8111,41.5,12.9311,24573600.0,28.2663,87.434,29.9653,50.9202,1.5092,55.5078,82.9246,111.898,33.1519,20.2912,0.0,,,11.75,115.9715,,43.559,-39.2523,124.9176
1999-05-12,756.0,8495561.9835,-461403.7445,,,29.7017,60.0,40.0,53.5917,0.4643,31.2983,12.4648,,17.9169,116.3192,,,,,,0.0,129.4262,,,,61.6813,111.13,111.5,19.2187,57.8205,32.87,12.2698,26016600.0,27.6087,83.0623,28.1531,35.2947,1.3529,56.2324,85.3868,113.5415,22.8451,16.6095,4.9366,,,7.0,120.5217,,48.8486,-36.4486,126.2606
1999-05-13,729.0,7475016.5289,-836519.603,,,27.2115,55.0,40.0,57.6337,-0.7618,25.4779,9.6452,,19.7164,116.8126,,,,,,0.0,129.1797,,,,61.8931,111.13,111.5,18.5064,54.9295,41.62,12.5407,24894000.0,27.5962,81.9092,25.3582,52.1032,1.521,54.8226,87.7752,115.6225,15.3312,9.0928,4.9366,,,11.0,124.6702,,48.5604,-40.6542,127.0186
1999-05-14,796.92,11199725.1741,271205.715,,,25.8765,50.0,40.0,61.9728,0.8271,32.3248,15.2702,,21.2312,118.3371,,,,,,0.0,129.3209,,,,65.0092,111.13,111.5,17.5421,52.183,51.44,11.4818,29649600.0,26.9987,80.3138,23.6039,63.2096,1.6321,57.6351,90.09200000000001,118.1945,20.3473,35.3397,38.27,,,15.5,128.0232,,40.9001,-30.0748,128.6564
1999-05-17,790.5,12967454.9818,1262170.4916,,,23.1496,45.0,40.0,72.1306,0.03,29.3936,14.5606,,21.2312,119.6145,15.6467,,-5.8755,,,0.0,129.4943,,,22.8188,66.639,115.005,111.5,17.0112,49.5739,71.87,11.331,27601200.0,26.1816,76.2981,20.697,120.0234,2.2002,57.2803,92.3392,121.788,33.7933,56.9475,62.4616,,,8.82,130.5716,,47.242,-31.0748,129.9474
1999-05-18,816.78,13971022.146,1872139.226,,,18.6709,40.0,40.0,81.9295,0.4046,45.4244,16.7684,,25.8392,121.1874,17.2118,,0.2547,,,0.0,129.9456,19.4173,26.4311,23.9519,68.531,118.44,116.315,16.3011,47.0952,68.5,10.8611,30112200.0,27.6604,79.9132,16.3578,101.2864,2.0129,58.3842,94.51899999999999,125.213,58.6794,83.7509,95.7949,,,12.06,132.4179,,54.4769,-29.6498,131.3133
1999-05-19,855.0,14829337.9354,2224577.8934,,,16.5956,35.0,35.0,91.564,0.6053,72.53699999999999,19.9356,,28.5056,123.2172,18.6695,,11.561,,,0.0,130.793,18.6401,25.5329,25.1374,68.9375,119.38,119.25,15.7558,44.7404,68.0,10.1901,31471200.0,28.3198,80.4175,14.2467,91.2752,1.9128,59.9678,96.6335,128.613,75.4079,85.5253,95.7949,,,9.5,133.5818,,54.7025,-24.5902,132.9597
1999-05-20,806.28,14273320.0551,1989608.2142,,,15.0407,30.0,30.0,103.2291,-0.7614,43.4618,14.1091,,24.7088,124.2803,19.7603,,17.3227,,,0.0,130.9767,17.8551,24.1461,26.2298,67.7138,125.19,123.5,16.2616,46.1234,58.0,10.7816,30424800.0,26.9349,76.3966,12.7384,75.9361,1.7594,57.0546,98.6845,131.513,82.5118,78.2591,66.6667,,,13.87,134.0025,,53.813,-36.8916,133.509
1999-05-21,833.64,12424278.4551,1124279.3624,,,11.7483,25.0,25.0,113.90100000000001,-0.7291,63.18,16.5068,,25.1908,125.6765,20.3334,,23.2455,,,0.0,131.3326,17.1385,22.1185,27.3569,67.9522,141.565,132.875,15.6032,43.8172,50.94,10.3156,33747000.0,26.1114,73.3268,9.7622,57.8864,1.5789,58.2534,100.6739,134.06,79.1407,73.6376,47.0506,,,11.37,133.9253,,53.797,-40.5603,134.2163
1999-05-24,752.1,11434218.9622,353055.0513,,,8.883,20.0,20.0,114.6453,-0.7268,-57.4754,7.1254,,9.5662,125.6454,20.5314,,13.4774,,,0.0,131.2951,16.2463,19.6531,28.3368,62.9115,141.69,140.0,20.2031,57.4964,4.6,11.5727,31859400.0,24.4773,69.6605,7.279,3.8095,1.0381,53.5627,102.6037,134.29,66.7416,48.328,13.7172,,,17.81,133.4361,,53.7435,-79.3,133.3868
1999-05-25,624.0,8436532.533,-948351.0353,,,4.9644,15.0,-85.0,109.3712,-0.6444,-186.1037,-5.4631,134.5839,4.732,123.5839,20.5614,,6.2636,,,0.0,130.752,14.9133,16.9045,29.0935,56.2245,133.19,134.0,24.5168,72.7516,-25.69,14.5192,28615800.0,22.3013,66.1774,4.0122,-19.8088,0.8019,47.2685,165.0,133.0055,50.4518,29.3898,13.7172,,,26.38,132.7083,,38.4765,-98.3871,130.502
1999-05-26,682.68,12021037.8664,-254006.2796,25.3588,,2.0044,10.0,-90.0,108.0852,0.2933,-191.2688,0.1923,131.7578,8.8746,122.6502,20.4159,,-5.2714,,,0.0,130.6267,13.4958,14.1037,29.9403,55.4702,133.19,131.0,25.0459,75.11399999999999,-7.22,13.3987,32762400.0,20.9628,62.8686,1.597,-5.9669,0.9403,50.0962,164.38,132.6445,31.8948,17.9667,8.5805,,,18.0,131.9302,,43.6881,-75.3235,128.671
1999-05-27,664.86,11103065.0704,-238946.9256,24.4528,,-0.4079,5.0,-90.0,105.1052,-0.2443,-139.2966,-1.4962,128.7426,7.2384,121.5226,20.046,,-23.7116,,,0.0,130.1783,12.0216,11.1832,30.749,53.4329,133.19,131.0,24.3669,71.3583,-27.01,13.4282,31120800.0,21.0774,61.7251,-0.3215,-19.598,0.804,49.2519,163.0324,131.29399999999998,23.0175,21.695999999999998,14.5991,,,7.94,131.0095,,41.8104,-79.6912,126.5915
1999-05-28,672.18,12189581.5504,134645.9561,23.7017,,-2.9433,0.0,-90.0,105.5073,0.8048,-143.3357,-0.762,126.3329,9.4305,120.6185,19.4765,,-23.2591,,,0.0,129.0696,10.5812,8.283999999999999,31.5618,47.7965,127.595,127.94,24.9072,70.8504,-50.35,12.8968,32289600.0,20.6143,58.6389,-2.2945,-31.0075,0.6899,49.619,161.7118,128.7765,24.1806,32.879,27.0473,,,6.25,130.0481,,41.6707,-75.7111,124.7569
1999-06-01,596.64,10699934.7812,-198739.6513,23.2808,,-5.2216,0.0,-85.0,100.79,-0.7838,-172.7087,-7.9924,121.9468,15.2841,118.6015,18.7746,,-32.4453,,,0.0,127.6521,9.0125,5.6293,32.2406,51.4528,125.315,124.5,26.6213,75.8079,-39.81,14.5337,30166200.0,19.5625,55.7069,-4.0567,-28.5889,0.7141,46.0038,160.4175,126.786,26.1641,23.9173,18.4668,,,14.53,129.0617,,40.6556,-95.5636,121.9629
1999-06-02,557.46,8260804.3464,-1093144.3879,23.1469,,-7.4767,10.0,-90.0,95.1001,-0.2017,-177.4073,-11.5124,116.9676,20.6032,116.1547,18.0539,,-20.5634,,,0.0,125.934,7.3209,2.9546,32.8473,52.5128,122.05,120.565,28.0012,80.3875,-41.09,15.6686,25678200.0,18.434,52.9216,-5.8574,-30.6642,0.6934,44.2438,159.1492,124.7315,25.264,18.9956,12.4482,,,16.56,127.7506,,38.4702,-93.9876,118.7366
1999-06-03,504.78,5629285.1545,-2196962.0333,23.1743,,-9.6927,5.0,-95.0,89.3983,-0.7786,-179.4682,-16.0575,111.0807,23.6941,113.1047,17.4802,,9.4067,,,0.0,121.1929,5.4841,0.2064,33.3601,42.2377,113.315,118.0,28.6348,81.4981,-67.06,17.1447,22987800.0,17.6646,50.2755,-7.6992,-44.3548,0.5565,41.9712,157.0486,121.3785,16.6923,7.1641,0.0,,,11.88,125.8895,,36.9208,-99.8088,114.8698
