date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD,MACDEXT,MACD_Hist,MACD,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1999-07-26,13.0,-313100.0,,,,,,,,,,,-0.62,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,313100.0,,,,,,,,,,,,,,,,,,,,,,
1999-07-27,14.13,-284211.1111,,,,,,,,,,,0.5208,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,443100.0,,,,,,,13.0,,,,,,,,,,1.69,,,,,
1999-07-28,13.5,-356711.1111,,,,,,,,,,,-0.88,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,370600.0,,,,,,,13.0169,,,,,,,,,,1.0,,,,,
1999-07-29,13.13,-449596.2175,,,,,,,,,,,-0.8617,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,242200.0,,,,,,,14.69,,,,,,,,,,0.94,,,,,
1999-07-30,12.0,-454914.3993,,,,,,,,,,,-0.5072,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,118700.0,,,,,,,14.6731,,,,,,,,,,2.13,,,,,
1999-08-02,11.63,-535514.3993,,,,,,,,,,,-0.4886,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4300.0,,,,,,,14.5996,,,,,,,,,,0.88,,,,,
1999-08-03,12.0,-550407.9477,,,,,,,,,,,-0.8065,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,28600.0,,,,,,,14.5276,,,,24.2483,28.5714,,,,,0.87,,,,,
1999-08-04,13.0,-481023.9477,,,,,,,,,,,0.7467,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,134800.0,,,,,,,14.4571,,,,37.8906,68.0272,,,,,1.13,,,,,
1999-08-05,13.63,-476485.4862,,,,,,,,,,,0.4808,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,252800.0,,,,,,,14.388,,41.5928,62.6394,62.6394,91.3194,,,,,0.88,,,,,
1999-08-06,14.0,-404364.8512,-11766.5213,,,,,,,,,,0.3968,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,375600.0,,,,,,,14.3202,,61.7771,84.8012,84.8012,95.057,,,,,0.63,,,,,
1999-08-09,15.13,-271864.8512,45699.1901,,,,,,,,,,0.8224,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,508100.0,,,,,,,11.0,,80.9665,95.4588,95.4588,100.0,,,,,1.13,,,,,
1999-08-10,14.44,-319648.9421,49849.3895,,,,,,,,,,-0.7841,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,424000.0,,,,,,,11.0413,,90.0829,89.9887,89.9887,74.9091,,,,,0.88,,,,,
1999-08-11,14.81,-278782.2755,60018.4659,,,,,,,,,,0.6667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,546600.0,,,,,,,11.0822,,90.3525,85.61,85.61,81.9209,,,,,0.75,,,,,
1999-08-12,14.13,-284479.1009,56909.6922,,,,,,,,,,-0.7937,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,536900.0,,,,,,,11.1227,,80.2529,65.1601,65.1601,38.6503,,,,,0.81,,,,,
1999-08-13,14.25,-275352.7851,53368.1405,,,,,,,,,,0.2368,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,565800.0,,,,,,,11.1627,,66.1117,47.565,47.565,22.1239,,,,,0.38,,,,,
1999-08-16,14.06,-276252.7851,46781.3111,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,564900.0,,,,,,,11.2024,,44.9177,22.028,22.028,5.3097,,,,,0.25,,,,,
1999-08-17,14.0,-279152.7851,38911.1254,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,562000.0,,,,,,,11.2417,,26.2459,9.1445,9.1445,0.0,,,,,0.19,,,,,
1999-08-18,14.0,-280852.7851,31613.2198,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,562000.0,,,,,,,11.2806,,10.9808,1.7699,1.7699,0.0,,,,,0.31,,,,,
1999-08-19,15.0,-227652.7851,42681.0566,,,,,,,,,,0.92,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,615200.0,,,,,,,11.3191,,14.7493,33.3333,33.3333,100.0,,,,,1.0,,,,,
