date,Share Price
27/04/1993,24.5
28/04/1993,24.299999
29/04/1993,23.700001
30/04/1993,24.1
03/05/1993,24.1
04/05/1993,24.9
05/05/1993,24.6
06/05/1993,25.6
07/05/1993,25.799999
10/05/1993,25.200001
11/05/1993,26.299999
12/05/1993,26.700001
13/05/1993,27.4
14/05/1993,27.799999
17/05/1993,29.299999
18/05/1993,29.5
19/05/1993,29.9
20/05/1993,32
21/05/1993,33.200001
24/05/1993,33.799999
25/05/1993,34.400002
26/05/1993,35
27/05/1993,34.799999
28/05/1993,34.900002
31/05/1993,34.900002
01/06/1993,37.200001
02/06/1993,39.299999
03/06/1993,40.799999
04/06/1993,41.200001
07/06/1993,42.200001
08/06/1993,42.200001
09/06/1993,41.5
10/06/1993,null
11/06/1993,44.900002
14/06/1993,45.200001
15/06/1993,45.900002
16/06/1993,49.400002
17/06/1993,47.099998
18/06/1993,47.400002
21/06/1993,47.900002
22/06/1993,49.5
23/06/1993,48.099998
24/06/1993,48.700001
25/06/1993,52.200001
28/06/1993,53.599998
29/06/1993,52.900002
30/06/1993,53.700001
01/07/1993,52.299999
02/07/1993,52.299999
05/07/1993,54.900002
06/07/1993,56.099998
07/07/1993,57.5
08/07/1993,57.099998
09/07/1993,58.799999
12/07/1993,59.700001
13/07/1993,60.400002
14/07/1993,58
15/07/1993,57.099998
16/07/1993,58.299999
19/07/1993,59.200001
20/07/1993,62.299999
21/07/1993,62.299999
22/07/1993,61.700001
23/07/1993,63.5
26/07/1993,61.799999
27/07/1993,62.099998
28/07/1993,63.799999
29/07/1993,66.099998
30/07/1993,65.599998
02/08/1993,62.700001
03/08/1993,62.599998
04/08/1993,61.799999
05/08/1993,62.700001
06/08/1993,64.199997
09/08/1993,64.300003
10/08/1993,67.5
11/08/1993,69.900002
12/08/1993,74
13/08/1993,72.699997
16/08/1993,77.300003
17/08/1993,80.199997
18/08/1993,79.5
19/08/1993,85.099998
20/08/1993,88.300003
23/08/1993,89.900002
24/08/1993,90.599998
25/08/1993,91.5
26/08/1993,97.300003
27/08/1993,97.300003
30/08/1993,99.800003
31/08/1993,96.400002
01/09/1993,102.599998
02/09/1993,109.900002
03/09/1993,111.800003
06/09/1993,116.199997
07/09/1993,null
08/09/1993,117.5
09/09/1993,118.199997
10/09/1993,123.099998
13/09/1993,123.199997
14/09/1993,120.300003
15/09/1993,124
16/09/1993,127.800003
17/09/1993,138.899994
20/09/1993,138.100006
21/09/1993,134.699997
22/09/1993,136.199997
23/09/1993,143
24/09/1993,142.699997
27/09/1993,139.100006
28/09/1993,143.800003
29/09/1993,147.399994
30/09/1993,146.600006
01/10/1993,148.300003
04/10/1993,147.199997
05/10/1993,153.399994
06/10/1993,157.800003
07/10/1993,167
08/10/1993,172.899994
11/10/1993,180.699997
12/10/1993,null
13/10/1993,184.600006
14/10/1993,187
15/10/1993,189.399994
18/10/1993,171.399994
19/10/1993,176.699997
20/10/1993,166
21/10/1993,150.300003
22/10/1993,166.899994
25/10/1993,156.100006
26/10/1993,164.300003
27/10/1993,179.800003
28/10/1993,177.5
29/10/1993,184.399994
01/11/1993,203.600006
02/11/1993,null
03/11/1993,201.5
04/11/1993,198.100006
05/11/1993,201.5
08/11/1993,212.899994
09/11/1993,213.399994
10/11/1993,228.300003
11/11/1993,232.800003
12/11/1993,235.899994
15/11/1993,null
16/11/1993,239.300003
17/11/1993,250.5
18/11/1993,251.300003
19/11/1993,249.800003
22/11/1993,247.399994
23/11/1993,258.399994
24/11/1993,270.100006
25/11/1993,276.399994
26/11/1993,282.200012
29/11/1993,276.5
30/11/1993,274
01/12/1993,267
02/12/1993,271.700012
03/12/1993,288.700012
06/12/1993,296.200012
07/12/1993,293
08/12/1993,291.200012
09/12/1993,284.700012
10/12/1993,290.600006
13/12/1993,294.299988
14/12/1993,304.899994
15/12/1993,301.200012
16/12/1993,304.299988
17/12/1993,309.399994
20/12/1993,310
21/12/1993,329.700012
22/12/1993,343.399994
23/12/1993,349.200012
24/12/1993,null
27/12/1993,359.299988
28/12/1993,360.399994
29/12/1993,373.600006
30/12/1993,375.5
31/12/1993,null
03/01/1994,380.100006
04/01/1994,400.600006
05/01/1994,421.100006
06/01/1994,444.200012
07/01/1994,476.399994
10/01/1994,495.399994
11/01/1994,501.399994
12/01/1994,536.400024
13/01/1994,561.700012
14/01/1994,551.099976
17/01/1994,598.099976
18/01/1994,605.700012
19/01/1994,642
20/01/1994,689.700012
21/01/1994,689.200012
24/01/1994,689.599976
25/01/1994,null
26/01/1994,704.900024
27/01/1994,684.5
28/01/1994,689.200012
31/01/1994,740.599976
01/02/1994,826.900024
02/02/1994,823.099976
03/02/1994,798.400024
04/02/1994,821.299988
07/02/1994,848.700012
08/02/1994,888
09/02/1994,904.700012
10/02/1994,1000.900024
11/02/1994,1035.400024
14/02/1994,null
15/02/1994,null
16/02/1994,null
17/02/1994,1040.900024
18/02/1994,944.900024
21/02/1994,928.599976
22/02/1994,1053.699951
23/02/1994,1063
24/02/1994,998
25/02/1994,1008.299988
28/02/1994,1053.900024
01/03/1994,1073.300049
02/03/1994,1021.5
03/03/1994,1045.800049
04/03/1994,1114
07/03/1994,1193.900024
08/03/1994,1204.5
09/03/1994,1260.199951
10/03/1994,1266.900024
11/03/1994,1268.699951
14/03/1994,1329.699951
15/03/1994,1350.900024
16/03/1994,1408.400024
17/03/1994,1393.800049
18/03/1994,1331.800049
21/03/1994,1270.800049
22/03/1994,1353.5
23/03/1994,1415.699951
24/03/1994,1376.599976
25/03/1994,1459.099976
28/03/1994,1469.300049
29/03/1994,1440.800049
30/03/1994,1515.599976
31/03/1994,null
01/04/1994,null
04/04/1994,1355
05/04/1994,1428
06/04/1994,1435.5
07/04/1994,1474.900024
08/04/1994,1537.400024
11/04/1994,1659.599976
12/04/1994,1648.900024
13/04/1994,1552.699951
14/04/1994,1506.199951
15/04/1994,1443.400024
18/04/1994,1401.099976
19/04/1994,1345.599976
20/04/1994,1283.800049
21/04/1994,null
22/04/1994,1420.300049
25/04/1994,1551.599976
26/04/1994,1583.900024
27/04/1994,1605.199951
28/04/1994,1672.699951
29/04/1994,1708.400024
02/05/1994,1725.699951
03/05/1994,1648.400024
04/05/1994,1573.800049
05/05/1994,1447.900024
06/05/1994,1510.300049
09/05/1994,1421.800049
10/05/1994,1548
11/05/1994,1546.099976
12/05/1994,1637.800049
13/05/1994,1585.900024
16/05/1994,1562.599976
17/05/1994,1648.400024
18/05/1994,1790.900024
19/05/1994,2008.5
20/05/1994,2031.699951
23/05/1994,2096.300049
24/05/1994,2127.800049
25/05/1994,2301.800049
26/05/1994,2342.100098
27/05/1994,2349.5
30/05/1994,2428.399902
31/05/1994,2467.199951
01/06/1994,2526.5
02/06/1994,null
03/06/1994,2696
06/06/1994,2908.699951
07/06/1994,2920.5
08/06/1994,2821.800049
09/06/1994,2932.399902
10/06/1994,3020.399902
13/06/1994,2946.899902
14/06/1994,3017.300049
15/06/1994,3069.800049
16/06/1994,3033.899902
17/06/1994,3237.600098
20/06/1994,3237.899902
21/06/1994,3127.600098
22/06/1994,3198.600098
23/06/1994,3140
24/06/1994,3109.600098
27/06/1994,3372.100098
28/06/1994,3563.600098
29/06/1994,3828.399902
30/06/1994,3623.199951
01/07/1994,null
04/07/1994,3580.899902
05/07/1994,3564.300049
06/07/1994,3753.5
07/07/1994,3905
08/07/1994,4051.899902
11/07/1994,4010.899902
12/07/1994,3919.800049
13/07/1994,3840.899902
