date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,24.94,309313.2743,,,,,,,,0.4956,,,,,,,,,,,0.0,,,,,,,,,,,,554800.0,,,,,,,,,,,,,,,,,,,
1998-01-05,25.13,809313.2743,,,,,,,,0.2955,,,,,,,,,,,0.0,,,,,,,,,,,,1654800.0,,,,,,,24.06,,,,,,,0.44,,,,,
1998-01-06,24.5,140001.2743,,,,,,,,-0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,858000.0,,,,,,,24.0719,,,,,,,0.75,,,,,
1998-01-07,23.88,378286.9886,,,,,,,,-0.3214,,,,,,,,,,,0.0,,,,,,,,,,,,190800.0,,,,,,,25.25,,,,,,,1.0,,,,,
1998-01-08,24.31,547954.1886,,,,,,,,0.496,,,,,,,,,,,0.0,,,,,,,,,,,,764000.0,,,,,,,25.2325,,,,,,,1.25,,,,,
1998-01-09,23.31,227994.3346,,,,,,,,-0.6861,,,,,,,,,,,0.0,,,,,,,,,,,,-95500.0,,,,,,,25.2152,,,,,,,1.43,,,,,
1998-01-12,22.75,-22933.325,,,,,,,,0.0638,,,,,,,,,,,0.0,,,,,,,,,,,,-516700.0,,,,,,,25.1685,,,23.8845,,,,0.94,,,,,
1998-01-13,23.75,602005.5639,,,,,,,,0.7361,,,,,,,,,,,0.0,,,,,,,,,,,,806700.0,,,,,,,25.0902,,,26.5686,,,,1.44,,,,,
1998-01-14,23.13,823930.8386,,,,,,,,-0.3407,,,,,,,,,,,0.0,,,,,,,,,,,,-455500.0,,,,,,,25.0143,,28.0776,33.7797,,,,1.82,,,,,
1998-01-15,24.06,1972695.2558,572936.8421,,,,,,,0.7239,,,,,,,,,,,0.0,,,,,,,,,,,,1435900.0,,,,,,,24.8961,,40.1518,60.1072,,,,1.63,,,,,
1998-01-16,23.44,1167516.6844,430583.1975,,,,,,,-0.7232,,,,,,,,,,,0.0,,,,,,,,,,,,534100.0,,,,,,,24.7827,,51.578,60.8471,,,,1.12,,,,,
1998-01-20,24.88,1959394.8895,585164.9356,,,,,,,0.7628,,,,,,,,,,,0.0,,,,,,,,,,,,2040600.0,,,,,,,22.06,,66.0032,77.0552,,,,1.81,,,,,
1998-01-21,24.75,2163734.3853,660223.2194,,,,,,,-0.3697,,,,,,,,,,,0.0,,,,,,,,,,,,1256200.0,,,,,,,22.0919,,71.4435,76.4282,,,,1.19,,,,,
1998-01-22,25.31,2443498.5363,719924.4545,,,,,,,0.6415,,,,,,,,,,,0.0,,,,,,,,,,,,2244700.0,,,,,,,22.1235,,80.028,86.6007,,,,1.06,,,,,
1998-01-23,25.0,2315758.5363,638255.4639,,,,,,,-0.552,,,,,,,,,,,0.0,,,,,,,,,,,,1606000.0,,,,,,,22.1948,,80.9824,79.9184,,,,1.25,,,,,
1998-01-26,24.81,1624792.4985,326969.3681,,,,,,,-0.1792,,,,,,,,,,,0.0,,,,,,,,,,,,712800.0,,,,,,,22.3015,,78.8173,69.9327,,,,1.06,,,,,
1998-01-27,25.0,2013158.7006,293471.6325,,,,,,,0.0662,,,,,,,,,,,0.0,,,,,,,,,,,,1183100.0,,,,,,,25.75,,72.2246,66.8227,,,,2.87,,,,,
1998-01-28,28.56,4311512.6013,984383.197,,,,,,,0.8191,,,,,,,,,,,0.0,,,,,,,,,,,,4156200.0,,,,,,,22.38,,70.8286,75.7302,,,,3.88,,,,,
1998-01-29,27.63,3507354.2013,921670.8737,,,,,,,-0.544,,,,,,,,,,,0.0,,,,,,,,,,,,3000800.0,,,,,,,22.38,,75.6944,84.5303,,,,1.25,,,,,
1998-01-30,28.0,3447790.0792,793275.3504,,,,,,21.8013,0.2824,200.9664,,,,24.857,,,,,,0.0,,,,,,25.655,25.47,,5.38,,,4115500.0,,6.88,,,,,22.445,24.857,82.5655,87.4359,,,,1.31,24.3648,,,-12.9032,25.3912
1998-02-02,28.63,3102334.0792,558716.1499,,,,100.0,60.0,21.5706,0.38,189.9067,24.7485,,16.2612,25.2163,,,,,,0.0,28.0287,,,,76.9882,25.69,25.655,18.6703,5.1110000000000015,3.69,5.021,5554900.0,25.9215,7.096,,14.7955,1.148,62.3742,22.5094,25.0415,86.0116,86.0687,,,,1.25,24.5722,,,-8.6231,25.7505
1998-02-03,29.69,4561534.0792,876258.6452,,,,100.0,65.0,21.2497,0.8403,172.5864,29.9878,,19.3222,25.6424,,,,,,0.0,28.1232,,,,77.6292,26.22,25.875,17.8534,4.8555,4.56,4.8,7014100.0,26.4051,7.1812,,18.1456,1.1815,64.9939,22.6442,25.2695,88.6612,92.4789,,,,1.19,24.8369,,,-0.0,26.1932
1998-02-04,29.63,5496034.0792,1223843.4255,,,,100.0,70.0,21.101,0.6702,142.1415,29.4508,,19.7434,26.0222,,,,,,0.0,28.2311,,,,81.8169,26.22,25.905,17.2266,4.6127,5.13,4.7279,5759200.0,25.7022,6.8821,,20.9388,1.2094,64.7254,22.8555,25.526,91.2839,95.304,,,,0.94,25.1483,,,-1.5605,26.6085
