date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,0.3594,20800.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,62400.0,,,,,,,,,,,,,,,,,,,
1998-01-05,0.375,67600.0,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,249600.0,,,,,,,9.375,,,,,,,1.0,,,,,
1998-01-06,0.3776,125812.0,,,,,,,,-0.248,,,,,,,,,,,0.0,,,,,,,,,,,,365100.0,,,,,,,9.375,,,,,,,0.25,,,,,
1998-01-07,0.401,300312.0,,,,,,,,0.6921,,,,,,,,,,,0.0,,,,,,,,,,,,539600.0,,,,,,,8.375,,,,,,,0.812,,,,,
1998-01-08,0.3802,163245.3333,,,,,,,,-0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,334000.0,,,,,,,8.3875,,,,,,,0.75,,,,,
1998-01-09,0.3646,68945.3333,,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,239700.0,,,,,,,8.4147,,,,,,,0.5,,,,,
1998-01-12,0.3698,98545.3333,,,,,,,,0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,328500.0,,,,,,,8.4415,,,34.6801,,,,0.375,,,,,
1998-01-13,0.3594,-24654.6667,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,205300.0,,,,,,,8.4676,,,16.4983,,,,0.313,,,,,
1998-01-14,0.3672,21445.3333,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,251400.0,,,,,,,8.4933,,21.3854,12.9778,,,,0.188,,,,,
1998-01-15,0.3516,-4842.6667,-39769.5712,,,,,,,-0.624,,,,,,,,,,,0.0,,,,,,,,,,,,145400.0,,,,,,,9.75,,13.771,11.837,,,,0.563,,,,,
1998-01-16,0.3594,24657.3333,-29062.7512,,,,,,,0.75,,,,,,,,,,,0.0,,,,,,,,,,,,204400.0,,,,,,,9.735,,17.7728,28.5037,,,,0.5,,,,,
1998-01-20,0.375,136007.3333,13388.9253,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,427100.0,,,,,,,9.7202,,30.6152,51.5048,,,,0.5,,,,,
1998-01-21,0.3646,108907.3333,20915.6179,,,,,,,-0.626,,,,,,,,,,,0.0,,,,,,,,,,,,400000.0,,,,,,,9.7054,,47.3044,61.9048,,,,0.5,,,,,
1998-01-22,0.362,88107.3333,15475.1178,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,379200.0,,,,,,,9.6909,,57.7492,59.8381,,,,0.312,,,,,
1998-01-23,0.3516,74764.9333,7597.3207,,,,,,,-0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,298500.0,,,,,,,9.6765,,54.0945,40.5407,,,,0.75,,,,,
1998-01-26,0.3281,-6644.1576,-22218.9726,,,,,,,-0.6364,,,,,,,,,,,0.0,,,,,,,,,,,,199000.0,,,,,,,9.6455,,42.3436,26.6519,,,,1.375,,,,,
1998-01-27,0.3333,67189.1758,-8904.2163,,,,,,,0.4444,,,,,,,,,,,0.0,,,,,,,,,,,,331900.0,,,,,,,9.5886,,30.99,25.7773,,,,1.125,,,,,
1998-01-28,0.349,163989.1758,28152.2037,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,428700.0,,,,,,,9.49,,29.9219,37.3366,,,,0.375,,,,,
1998-01-29,0.3698,220389.1758,58697.8116,,,,,,,0.75,,,,,,,,,,,0.0,,,,,,,,,,,,541500.0,,,,,,,9.3954,,42.2798,63.7255,,,,0.625,,,,,
