date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,2.75,61506.8182,,,,,,,,0.5682,,,,,,,,,,,0.0,,,,,,,,,,,,87300.0,,,,,,,,,,,,,,,,,,,
1998-01-05,2.9688,479566.9409,,,,,,,,0.7669,,,,,,,,,,,0.0,,,,,,,,,,,,584700.0,,,,,,,21.25,,,,,,,1.88,,,,,
1998-01-06,3.07,985066.9409,,,,,,,,0.7642,,,,,,,,,,,0.0,,,,,,,,,,,,1090200.0,,,,,,,21.2763,,,,,,,1.06,,,,,
1998-01-07,2.68,396691.57,,,,,,,,-0.9822,,,,,,,,,,,0.0,,,,,,,,,,,,480100.0,,,,,,,21.342,,,,,,,3.37,,,,,
1998-01-08,2.7037,-7928.8846,,,,,,,,-0.1364,,,,,,,,,,,0.0,,,,,,,,,,,,1054400.0,,,,,,,21.38,,,,,,,0.94,,,,,
1998-01-09,2.5238,-425632.3329,,,,,,,,-0.5647,,,,,,,,,,,0.0,,,,,,,,,,,,433200.0,,,,,,,24.75,,,,,,,2.32,,,,,
1998-01-12,2.485,-183724.3329,,,,,,,,0.065,,,,,,,,,,,0.0,,,,,,,,,,,,-203400.0,,,,,,,24.7006,,,13.5432,,,,2.0,,,,,
1998-01-13,2.6563,190269.3814,,,,,,,,0.5714,,,,,,,,,,,0.0,,,,,,,,,,,,457700.0,,,,,,,24.5766,,,24.5908,,,,1.75,,,,,
1998-01-14,2.6412,56736.0481,,,,,,,,-0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,57100.0,,,,,,,24.4551,,27.585,44.6212,,,,0.75,,,,,
1998-01-15,2.625,-17363.9519,-55767.3302,,,,,,,-0.5067,,,,,,,,,,,0.0,,,,,,,,,,,,-165200.0,,,,,,,24.336,,43.1433,60.218,,,,0.75,,,,,
1998-01-16,2.6637,-39838.3519,-62243.3484,,,,,,,0.14400000000000002,,,,,,,,,,,0.0,,,,,,,,,,,,50900.0,,,,,,,24.2192,,59.0508,72.3132,,,,1.25,,,,,
1998-01-20,2.75,45561.6481,-32061.4151,,,,,,,0.2874,,,,,,,,,,,0.0,,,,,,,,,,,,136300.0,,,,,,,24.1049,,71.8611,83.0521,,,,0.87,,,,,
1998-01-21,2.7813,169517.4003,22640.8801,,,,,,,0.2212,,,,,,,,,,,0.0,,,,,,,,,,,,297300.0,,,,,,,23.9928,,82.0451,90.7701,,,,1.13,,,,,
1998-01-22,2.6875,64017.4003,9392.6482,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,191800.0,,,,,,,23.8829,,84.0387,78.2939,,,,1.0,,,,,
1998-01-23,2.57,-82130.5997,-43382.5965,,,,,,,-0.88,,,,,,,,,,,0.0,,,,,,,,,,,,-500.0,,,,,,,23.7752,,72.2849,47.7907,,,,1.5,,,,,
1998-01-26,2.5475,-186755.5997,-94318.3697,,,,,,,0.2188,,,,,,,,,,,0.0,,,,,,,,,,,,-186500.0,,,,,,,23.6697,,48.0887,18.1814,,,,0.32,,,,,
1998-01-27,2.7262,33927.067,-36364.1221,,,,,,,0.9533,,,,,,,,,,,0.0,,,,,,,,,,,,56900.0,,,,,,,23.5663,,30.8996,26.7267,,,,1.5,,,,,
1998-01-28,2.7575,144390.2249,25797.6315,,,,,,,0.1579,,,,,,,,,,,0.0,,,,,,,,,,,,231800.0,,,,,,,23.465,,31.8136,50.5327,,,,0.38,,,,,
1998-01-29,2.7662,55327.8249,20544.1641,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,459000.0,,,,,,,23.3657,,49.7598,72.0199,,,,1.25,,,,,
1998-01-30,2.6012,-246467.4414,-79498.3994,,,,,,19.4085,-0.7041,-37.2504,,,,21.581999999999997,,,,,,0.0,,,,,,22.22,21.625,,7.63,,,30400.0,,6.93,,,,,23.2684,21.581999999999997,59.3124,55.3847,,,,1.69,21.3719,,,-63.04,21.4058
1998-02-02,2.7037,-465025.93200000003,-182739.1134,,,,15.0,-15.0,19.3982,-0.1132,18.3976,-2.2769,,3.3875,21.5866,,,,,,0.0,20.815,,,,51.2072,22.22,21.625,27.8205,7.2485,-0.37,6.3199,444100.0,25.9974,6.7735,,-1.6818,0.9832,48.8615,23.173000000000002,21.5635,57.3521,44.6518,,,,1.63,21.3565,,,-49.92,21.4104
1998-02-03,2.9613,46804.068,-45506.3042,,,,10.0,-15.0,19.4072,0.845,135.4051,9.7643,,5.8694,21.7869,,,,,,0.0,20.8278,,,,51.5115,22.22,21.625,25.6257,6.8861,-0.06,5.9293,988600.0,28.8214,7.7448,,-0.2526,0.9975,54.8821,18.5,21.5605,51.614,54.8055,,,,2.12,21.3626,,,-16.96,21.6129
1998-02-04,2.9688,143140.7092,45423.8948,,,,5.0,-15.0,19.5734,0.0,199.9035,10.0888,,9.138,21.9739,,,,,,0.0,20.8544,,,,50.6855,21.815,21.625,24.3749,6.5418,-0.81,5.8944,1395700.0,29.2776,7.8576,,-3.298,0.9670000000000001,55.0444,18.5525,21.52,58.9612,77.4263,,,,1.31,21.3984,,,-16.0,21.8214
1998-02-05,2.5863,449658.4235,176021.5313,,,,0.0,-15.0,19.5025,0.3943,-81.837,-7.7271,,11.5,21.8516,,,,,,0.0,20.853,,,,34.5648,21.815,21.375,31.8843,9.4047,-0.75,7.3945,-2730500.0,25.3073,7.4647,,-3.4981,0.965,46.1364,18.6664,21.4825,66.9059,68.486,,,,4.0,21.4477,,,-61.913000000000004,21.7424
1998-02-06,2.6325,315681.6793,170816.9157,,,,90.0,80.0,19.4669,0.1395,-35.6379,-5.5529,,11.5,21.7762,,,,,,0.0,20.8545,,,,41.402,21.815,21.375,31.1941,8.9344,-0.57,7.0486,-1907500.0,24.7595,7.0915,,-2.6352,0.9736,47.2235,18.7781,21.454,63.7985,45.4833,,,,0.62,21.5011,,,-55.4783,21.7021
1998-02-09,2.6412,193377.6793,114244.0351,,,-0.0349,85.0,80.0,19.5929,-0.16,-18.4143,-5.1304,,8.3681,21.7147,,,,,,0.0,20.8574,,,,44.8756,21.815,21.375,30.3573,8.4877,0.94,6.8514,-1720300.0,25.669,7.1769,-0.1609,4.6558,1.0466,47.4348,18.8876,21.500999999999998,46.9527,26.8889,,,,0.75,21.570999999999998,,,-54.2609,21.6713
1998-02-10,2.6012,-130336.6064,-22285.2374,,,0.0317,80.0,80.0,19.758,-0.3393,-64.9623,-6.9233,,9.882,21.6285,,,,,,0.0,20.8569,,,,45.6749,22.065,22.0,30.6523,8.3133,0.93,6.7435,-2132300.0,25.139,6.8181,0.1467,4.6781,1.0468,46.5383,18.9948,21.5475,33.3833,27.7778,10.43,,,0.56,21.6301,,,-76.4444,21.6055
1998-02-11,2.625,89763.3936,-6080.3727,,,0.1892,75.0,-5.0,19.7339,1.0,-69.3841,-5.6751,,9.882,21.5686,,,,,,0.0,20.8578,,,,41.0406,22.065,22.0,30.3577,7.8977,-0.25,6.4079,-1912200.0,24.8974,6.4771,0.8788,-1.1765,0.9882,47.1624,19.0999,21.535,31.1914,38.9074,32.7031,,,0.25,21.662,,,-72.2222,21.5533
1998-02-12,2.4925,-443376.229,-168533.6833,,,0.21100000000000002,70.0,-5.0,19.5504,-0.9434,-129.6006,-11.7268,,15.2794,21.4135,,,,,,0.0,20.8457,,,,36.3016,21.845,22.0,32.4092,8.3728,-1.19,6.6919,-2513400.0,23.818,6.1533,0.9885,-5.6318,0.9437,44.1366,19.2029,21.4755,32.1466,29.7547,27.8447,,,1.12,21.6666,,36.821,-95.7778,21.4014
1998-02-13,2.5,-668241.0939,-291218.5234,,,0.0947,65.0,-5.0,19.4041,0.0,-137.1778,-11.3013,,15.2794,21.2789,,,,,,0.0,20.8361,,,,34.954,21.845,22.0,31.9279,7.9541,-1.0,6.4308,-1873400.0,23.4643,5.8456,0.445,-4.7619,0.9524,44.3493,19.3039,21.4255,30.9013,24.0419,28.4909,,,0.37,21.6548,,33.4861,-94.4444,21.2609
1998-02-17,2.4688,-1123841.0939,-459897.0013,,,-0.0313,60.0,-40.0,19.198,-0.5,-131.4344,-12.7585,,16.1113,21.1333,,,,,,0.0,20.8175,,,,32.1953,21.75,22.0,31.8053,7.6864,-1.56,6.3131,-2329000.0,22.9788,5.5533,-0.1474,-7.3205,0.9268,43.6208,19.4028,21.3475,19.0017,3.2086,2.15,,,0.5,21.6276,,30.6651,-100.0,21.1013
