date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,6.75,119175.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,238350.0,,,,,,,,,,,,,,,,,,,
1998-01-05,7.25,1173975.0,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,1293150.0,,,,,,,39.0,,,,,,,3.25,,,,,
1998-01-06,6.6667,594675.0,,,,,,,,-0.9642,,,,,,,,,,,0.0,,,,,,,,,,,,713850.0,,,,,,,39.045,,,,,,,3.63,,,,,
1998-01-07,6.5217,526456.9149,,,,,,,,-0.3298,,,,,,,,,,,0.0,,,,,,,,,,,,-354900.0,,,,,,,43.63,,,,,,,1.88,,,,,
1998-01-08,6.4483,573556.9149,,,,,,,,-0.2933,,,,,,,,,,,0.0,,,,,,,,,,,,-943650.0,,,,,,,43.63,,,,,,,1.5,,,,,
1998-01-09,5.74,-485095.7167,,,,,,,,-0.8346,,,,,,,,,,,0.0,,,,,,,,,,,,-2330850.0,,,,,,,43.515,,,,,,,5.32,,,,,
1998-01-12,5.855,-210240.4535,,,,,,,,0.6063,,,,,,,,,,,0.0,,,,,,,,,,,,-1286400.0,,,,,,,43.2238,,,15.5298,,,,4.75,,,,,
1998-01-13,6.6667,1036259.5465,,,,,,,,0.8973,,,,,,,,,,,0.0,,,,,,,,,,,,-39900.0,,,,,,,42.7801,,,43.6258,,,,4.87,,,,,
1998-01-14,6.5417,798127.7283,,,,,,,,-0.32,,,,,,,,,,,0.0,,,,,,,,,,,,-913050.0,,,,,,,42.3541,,42.4666,68.2442,,,,2.75,,,,,
1998-01-15,5.48,-1897458.0965,-625375.9358,,,,,,,-0.6753,,,,,,,,,,,0.0,,,,,,,,,,,,-6536100.0,,,,,,,41.9451,,58.3687,63.236000000000004,,,,7.38,,,,,
1998-01-16,5.5833,-2354151.9896,-1060252.1366,,,,,,,-0.4275,,,,,,,,,,,0.0,,,,,,,,,,,,-4606200.0,,,,,,,41.4414,,55.9585,36.3954,,,,1.43,,,,,
1998-01-20,6.0833,-81951.9896,-418796.7518,,,,,,,0.5556,,,,,,,,,,,0.0,,,,,,,,,,,,-2334000.0,,,,,,,40.9628,,42.058,26.5425,,,,4.5,,,,,
1998-01-21,6.1883,253840.4762,-11467.696000000002,,,,,,,0.0594,,,,,,,,,,,0.0,,,,,,,,,,,,-1043850.0,,,,,,,40.5082,,34.999,42.0591,,,,2.19,,,,,
1998-01-22,6.135,1285331.7805,484411.2142,,,,,,,-0.0507,,,,,,,,,,,0.0,,,,,,,,,,,,-2191800.0,,,,,,,40.0763,,43.9459,63.236000000000004,,,,1.63,,,,,
1998-01-23,6.0833,-571942.9151,52282.3458,,,,,,,-0.4139,,,,,,,,,,,0.0,,,,,,,,,,,,-5739750.0,,,,,,,31.87,,56.173,63.2239,,,,5.75,,,,,
1998-01-26,5.5417,-1363195.3741,-381012.7325,,,,,,,-0.8197,,,,,,,,,,,0.0,,,,,,,,,,,,-6882150.0,,,,,,,31.9601,,58.3907,48.711999999999996,,,,4.88,,,,,
1998-01-27,5.7917,-945769.3741,-390814.9251,,,,,,,0.54,,,,,,,,,,,0.0,,,,,,,,,,,,-6162450.0,,,,,,,32.0493,,47.6047,30.8782,,,,3.0,,,,,
1998-01-28,5.7917,-640814.3109,-262265.127,,,,,,,-0.0549,,,,,,,,,,,0.0,,,,,,,,,,,,-6162450.0,,,,,,,32.1376,,34.2902,23.2804,,,,2.37,,,,,
1998-01-29,5.6667,-947218.157,-283326.4218,,,,,,,-0.5385,,,,,,,,,,,0.0,,,,,,,,,,,,-6959100.0,,,,,,,32.225,,26.3666,24.9412,,,,3.25,,,,,
