date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2010-01-05,35.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,
2010-01-06,35.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,10000.0,,,,,,,35.0,,,,,,,0.0,,,,,
2010-01-07,35.0,-9800.0,,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,10000.0,,,,,,,35.0,,,,,,,0.5,,,,,
2010-01-08,33.5,-42000.0,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-22200.0,,,,,,,35.5,,,,,,,1.5,,,,,
2010-01-11,33.5,-42000.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-22200.0,,,,,,,35.5,,,,,,,0.0,,,,,
2010-01-12,33.5,-47100.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-22200.0,,,,,,,35.48,,,,,,,0.05,,,,,
2010-01-13,32.75,-51537.2549,,,,,,,,-0.5098,,,,,,,,,,,0.0,,,,,,,,,,,,-248500.0,,,,,,,35.4602,,,2.7778,,,,1.0,,,,,
2010-01-14,32.75,-51537.2549,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-248500.0,,,,,,,35.400999999999996,,,6.8428,,,,0.0,,,,,
2010-01-15,32.25,-97037.2549,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-294000.0,,,,,,,35.343,,5.4878,6.8428,,,,0.5,,,,,
2010-01-19,32.0,-97037.2549,-32086.7083,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,-313400.0,,,,,,,35.2502,,7.4601,8.6947,,,,0.5,,,,,
2010-01-20,31.75,-96437.2549,-29912.3445,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-314000.0,,,,,,,35.1102,,8.562000000000001,10.1484,,,,0.5,,,,,
2010-01-21,31.6,-95837.2549,-26112.619,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-314600.0,,,,,,,34.9297,,10.5527,12.8151,,,,0.25,,,,,
2010-01-22,31.5,-95837.2549,-22184.3113,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-314800.0,,,,,,,34.7582,,10.383,8.1854,,,,0.1,,,,,
2010-01-25,31.25,-94537.2549,-18146.8844,,,,,,,0.6,,,,,,,,,,,0.0,,,,,,,,,,,,-316100.0,,,,,,,34.5953,,10.1113,9.3333,,,,0.5,,,,,
2010-01-26,30.75,-94837.2549,-14940.9476,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-316400.0,,,,,,,34.3796,,8.0618,6.6667,,,,0.5,,,,,
2010-01-27,30.75,-103392.8105,-14993.3822,,,,,,,0.4444,,,,,,,,,,,0.0,,,,,,,,,,,,-316400.0,,,,,,,34.1255,,9.672,13.0159,,,,0.45,,,,,
2010-01-28,30.75,-113792.8105,-16960.8889,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-316400.0,,,,,,,33.8395,,11.0164,13.3668,,,,0.25,,,,,
2010-01-29,30.63,-121687.0962,-18735.6972,,,,,,,-0.6286,,,,,,,,,,,0.0,,,,,,,,,,,,-347100.0,,,,,,,33.5763,,15.1757,19.1445,,,,0.35,,,,,
2010-02-01,30.5,-118187.0962,-16644.8736,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-350600.0,,,,,,,33.2994,,18.8059,23.9064,,,,0.38,,,,,
2010-02-02,30.5,-118187.0962,-14276.3663,,,,,,32.2615,0.0,-89.8837,,,,32.2615,,,,,,0.0,,,,,,32.75,32.875,,5.2,,,-350600.0,,0.55,,,,,32.9945,32.2615,23.6837,28.0,,,,0.0,32.1026,,,-95.2381,31.4585
2010-02-03,29.75,-123387.0962,-13664.1255,,,,10.0,-90.0,31.999000000000002,-1.0,-114.4826,-100.0,,83.1791,32.0223,,,,,,0.0,30.1667,,,,4.2372,32.375,32.625,73.7668,5.69,-5.25,1.358,-355800.0,6.7738,0.5225,,-15.0,0.85,0.0,32.72,31.999000000000002,24.7096,22.2222,,,,0.75,31.8547,,,-100.0,31.2193
2010-02-04,30.25,-93987.0962,-2816.9247,,,,5.0,-90.0,31.7615,1.0,-93.7807,-81.7768,,78.6389,31.8535,,,,,,0.0,30.193,,,,8.2711,32.375,32.625,69.0549,5.4055,-4.75,1.3514,-326400.0,8.2574,0.6464,,-13.5714,0.8643,9.1116,32.3933,31.7615,25.4949,26.2626,,,,0.5,31.6241,,,-91.3043,31.0528
2010-02-05,30.5,-92187.0962,2449.3779,,,,0.0,-90.0,31.5365,0.04,-81.0796,-73.4584,,71.1947,31.7246,,,,,,0.0,30.2748,,,,6.9899,31.625,32.15,64.7044,5.1352,-4.5,1.3553,-324600.0,10.8872,0.8641,,-12.8571,0.8714,13.2708,32.1026,31.5365,32.3232,48.4848,,,,0.5,31.4153,,,-84.375,30.9326
2010-02-08,29.85,-101667.0962,1364.7401,,,,0.0,-100.0,31.354,-0.6,-104.7638,-76.4125,,72.4051,31.5461,,,,,,0.0,30.1722,,,,6.8819,31.625,31.65,61.8661,5.1285,-3.65,1.4412,-372000.0,9.9022,0.8209,,-10.8955,0.8909999999999999,11.7937,31.8438,31.354,42.5589,52.9293,,,,0.75,31.2255,,,-97.3684,30.772
2010-02-09,29.8,-85167.0962,6046.9573,,,,5.0,-95.0,31.169,0.7778,-114.8065,-76.6232,,75.2514,31.3798,,,,,,0.0,30.0818,,,,6.6437,31.625,31.325,62.9283,5.522,-3.7,1.5224,-401700.0,8.8866,0.7798,,-11.0448,0.8896,11.6884,31.6135,31.169,51.9529,54.4444,,,,0.9,31.0476,,,-84.2697,30.624000000000002
2010-02-10,29.75,-25389.3184,26432.8884,,,-1.4208,0.0,-95.0,30.9815,0.7778,-107.7788,-76.84100000000002,,75.2514,31.2246,,,,,,0.0,30.0006,,,,17.9858,31.25,31.055,59.7054,5.2459,-3.75,1.5244,-509300.0,8.4315,0.7408,-4.4769,-11.194,0.8881,11.5795,31.3119,30.9815,47.986999999999995,36.5873,,,,0.45,30.8856,,,-83.376,30.4889
2010-02-11,29.74,-15389.3184,35551.4159,,,-1.3026,0.0,-90.0,30.831,0.0,-104.0215,-76.8863,,75.2514,31.0832,,,,,,0.0,29.9439,,,,25.1951,31.245,30.925,57.9692,4.9836,-3.01,1.4907,-519300.0,8.1863,0.7038,-4.1309,-9.1908,0.9081,11.5569,31.0464,30.831,46.1376,47.381,49.1374,,,0.25,30.7395,,,-82.4658,30.3706
2010-02-12,29.74,-15389.3184,36049.7756,,,-1.1845,0.0,-85.0,30.6805,0.0,-90.9061,-76.8863,,75.2514,30.9553,,,,,,0.0,29.8996,,,,34.8945,30.995,30.8,57.9692,4.7345,-3.01,1.4161,-519300.0,8.1863,0.6686,-3.7805,-9.1908,0.9081,11.5569,30.8129,30.6805,46.1287,54.418,19.7788,,,0.0,30.6034,,,-81.1765,30.2667
2010-02-16,29.74,-15389.3184,32976.3978,,,-1.0663,0.0,-80.0,30.555,0.0,-84.4367,-76.8863,,75.2514,30.8395,,,,,,0.0,29.8685,,,,39.4156,30.87,30.675,57.9692,4.4977,-2.51,1.3453,-519300.0,8.1863,0.6352,-3.4256,-7.7829,0.9222,11.5569,30.6073,30.555,54.8148,62.6455,0.0,,,0.0,30.4796,,58.3265,-79.6825,30.1771
2010-02-17,29.74,-15389.3184,28721.2525,,,-0.9959,0.0,-75.0,30.441999999999997,0.0,-78.4189,-76.8863,,75.2514,30.7348,,,,,,0.0,29.8451,,,,41.6952,30.745,30.425,57.9692,4.2728,-2.26,1.2781,-519300.0,8.1863,0.6034,-3.2142,-7.0625,0.9294,11.5569,30.4264,30.441999999999997,63.2187,72.5926,0.0,,,0.0,30.3649,,54.4656,-75.8491,30.0995
2010-02-18,29.7,-13689.3184,24910.3974,,,-0.9164,0.0,-100.0,30.3395,1.0,-97.9489,-77.1063,,78.2555,30.6362,,,,,,0.0,29.8204,,,,41.5745,30.65,30.35,61.489,4.6992,-2.05,1.3235,-521000.0,7.5007,0.5732,-2.9717,-6.4567,0.9354,11.4468,30.2673,30.3395,71.7923,80.1389,0.0,,,0.64,30.2634,,71.5829,-76.0,30.0289
2010-02-19,29.7,-13689.3184,21086.8296,,,-0.8369,0.0,-95.0,30.2445,0.0,-67.5263,-77.1063,,78.2555,30.5471,,,,,,0.0,29.8011,,,,41.6478,30.6,30.3,61.489,4.4642,-1.9,1.2574,-521000.0,7.5007,0.5446,-2.7269,-6.0127,0.9399,11.4468,30.1272,30.2445,80.1389,87.6852,0.0,,,0.0,30.175,,75.4517,-75.0,29.968000000000004
