date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,215.25,328314.8936,,,,,,,,-0.1968,,,,,,,,,,,0,,,,,,,,,,,,701400,,,,,,,,,,,,,,,,,,,
05/01/1998,214.375,-1480944.481,,,,,,,,-0.1953,,,,,,,,,,,0,,,,,,,,,,,,-1547000,,,,,,,60.12,,,,,,,2.56,,,,,
06/01/1998,212.625,-1017117.363,,,,,,,,0.5339,,,,,,,,,,,0,,,,,,,,,,,,-2790900,,,,,,,63.56,,,,,,,1.31,,,,,
07/01/1998,210,-438470.5542,,,,,,,,-0.266,,,,,,,,,,,0,,,,,,,,,,,,-4027100,,,,,,,63.56,,,,,,,2.13,,,,,
08/01/1998,211.085,-228729.5542,,,,,,,,0.405,,,,,,,,,,,0,,,,,,,,,,,,-2923200,,,,,,,63.4612,,,,,,,2,,,,,
09/01/1998,201.67,-1335064.477,,,,,,,,-0.7692,,,,,,,,,,,0,,,,,,,,,,,,-4712050,,,,,,,63.3644,,,,,,,3.31,,,,,
12/01/1998,201.915,-743091.2773,,,,,,,,0.6187,,,,,,,,,,,0,,,,,,,,,,,,-3115000,,,,,,,63.1734,,,42.8333,,,,3.75,,,,,
13/01/1998,210.665,-25853.7773,,,,,,,,0.7187,,,,,,,,,,,0,,,,,,,,,,,,-1475600,,,,,,,62.8513,,,84.5,,,,3.31,,,,,
14/01/1998,215.04,695314.5771,,,,,,,,0.4515,,,,,,,,,,,0,,,,,,,,,,,,-343700,,,,,,,62.5421,,49.3603,93.6296,,,,2.37,,,,,
15/01/1998,207.585,-831172.7646,-28084.74,,,,,,,-0.8186,,,,,,,,,,,0,,,,,,,,,,,,-1951600,,,,,,,62.2452,,66.439,62.0741,,,,2.37,,,,,
16/01/1998,210.21,-1115243.965,-267617.8409,,,,,,,-0.448,,,,,,,,,,,0,,,,,,,,,,,,-991900,,,,,,,61.9602,,76.6728,73.1852,,,,1.56,,,,,
20/01/1998,215.67,591506.0354,201777.0579,,,,,,,0.7143,,,,,,,,,,,0,,,,,,,,,,,,1397550,,,,,,,55.12,,77.5206,93.3333,,,,1.81,,,,,
21/01/1998,209.335,-55437.4073,169613.2341,,,,,,,-0.5902,,,,,,,,,,,0,,,,,,,,,,,,-281750,,,,,,,55.1875,,72.2989,26.6904,,,,2.56,,,,,
22/01/1998,212.17,660562.5927,368854.103,,,,,,,0.7143,,,,,,,,,,,0,,,,,,,,,,,,720650,,,,,,,55.2543,,66.3712,55.516,,,,1.75,,,,,
23/01/1998,206.045,-132845.4073,164381.5401,,,,,,,-0.7,,,,,,,,,,,0,,,,,,,,,,,,-406350,,,,,,,55.3205,,51.326,10.9792,,,,2.5,,,,,
26/01/1998,190.75,-2606925.407,-721417.3757,,,,,,,-0.874,,,,,,,,,,,0,,,,,,,,,,,,-3498950,,,,,,,61.87,,37.9527,6.3532,,,,5,,,,,
27/01/1998,180.915,6613803.653,1915662.076,,,,,,,0.3077,,,,,,,,,,,0,,,,,,,,,,,,-14795550,,,,,,,61.7913,,23.7327,30.2276,,,,7.06,,,,,
28/01/1998,196,12363622.28,4649803.953,,,,,,,0.9272,,,,,,,,,,,0,,,,,,,,,,,,-8360800,,,,,,,61.5043,,24.4574,63.1268,,,,4.5,,,,,
29/01/1998,192.71,11712236.5,5138347.976,,,,,,,-0.3003,,,,,,,,,,,0,,,,,,,,,,,,-11079250,,,,,,,61.223,,32.9797,56.1947,,,,3.13,,,,,
30/01/1998,192.71,11633924.5,4846166.897,,,,,,53.1723,-0.1771,-100.9272,,,,58.6675,,,,,,0,,,,,,56.655,55.5,,19.37,,,-11079250,,11.06,,,,,60.9473,58.6675,48.2773,65.917,,,,1.75,59.169,,,-52.7295,57.6208
02/02/1998,193.795,10907043.96,4054797.477,,,,80,-75,52.8482,-0.4809,-77.1082,-20.5223,,25.9579,58.3535,,,,,,0,55.071,,,,46.6706,56.655,55.5,34.5221,18.4015,-6.13,5.0605,-9408700,20.2932,10.817,,-9.9675,0.9003,39.7389,60.6772,58.361,59.9832,82.9498,,,,1.31,58.883,,,-50.8065,57.3067
03/02/1998,188.545,10161632.2,3125261.018,,,,75,-75,52.3165,-0.3697,-100.7013,-24.5126,,30.6546,57.9265,,,,,,0,55.0194,,,,41.8787,56.655,54.655,36.5184,19.3614,-7.38,5.1622,-11424700,19.3823,10.2762,,-12.049,0.8795,37.7437,60.4124,57.992,63.0784,28.5388,,,,2.38,58.5396,,,-55.4401,56.879
04/02/1998,182.21,8259793.963,1855751.118,,,,70,-25,51.477,-0.7005,-125.501,-29.0379,,33.8722,57.3677,,,,,,0,54.8684,,,,40.7267,56.655,54.655,37.6535,19.7634,-8.69,5.2782,-14269850,18.5994,9.7623,,-14.3045,0.857,35.481,60.153,57.5575,55.54,5.9048,,,,2.12,58.1225,,,-67.9834,56.314
05/02/1998,181.79,8475512.917,1236339.36,,,,65,-25,50.717,-0.2222,-122.4351,-29.3336,,37.1013,56.8508,,,,,,0,54.7303,,,,39.3022,56.655,54.655,38.1973,20.2152,-8.06,5.3205,-17570350,17.524,9.2742,,-13.4333,0.8657,35.3332,59.8987,57.1545,39.601,27.1667,,,,3.06,57.6349,,,-68.815,55.779
06/02/1998,182.21,7370489.911,518950.9249,,,,60,-25,50.1118,-0.3436,-96.7568,-28.7688,,36.4681,56.3946,,,,,,0,54.5991,,,,39.5016,56.655,54.655,36.9978,19.2044,-8.25,5.1994,-16129400,17.2241,8.9405,,-13.6793,0.8632,35.6156,59.6496,56.742,26.8046,29.1667,,,,1.63,57.0798,,,-67.9834,55.2939
09/02/1998,189.21,8378607.511,499061.1718,,,-3.2003,55,-25,49.8471,0.724,-64.9133,-19.6067,,30.9814,56.1722,,,,,,0,54.5894,,,,43.1039,56.655,54.655,35.1719,18.2442,-3.56,4.9934,-14303100,18.5333,9.6135,-5.5742,-6.1784,0.9382,40.1967,59.4054,56.564,28.0484,72.2543,,,,2.56,56.5338,,,-54.1234,55.0384
10/02/1998,189.875,9499611.285,802238.276,,,-3.3064,50,-25,49.6232,0.1179,-52.3651,-18.7616,,29.7557,55.9891,,,,,,0,54.5836,,,,47.4076,56.655,54.655,33.7212,17.332,-3.44,4.9225,-11602500,18.2552,9.3828,-5.7872,-5.9629,0.9404,40.6192,59.1661,56.392,42.0723,86.4035,100,,,2.12,56.0395,,,-52.8067,54.818
11/02/1998,189,8994619.618,692655.3542,,,-3.0692,45,-25,49.4725,0.0417,-44.2262,-19.5489,,29.3988,55.7997,,,,,,0,54.5616,,,,47.2499,56.655,54.655,32.7552,16.4654,-6.19,4.8314,-13255200,17.8715,8.9837,-5.3984,-10.2841,0.8972,40.2256,58.9315,56.0825,61.6408,79.6976,92.5535,,,1.44,55.5815,,,-54.5392,54.5902
12/02/1998,192.605,9796320.438,839943.933,,,-2.5709,40,-25,49.6169,0.4754,-32.282,-14.7274,,29.3988,55.7264,,,,,,0,54.5803,,,,47.1906,56.655,54.655,31.1629,15.6421,-6.41,4.7256,-12047700,17.0028,8.5345,-4.5395,-10.4329,0.8957,42.6363,58.7017,55.762,75.6441,88.5154,100,,,2.44,55.1613,,51.7704,-47.4012,54.49
13/02/1998,195.79,11306823.36,1304454.378,,,-2.4197,35,-25,49.6658,0.5474,1.335,-10.5798,,25.6779,55.7467,,,,,,0,54.6064,,,,50.904,56.655,54.655,30.2926,14.86,-3.37,4.5388,-9998800,17.9141,8.7878,-4.2844,-5.682,0.9432,44.7101,58.4765,55.5935,84.0761,95.5,100,,,1.37,54.8071,,59.0147,-41.0949,54.507
17/02/1998,195.685,12022757.06,1603691.703,,,-2.1797,30,-25,49.8186,-0.2541,9.0889,-10.6918,,24.2947,55.7623,,,,,,0,54.6391,,,,51.301,56.655,54.655,29.1601,14.117,-4.15,4.476,-11454800,17.7608,8.5984,-3.8709,-6.9098,0.9309,44.6541,58.2557,55.386,87.7375,87.2928,98.7508,,,1.81,54.4965,,61.2618,-41.3028,54.5371
18/02/1998,192.5,11869944.56,1531694.659,,,-2.0839,25,-25,50.2785,-0.4464,0.7867,-14.1273,,24.5046,55.6897,,,,,,0,54.6563,,,,47.3234,56.155,54.47,28.4192,13.4712,-6.62,4.4507,-12881050,17.2325,8.1685,-3.7075,-10.7433,0.8926,42.9363,58.0394,55.055,86.3513,59.3472,60.447,,,1.41,54.2387,,61.0944,-46.2304,54.5003
19/02/1998,203.42,14011212.53,2044308.89,,,-1.8713,20,-20,50.4824,0.9575,94.9412,-0.2144,,10.383,55.9211,15.5458,,0.6843,,,0,54.6922,,,10.496,51.4942,56.155,54.22,26.5062,12.7976,-1.69,4.2808,-10540950,21.5197,10.39,-3.3282,-2.8256,0.9717,49.8928,47.44,54.9705,84.1791,97.5238,100,,,3.25,54.1065,,65.8682,-21.2389,54.7922
20/02/1998,147,-35216.0386,-2401149.732,,,-2.1608,100,-95,47.4108,-0.5527,-361.912,-39.9968,,46.1484,54.5953,16.7517,,0.3642,,,0,53.3291,-2.3136,-2.1608,10.811,35.3578,50.435,50.78,42.2337,26.7877,-18.62,7.7181,-38071950,15.5619,9.8705,-3.8916,-30.7159,0.6928,30.0016,58.25,54.0395,72.3683,8.1402,0,,,17.56,53.9545,,37.11,-92.955,53.557
23/02/1998,140.42,-5473734.921,-5731897.928,,,-2.3358,100,-100,44.4702,-0.6435,-296.2895,-42.7965,,47.4609,53.2167,17.7415,,-0.0159,,,0,51.9016,-3.191,-2.3358,11.1041,33.3865,49.12,49.345,41.4031,26.3183,-18.75,8.0883,-45419500,14.7516,9.377,-4.2699,-31.8498,0.6815,28.6018,58.25,53.102,57.4618,2.3168,0,,,3.31,53.7727,,35.0477,-97.7732,52.2313
24/02/1998,132.545,-8785796.375,-7627232.841,,,-2.6837,100,-100,41.4191,-0.7273,-253.0192,-45.9723,,50.9875,51.7551,18.4239,,-3.8961,,,0,50.5436,-4.0216,-2.6837,11.3718,32.9248,47.995,47.75,43.3819,27.4424,-16.63,8.5193,-51451400,14.0823,8.9082,-4.9809,-30.5138,0.6949,27.0138,57.8788,52.2705,31.8224,2.9524,0,,,2.87,53.5057,,31.7798,-97.0476,50.7806
