date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,4.3138,270912.8205,,,,,,,,0.2051,,,,,,,,,,,0.0,,,,,,,,,,,,449600.0,,,,,,,,,,,,,,,,,,,
1998-01-05,4.1621,-532875.8587,,,,,,,,-0.7689,,,,,,,,,,,0.0,,,,,,,,,,,,-456800.0,,,,,,,33.0,,,,,,,2.12,,,,,
1998-01-06,4.1124,-657714.5684,,,,,,,,-0.4032,,,,,,,,,,,0.0,,,,,,,,,,,,-1101800.0,,,,,,,33.0,,,,,,,0.62,,,,,
1998-01-07,4.103,-509571.1722,,,,,,,,0.0566,,,,,,,,,,,0.0,,,,,,,,,,,,-1974200.0,,,,,,,33.0,,,,,,,1.06,,,,,
1998-01-08,4.158,-585974.712,,,,,,,,0.3009,,,,,,,,,,,0.0,,,,,,,,,,,,-1519800.0,,,,,,,32.9082,,,,,,,1.13,,,,,
1998-01-09,4.0788,-678088.9977,,,,,,,,-0.521,,,,,,,,,,,0.0,,,,,,,,,,,,-1873400.0,,,,,,,32.8192,,,,,,,1.19,,,,,
1998-01-12,4.0453,-230512.9977,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-2531600.0,,,,,,,32.7328,,,25.8722,,,,0.88,,,,,
1998-01-13,4.1366,-55690.0092,,,,,,,,0.7816,,,,,,,,,,,0.0,,,,,,,,,,,,-2221200.0,,,,,,,32.6035,,,35.153,,,,0.87,,,,,
1998-01-14,4.3889999999999985,2130509.9908,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-35000.0,,,,,,,29.5,,63.6933,63.6933,,,,1.88,,,,,
1998-01-15,4.3299,2333824.4946,1055630.3128,,,,,,,-0.3817,,,,,,,,,,,0.0,,,,,,,,,,,,-1436800.0,,,,,,,29.5319,,81.528,81.528,,,,1.31,,,,,
