date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,15.8739,-345180.0,,,,,,,,-0.504,,,,,,,,,,,0.0,,,,,,,,,,,,1725900.0,,,,,,,,,,,,,,,,,,,
1998-01-05,16.1914,548757.2263,,,,,,,,0.7809999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,2809700.0,,,,,,,43.5,,,,,,,1.37,,,,,
1998-01-06,15.8306,-1139442.7737,,,,,,,,-0.87,,,,,,,,,,,0.0,,,,,,,,,,,,1121500.0,,,,,,,43.515,,,,,,,1.0,,,,,
1998-01-07,15.6719,-1139442.7737,,,,,,,,-0.234,,,,,,,,,,,0.0,,,,,,,,,,,,-293300.0,,,,,,,45.0,,,,,,,1.88,,,,,
1998-01-08,16.1661,731963.8561,,,,,,,,0.7569,,,,,,,,,,,0.0,,,,,,,,,,,,3348900.0,,,,,,,42.5,,,,,,,1.81,,,,,
1998-01-09,15.6935,8530.5228,,,,,,,,-0.64,,,,,,,,,,,0.0,,,,,,,,,,,,1178600.0,,,,,,,42.5,,,,,,,2.25,,,,,
1998-01-12,15.7837,1719937.8847,,,,,,,,0.5767,,,,,,,,,,,0.0,,,,,,,,,,,,3214800.0,,,,,,,45.25,,,56.7879,,,,1.63,,,,,
1998-01-13,15.7152,1201154.0138,,,,,,,,-0.7097,,,,,,,,,,,0.0,,,,,,,,,,,,1977700.0,,,,,,,45.22,,,43.3434,,,,0.62,,,,,
1998-01-14,15.625,-855545.9862,,,,,,,,-0.6951,,,,,,,,,,,0.0,,,,,,,,,,,,-79000.0,,,,,,,45.1903,,43.0,43.0,,,,0.82,,,,,
1998-01-15,15.5131,-855545.9862,-319734.0608,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,-714300.0,,,,,,,45.1609,,35.4242,35.4242,,,,1.0,,,,,
1998-01-16,16.0543,323654.0138,-36033.5965,,,,,,,0.648,,,,,,,,,,,0.0,,,,,,,,,,,,464900.0,,,,,,,45.1318,,54.202,54.202,,,,1.5,,,,,
1998-01-20,16.4151,1532254.0138,467856.0113,,,,,,,0.8175,,,,,,,,,,,0.0,,,,,,,,,,,,1673500.0,,,,,,,42.25,,75.7576,75.7576,,,,1.37,,,,,
1998-01-21,16.0543,68038.0138,165573.3953,,,,,,,-0.42,,,,,,,,,,,0.0,,,,,,,,,,,,-1216400.0,,,,,,,42.2825,,87.9659,87.9659,,,,1.5,,,,,
1998-01-22,16.1012,606878.0138,198309.2892,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,-507400.0,,,,,,,42.3494,,77.3163,77.3163,,,,1.0,,,,,
1998-01-23,15.6502,-334685.6226,-105915.3012,,,,,,,-0.8342,,,,,,,,,,,0.0,,,,,,,,,,,,-1792600.0,,,,,,,42.4151,,47.3163,47.3163,,,,1.87,,,,,
1998-01-26,15.1993,-1646368.6013,-638095.8267,,,,,,,-0.6649,,,,,,,,,,,0.0,,,,,,,,,,,,-3314800.0,,,,,,,45.63,,27.2108,27.2108,,,,1.88,,,,,
1998-01-27,15.7152,-950523.268,-576391.9969,,,,,,,0.6089,,,,,,,,,,,0.0,,,,,,,,,,,,-1515200.0,,,,,,,45.5937,,18.8522,18.8522,,,,2.25,,,,,
1998-01-28,15.6033,-950523.268,-498750.2486,,,,,,,-0.46,,,,,,,,,,,0.0,,,,,,,,,,,,-2784300.0,,,,,,,45.5578,,29.4077,29.4077,,,,1.5,,,,,
1998-01-29,15.6719,178228.732,-62498.4199,,,,,,,0.88,,,,,,,,,,,0.0,,,,,,,,,,,,-1299100.0,,,,,,,45.5222,,44.214,44.214,,,,0.5,,,,,
1998-01-30,15.6502,-296604.6013,-29433.4215,,,,,,45.3415,-0.3968,-39.1954,,,,43.82,,,,,,0.0,,,,,,43.815,43.815,,5.51,,,-2107600.0,,4.25,,,,,45.487,43.82,50.3333,50.3333,,,,0.63,43.8802,,,-61.9835,43.6872
1998-02-02,15.9208,-97924.6013,49985.298,,,,60.0,-20.0,45.3521,0.504,31.6055,0.8742,,4.4602,43.8495,,,,,,0.0,43.3837,,,,43.3596,43.815,43.815,19.8947,5.2345,0.13,3.1305,-1114200.0,18.1958,4.7875,,0.2955,1.003,50.4371,45.4521,43.8265,63.4406,63.4406,,,,1.25,43.8781,,,-41.3223,43.7167
1998-02-03,16.1228,170870.0415,163456.2243,,,,55.0,-20.0,45.3185,0.5,93.3147,4.6539,,0.5525,43.9296,,,,,,0.0,43.3905,,,,42.4564,43.815,43.815,19.0415,4.9728,-0.19,3.062,-512100.0,18.8322,4.9181,,-0.4234,0.9958,52.327,45.4176,43.817,76.6406,76.6406,,,,1.12,43.8641,,,-25.8953,43.799
1998-02-04,16.5521,792680.0415,392865.1284,,,,100.0,30.0,45.6676,0.66,181.5402,12.147,,11.2535,44.1153,,,,,,0.0,43.4437,,,,46.8337,44.005,44.125,17.621,4.7241,2.0,3.0514,474900.0,22.0899,5.9222,,4.5579,1.0456,56.0735,42.0,43.917,85.7347,85.7347,,,,2.0,43.857,,,-8.7059,43.9954
1998-02-05,16.4151,-145677.2918,152430.9714,,,,100.0,35.0,45.8849,-0.28,182.9451,9.2608,,18.357,44.2472,,,,,,0.0,43.4894,,,,52.7474,44.005,44.565,16.1907,4.4879,2.06,3.1703,-1615500.0,23.4715,6.5061,,4.7422,1.0474,54.6304,42.0425,44.02,78.0684,78.0684,,,,2.25,43.8522,,,-31.7739,44.1462
1998-02-06,16.8227,773341.9082,332629.3825,,,,95.0,35.0,46.2749,0.7040000000000001,190.5171,16.0257,,18.357,44.4741,,,,,,0.0,43.5513,,,,48.5734,44.38,44.565,15.457,4.2635,1.82,3.0729,-478100.0,22.4078,6.1808,,4.0616,1.0406,58.0129,42.1442,44.111,77.7572,77.7572,,,,1.25,43.8661,,,-9.7466,44.3948
1998-02-09,16.1228,-276246.4896,42147.9348,,,0.0709,90.0,35.0,46.3294,-0.8619,82.1246,2.2495,,7.5206,44.4947,,,,,,0.0,43.5656,,,,49.9835,44.38,44.565,17.8243,5.0504,1.19,3.2843,-1806600.0,20.7233,5.8718,0.1606,2.7356,1.0274,51.1247,42.244,44.1705,56.5265,56.5265,,,,2.13,43.9163,,,-47.5634,44.4499
1998-02-10,16.2347,-924789.4344,-286871.5885,,,0.1674,85.0,35.0,46.4118,0.0736,78.8407,4.1635,,7.5206,44.5428,,,,,,0.0,43.5843,,,,56.4243,44.38,44.565,16.8066,4.7978,1.25,3.2797,-397100.0,19.5401,5.5782,0.3789,2.8571,1.0286,52.0817,42.3417,44.233,45.8771,45.8771,37.9645,,,1.63,43.992,,,-41.5205,44.5289
