date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD_Signal,MACD,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2008-01-10,16.5,554228.5714,,,,,,,,,,,0.7143,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1293200.0,,,,,,,,,,,,,,,,,,,,,,
2008-01-11,17.0,-522407.7922,,,,,,,,,,,0.2727,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3661800.0,,,,,,,15.25,,,,,,,,,,2.75,,,,,
2008-01-14,18.25,-740579.2208,,,,,,,,,,,-0.4286,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5189000.0,,,,,,,15.2875,,,,,,,,,,2.25,,,,,
2008-01-15,18.5,-1010462.5541,,,,,,,,,,,-0.5833,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6808300.0,,,,,,,15.3667,,,,,,,,,,1.2,,,,,
2008-01-16,17.5,-2459150.7431,,,,,,,,,,,-0.7874,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5312500.0,,,,,,,15.4444,,,,,,,,,,1.27,,,,,
2008-01-17,16.55,-2886617.4098,,,,,,,,,,,-0.7917,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4579700.0,,,,,,,15.5205,,,,,,,,,,1.2,,,,,
2008-01-18,16.0,-4602287.4098,,,,,,,,,,,-0.65,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2673400.0,,,,,,,15.5951,,,,22.5884,1.5152,,,,,1.0,,,,,
2008-01-22,15.7,-4330454.0764,,,,,,,,,,,0.0833,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1857900.0,,,,,,,19.25,,,,7.2572,10.2564,,,,,0.7,,,,,
2008-01-23,15.0,-7741354.0764,,,,,,,,,,,-0.2083,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1553000.0,,,,,,,19.2105,,3.9239,11.2565,3.9239,0.0,,,,,1.2,,,,,
2008-01-24,15.4,-8779884.8457,-3144950.6437,,,,,,,,,,-0.5385,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,375700.0,,,,,,,19.1263,,8.7521,6.6444,8.7521,16.0,,,,,0.9,,,,,
2008-01-25,15.9,-8892518.179,-3081892.3719,,,,,,,,,,0.4444,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1389400.0,,,,,,,19.0438,,20.7179,11.1313,20.7179,46.1538,,,,,0.75,,,,,
2008-01-28,16.3,-8473560.2842,-2642618.9877,,,,,,,,,,0.4605,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2716100.0,,,,,,,18.9629,,48.4957,25.9886,48.4957,83.3333,,,,,0.76,,,,,
2008-01-29,16.74,-8231427.9313,-2145636.0375,,,,,,,,,,0.8676,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3045400.0,,,,,,,18.8836,,74.8564,48.0234,74.8564,95.082,,,,,0.68,,,,,
2008-01-30,16.95,-8077581.7775,-1698315.9601,,,,,,,,,,0.8077,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3295400.0,,,,,,,18.806,,91.8527,71.7349,91.8527,97.1429,,,,,0.26,,,,,
2008-01-31,16.9,-8077581.7775,-1360929.0229,,,,,,,,,,-0.1667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2413900.0,,,,,,,18.7298,,93.7046,86.8046,93.7046,88.8889,,,,,0.3,,,,,
2008-02-01,16.9,-8634081.7775,-1276254.4557,,,,,,,,,,-0.375,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2413900.0,,,,,,,18.6552,,88.2011,91.2528,88.2011,78.5714,,,,,0.4,,,,,
2008-02-04,16.55,-10492511.7775,-1716910.364,,,,,,,,,,-0.6,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-241000.0,,,,,,,18.5821,,66.4868,82.7975,66.4868,32.0,,,,,1.0,,,,,
2008-02-05,16.4,-13421667.333,-2673099.9702,,,,,,,,,,-0.1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3536300.0,,,,,,,18.5105,,38.4444,64.3774,38.4444,4.7619,,,,,0.9,,,,,
2008-02-06,16.45,-15256367.333,-3405027.539,,,,,,,,,,-0.8,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1701600.0,,,,,,,18.4403,,15.4286,40.1199,15.4286,9.5238,,,,,0.55,,,,,
2008-02-07,16.6,-13492047.333,-2833529.95,,,,,,,14.9643,18.2447,16.6045,-0.2,-18.9859,,,,16.6045,,,,,,,,0.0,,,,,,,,,,,16.75,17.125,,3.65,,,2709200.0,,3.55,,,,,18.3715,16.6045,14.9068,22.9266,14.9068,30.4348,,,,,0.5,16.3793,,,-62.3529,16.4908
2008-02-08,16.38,-17408447.333,-3588269.1227,,,,10.0,40.0,-30.0,14.9559,18.2411,16.5985,-0.6667,-32.5443,-1.4252,,1.3889,16.5831,,,,,,,,0.0,16.5988,,,,,,,,,32.6064,16.75,17.125,19.3807,3.4675,-0.12,5.7448,-3165400.0,18.8497,3.3725,,-0.7273,0.9927,49.2874,18.304,16.5985,17.0876,15.8077,17.0876,11.3043,,,,,0.25,16.3772,,,-67.5294,16.4694
2008-02-11,16.14,-19295798.6844,-4171340.6576,,,,5.0,35.0,-30.0,14.9122,18.1988,16.5555,-0.8378,-47.8567,-4.2966,,5.0422,16.5409,,,,,,,,0.0,16.5913,,,,,,,,,26.2999,16.75,17.125,20.4073,3.5441,-0.86,5.6533,-5573400.0,18.4481,3.2039,,-5.0588,0.9494,47.8517,18.238,16.5555,15.0725,15.689,15.0725,3.4783,,,,,0.37,16.3791,,,-73.1765,16.4258
2008-02-12,16.2,-19122362.9701,-3975473.0439,,,,0.0,30.0,-30.0,15.0006,17.9054,16.453,-0.0714,-46.4162,-3.5032,,5.7771,16.5084,,,,,,,,0.0,16.5685,,,,,,,,,21.5658,16.75,17.1,20.3648,3.4169,-2.05,5.4372,-3145300.0,18.1403,3.0437,,-11.2329,0.8877,48.2484,18.1732,16.453,10.4831,14.2144,10.4831,16.6667,,,,,0.28,16.3825,,,-71.4286,16.3919
