date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,7.6991,5480066.68,,,,,,,,0.52,,,,,,,,,,,0.0,,,,,,,,,,,,7142267.0,,,,,,,,,,,,,,,,,,,
1998-01-05,7.6831,5480066.68,,,,,,,,-0.0798,,,,,,,,,,,0.0,,,,,,,,,,,,-4650200.0,,,,,,,55.63,,,,,,,2.38,,,,,
1998-01-06,7.5837,4957813.3467,,,,,,,,-0.0267,,,,,,,,,,,0.0,,,,,,,,,,,,-13689200.0,,,,,,,55.665,,,,,,,2.25,,,,,
1998-01-07,7.3596,-267559.3028,,,,,,,,-0.7113,,,,,,,,,,,0.0,,,,,,,,,,,,-26051667.0,,,,,,,59.13,,,,,,,2.25,,,,,
1998-01-08,7.4431,7560473.5187,,,,,,,,0.3662,,,,,,,,,,,0.0,,,,,,,,,,,,-13394400.0,,,,,,,59.0881,,,,,,,3.25,,,,,
1998-01-09,7.1938,-1834410.9257,,,,,,,,-0.5022,,,,,,,,,,,0.0,,,,,,,,,,,,-27393400.0,,,,,,,58.9763,,,,,,,2.25,,,,,
1998-01-12,7.3848,10883721.9472,,,,,,,,0.8682,,,,,,,,,,,0.0,,,,,,,,,,,,-14305733.0,,,,,,,58.8668,,,40.3122,,,,4.25,,,,,
1998-01-13,7.4259,14295230.3442,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-3912533.0,,,,,,,58.6458,,,52.6219,,,,1.31,,,,,
1998-01-14,7.5585,21184099.4082,,,,,,,,0.096,,,,,,,,,,,0.0,,,,,,,,,,,,4785534.0,,,,,,,58.4314,,80.7451,80.7451,,,,1.25,,,,,
1998-01-15,7.6168,21529206.3253,7076064.762,,,,,,,0.4083,,,,,,,,,,,0.0,,,,,,,,,,,,13117401.0,,,,,,,51.5,,89.77799999999999,89.77799999999999,,,,1.69,,,,,
