date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Hist,MACD_Signal,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,20.7466,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,188000.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,21.9447,169148.016,,,,,,,,,,,0.724,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,387467.0,,,,,,,39.0,,,,,,,,,,2.5,,,,,
1998-01-06,21.203,78748.016,,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,297067.0,,,,,,,39.035,,,,,,,,,,1.62,,,,,
1998-01-07,21.5246,48212.2496,,,,,,,,,,,0.1825,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,618867.0,,,,,,,39.0696,,,,,,,,,,1.37,,,,,
1998-01-08,22.6604,500145.0227,,,,,,,,,,,0.9202,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1156667.0,,,,,,,39.104,,,,,,,,,,2.38,,,,,
1998-01-09,22.1107,298478.0227,,,,,,,,,,,-0.3316,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,955000.0,,,,,,,39.1995,,,,,,,,,,1.87,,,,,
1998-01-12,21.4623,299930.977,,,,,,,,,,,-0.4971,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,700733.0,,,,,,,39.3585,,,,58.8503,22.0,,,,,2.13,,,,,
1998-01-13,21.5557,318947.017,,,,,,,,,,,-0.19,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,859200.0,,,,,,,39.5127,,,,35.6481,26.5,,,,,1.0,,,,,
1998-01-14,21.2652,385165.1988,,,,,,,,,,,-0.3636,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,616400.0,,,,,,,44.5,,27.2778,40.5921,27.2778,33.3333,,,,,2.75,,,,,
1998-01-15,20.8762,317565.1988,78140.0143,,,,,,,,,,-0.7533,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,515000.0,,,,,,,44.4475,,26.2937,29.7399,26.2937,19.0476,,,,,1.5,,,,,
1998-01-16,21.6542,746432.1988,195846.9109,,,,,,,,,,0.9133,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,943867.0,,,,,,,44.3955,,45.2381,32.9365,45.2381,83.3333,,,,,1.5,,,,,
1998-01-20,22.3026,811498.0449,246898.2369,,,,,,,,,,0.3077,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1157467.0,,,,,,,44.3441,,59.7417,43.7578,59.7417,76.8443,,,,,3.25,,,,,
1998-01-21,22.0432,873631.3783,265107.2729,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,971067.0,,,,,,,44.2931,,75.592,60.1906,75.592,66.5984,,,,,1.5,,,,,
1998-01-22,22.1729,873631.3783,248455.7628,,,,,,,,,,0.2,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1160734.0,,,,,,,44.2427,,70.0095,68.4478,70.0095,66.586,,,,,2.5,,,,,
1998-01-23,22.0432,909564.7116,230490.2273,,,,,,,,,,-0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1052934.0,,,,,,,44.1928,,63.7247,69.7754,63.7247,57.9897,,,,,1.5,,,,,
1998-01-26,21.815,926004.7116,207417.942,,,,,,,,,,0.56,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,915934.0,,,,,,,44.1433,,53.6278,62.454,53.6278,36.3077,,,,,1.0,,,,,
1998-01-27,22.0432,1018445.6762,208536.1375,,,,,,,,,,0.3274,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1036001.0,,,,,,,44.0944,,44.7658,54.0394,44.7658,40.0,,,,,1.13,,,,,
1998-01-28,22.4322,1158445.6762,234581.205,,,,,,,,,,0.2756,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1176001.0,,,,,,,44.046,,50.4359,49.6098,50.4359,75.0,,,,,2.25,,,,,
1998-01-29,22.1729,1116953.1872,210708.2857,,,,,,,,,,-0.365,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,738734.0,,,,,,,43.998,,61.6667,52.2895,61.6667,70.0,,,,,1.37,,,,,
1998-01-30,21.6542,1026486.1872,153001.8381,,,,,,,42.0005,43.901,40.1,-0.94,46.1497,,,,42.0005,,,,,,,,0.0,,,,,,,,,,,41.845,41.75,,4.26,,,648267.0,,8.38,,,,,43.9505,42.0005,57.4242,56.5089,57.4242,27.2727,,,,,2.0,41.9744,,,-50.0,42.2195
1998-02-02,22.3337,1146898.8805,153798.5267,,,,25.0,0.0,25.0,42.1535,43.8689,40.4381,0.2867,66.1302,16.5049,,32.5949,42.1014,,,,,,,,0.0,41.7852,,,,,,,,,72.3437,41.97,41.875,11.608,4.047,3.06,4.2522,809534.0,22.8344,7.961,,7.65,1.0765,58.2524,43.9035,42.1535,57.3939,58.8283,57.3939,74.9091,,,,,1.5,42.0736,,,-27.4286,42.3204
1998-02-03,21.8513,1087287.4165,121175.4765,,,,20.0,35.0,-15.0,42.1445,43.8584,40.4306,-0.896,38.6965,10.6617,,32.5949,42.1041,,,,,,,,0.0,41.7869,,,,,,,,,69.7387,41.97,41.875,11.1858,3.8447,-0.18,4.2771,734267.0,22.004,7.563,,-0.4254,0.9957,55.3309,43.857,42.1445,47.7576,54.1919,47.7576,41.0909,,,,,1.25,42.1491,,,-45.1429,42.3181
1998-02-04,21.8773,1120843.0832,107490.5339,,,,15.0,30.0,-15.0,42.2005,43.8158,40.5852,0.0,-31.0949,9.851,,21.3934,42.0942,,,,,,,,0.0,41.7894,,,,,,,,,69.5551,41.97,41.875,13.6226,4.6524,1.12,4.2544,633600.0,21.0376,7.1848,,2.7397,1.0274,54.9255,43.8109,42.2005,50.7879,51.9798,50.7879,36.3636,,,,,1.5,42.2137,,,-47.619,42.3044
1998-02-05,20.8355,989576.0832,50353.5088,,,,10.0,25.0,-15.0,42.1255,43.9848,40.2662,-1.0,-145.8291,-1.799,,11.48,41.8948,,,,,,,,0.0,41.7649,,,,,,,,,64.9596,41.845,41.875,15.7348,5.4198,-1.5,4.4938,502333.0,19.816,6.8256,,-3.6145,0.9639,49.1005,43.7653,42.1255,25.8182,41.4545,25.8182,0.0,,,,,2.0,42.2386,,,-85.7143,42.0948
1998-02-06,21.945,1091243.0832,54750.2705,,,,5.0,20.0,-15.0,42.0475,43.7631,40.3319,0.6133,-61.5457,9.018,,13.3423,41.9172,,,,,,,,0.0,41.7701,,,,,,,,,60.5478,41.625,41.875,14.7225,5.1488,-1.56,4.3203,604000.0,19.256,6.7343,,-3.5706,0.9643,54.509,43.7202,42.0475,34.3764,36.9942,34.3764,66.7656,,,,,2.25,42.2488,,,-45.1429,42.0952
1998-02-09,21.4866,1026092.8332,30842.0234,,,0.1696,0.0,15.0,-15.0,41.9785,43.7058,40.2512,0.125,-17.6091,4.2027,,19.5429,41.8536,,,,,,,,0.0,41.7634,,,,,,,,,59.1637,41.625,41.69,13.8865,4.8914,-1.38,4.4342,517133.0,20.6326,7.2676,0.4044,-3.2372,0.9676,52.1014,43.6755,41.9785,35.8061,32.0002,35.8061,40.6528,,,,,2.0,42.2625,,,-59.0164,42.0193
1998-02-10,22.4659,1250512.3887,89663.7788,,,0.1017,25.0,10.0,15.0,42.066,43.8398,40.2922,0.1111,71.2101,12.8583,,22.8811,41.9752,,,,,,,,0.0,41.7845,,,,,,,,,67.2482,41.625,41.69,13.0116,4.6468,1.75,4.2898,851533.0,20.7327,7.4042,0.2418,4.2291,1.0423,56.4292,43.6312,42.066,65.7325,45.305,65.7325,89.779,69.0871,100.0,,,2.25,42.287,,,-20.4918,42.129
1998-02-11,22.6586,1314245.722,125854.7594,,,0.176,20.0,5.0,15.0,42.163,44.0255,40.3005,0.1667,133.558,14.4595,,26.1082,42.1204,,,,,,,,0.0,41.8135,,,,,,,,,67.619,41.75,41.69,12.4607,4.4145,1.94,4.213,1042733.0,21.2662,7.534,0.4178,4.6679,1.0467,57.2297,39.25,42.163,72.7653,58.1013,72.7653,87.8641,82.7216,100.0,,,1.5,42.3036,,,-12.9098,42.2655
1998-02-12,22.7263,1515712.722,193321.9552,,,0.1644,15.0,0.0,15.0,42.2945,44.1812,40.4078,1.0,99.2924,15.0369,,19.5768,42.2642,,,,,,,,0.0,41.8575,,,,,,,,,68.1716,41.815,42.005,13.596,4.8137,2.63,4.191,1244200.0,20.2151,7.1573,0.3893,6.4146,1.0641,57.5184,39.2975,42.2945,89.5542,76.0173,89.5542,91.0194,100.0,100.0,,,1.75,42.3129,,60.1284,-11.7647,42.4052
1998-02-13,22.7888,1540770.8511,211320.4895,,,0.1195,10.0,75.0,-65.0,42.4695,44.2087,40.7303,-0.4032,173.0339,15.5905,,22.1109,42.4057,,,,,,,,0.0,41.926,,,,,,,,,71.2218,41.875,42.005,13.3499,4.573,3.5,4.0414,1373667.0,20.9293,7.1694,0.2824,8.6957,1.087,57.7952,39.3445,42.4695,90.1834,84.1676,90.1834,91.6667,100.0,100.0,,,0.62,42.3245,,59.5052,-8.9412,42.5439
1998-02-17,23.0493,1636504.1844,229933.1787,,,0.2229,100.0,70.0,30.0,42.5945,44.4634,40.7256,0.8333,180.7977,17.9357,,25.4523,42.5813,,,,,,,,0.0,41.9855,,,,,,,,,68.8756,42.125,42.19,12.7617,4.3444,2.5,3.9654,1517267.0,21.4759,7.3109,0.5267,5.988,1.0599,58.9678,39.3911,42.5945,91.6646,90.4674,91.6646,92.3077,100.0,100.0,,,1.5,42.3332,,67.4029,-5.4113,42.7134
1998-02-18,23.4399,1716704.1844,242162.6263,,,0.4026,100.0,65.0,35.0,42.6945,44.8339,40.5551,0.4464,215.1178,21.3845,,28.6732,42.8117,,,,,,,,0.0,42.0476,,,,,,,,,67.5909,42.5,42.44,12.3345,4.1272,2.0,3.8288,1597467.0,22.2513,7.4454,0.9492,4.6512,1.0465,60.6922,39.4933,42.6945,94.6581,92.1687,94.6581,100.0,100.0,100.0,,,1.12,42.3561,,65.4293,-0.0,42.9425
