date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2003-12-09,1.0417,2740839.1011,,,,,,,,0.7438,,,,,,,,,,,0.0,,,,,,,,,,,,5603400.0,,,,,,,,,,,,,,,,,,,
2003-12-10,0.9978,3015609.5653,,,,,,,,-0.3671,,,,,,,,,,,0.0,,,,,,,,,,,,3889700.0,,,,,,,24.0,,,,,,,4.74,,,,,
2003-12-11,1.0343,3619430.9938,,,,,,,,0.4821,,,,,,,,,,,0.0,,,,,,,,,,,,4658200.0,,,,,,,24.105,,,,,,,2.8,,,,,
2003-12-12,1.2059,4655993.6641,,,,,,,,0.7616,,,,,,,,,,,0.0,,,,,,,,,,,,5983700.0,,,,,,,24.209,,,,,,,7.34,,,,,
2003-12-15,1.0589,3548094.3017,,,,,,,,-0.762,,,,,,,,,,,0.0,,,,,,,,,,,,4628000.0,,,,,,,24.5266,,,,,,,9.41,,,,,
2003-12-16,1.015,3631900.2189,,,,,,,,-0.4527,,,,,,,,,,,0.0,,,,,,,,,,,,3742800.0,,,,,,,25.0823,,,,,,,3.38,,,,,
2003-12-17,0.9837,3240382.4425,,,,,,,,-0.4619,,,,,,,,,,,0.0,,,,,,,,,,,,3146500.0,,,,,,,25.6213,,,29.0657,,,,3.139,,,,,
2003-12-18,0.9238,2910120.2804,,,,,,,,-0.5826,,,,,,,,,,,0.0,,,,,,,,,,,,2734600.0,,,,,,,26.1442,,,11.5213,,,,3.33,,,,,
2003-12-19,0.8747,2598528.5677,,,,,,,,-0.6575,,,,,,,,,,,0.0,,,,,,,,,,,,2020700.0,,,,,,,26.6513,,4.3481,4.3481,,,,2.11,,,,,
2003-12-22,0.9941,3011448.5677,-166996.3573,,,,,,,0.9111,,,,,,,,,,,0.0,,,,,,,,,,,,2522900.0,,,,,,,27.1433,,23.9792,23.9792,,,,4.25,,,,,
2003-12-23,1.0001,2920318.7899,-146821.1978,,,,,,,0.1656,,,,,,,,,,,0.0,,,,,,,,,,,,3045300.0,,,,,,,27.6205,,45.9824,45.9824,,,,3.6,,,,,
2003-12-24,1.0125,2923795.3781,-124114.1546,,,,,,,0.17,,,,,,,,,,,0.0,,,,,,,,,,,,3147200.0,,,,,,,28.0834,,69.6872,69.6872,,,,1.7,,,,,
2003-12-26,1.0404,2911511.1676,-107450.4171,,,,,,,0.4,,,,,,,,,,,0.0,,,,,,,,,,,,3380600.0,,,,,,,28.5324,,76.1746,76.1746,,,,1.911,,,,,
2003-12-29,0.9877,2617912.5375,-184282.9599,,,,,,,-0.7671,,,,,,,,,,,0.0,,,,,,,,,,,,2838000.0,,,,,,,28.9679,,72.0527,72.0527,,,,2.92,,,,,
2003-12-30,1.011,2621893.6186,-197694.7506,,,,,,,0.2919,,,,,,,,,,,0.0,,,,,,,,,,,,3083500.0,,,,,,,29.3904,,63.3594,63.3594,,,,1.85,,,,,
2003-12-31,1.0438,2750646.5597,-144242.2973,,,,,,,0.5941,,,,,,,,,,,0.0,,,,,,,,,,,,3227500.0,,,,,,,29.8002,,59.4321,59.4321,,,,1.7,,,,,
2004-01-02,1.1663,3020758.7243,-23317.6689,,,,,,,0.7388,,,,,,,,,,,0.0,,,,,,,,,,,,3772600.0,,,,,,,30.1977,,68.1064,68.1064,,,,5.59,,,,,
2004-01-05,1.2037,2941846.9294,3162.987,,,,,,,0.2256,,,,,,,,,,,0.0,,,,,,,,,,,,4100000.0,,,,,,,30.5832,,77.3363,77.3363,,,,3.9,,,,,
2004-01-06,1.1479,2875744.3116,-7324.2128,,,,,,,-0.5681,,,,,,,,,,,0.0,,,,,,,,,,,,3857200.0,,,,,,,30.9572,,71.4264,71.4264,,,,3.82,,,,,
2004-01-07,1.1602,2911702.8302,492.7535,,,,,,39.7095,0.0058,107.3035,,,,34.0538,,,,,,0.0,,,,,,33.895,33.525,,9.161,,,3972000.0,,22.88,,,,,31.32,34.0538,63.5265,63.5265,,,,1.89,33.1169,,,-27.5538,34.6479
2004-01-08,1.126,2875005.0609,-8030.7554,,,,20.0,20.0,39.9616,-0.2581,73.5593,7.5329999999999995,,38.4505,34.3048,,,,,,0.0,37.7876,,,,56.1888,33.895,35.52,14.1042,9.663,2.7489999999999997,9.8095,3745900.0,31.7263,21.736,,8.0996,1.081,53.7665,31.6719,34.1912,50.3857,50.3857,,,,2.6,33.3449,,,-42.2377,34.8989
2004-01-09,1.0813,2784038.7508,-39731.4027,,,,15.0,-20.0,40.0608,-0.5561,36.2564,3.1902,,35.5423,34.3929,,,,,,0.0,37.757,,,,48.3447,33.895,35.52,14.6662,9.8198,2.72,9.9703,3618000.0,30.8402,20.6492,,8.3667,1.0837,51.5951,32.0133,34.3272,33.0608,33.0608,,,,1.87,33.6056,,,-51.9256,34.9978
2004-01-12,1.0512,2698401.377,-76336.1589,,,,10.0,-20.0,40.0813,-0.5051,8.1011,0.3256,,29.0764,34.3793,,,,,,0.0,37.738,,,,43.3903,33.895,35.52,16.1898,10.7788,0.55,10.1764,3447300.0,29.4644,19.6167,,1.632,1.0163,50.1628,32.3444,34.3547,17.4796,17.4796,,,,2.97,33.8651,,,-58.4329,34.9905
