date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-06-19,0.2042,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1280300.0,,,,,,,,,,,,,,,,,,,
1998-06-22,0.2042,-2850.9804,,,,,,,,0.2431,,,,,,,,,,,0.0,,,,,,,,,,,,1280300.0,,,,,,,9.5,,,,,,,0.255,,,,,
1998-06-23,0.2042,94566.8414,,,,,,,,0.0614,,,,,,,,,,,0.0,,,,,,,,,,,,1280300.0,,,,,,,9.5063,,,,,,,0.505,,,,,
1998-06-24,0.2093,130666.8414,,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,1316400.0,,,,,,,9.5125,,,,,,,0.375,,,,,
1998-06-25,0.2298,221466.078,,,,,,,,0.5725,,,,,,,,,,,0.0,,,,,,,,,,,,1700100.0,,,,,,,9.5273,,,,,,,1.5,,,,,
1998-06-26,0.2477,265343.0011,,,,,,,,0.4808,,,,,,,,,,,0.0,,,,,,,,,,,,1914000.0,,,,,,,9.594,,,,,,,1.56,,,,,
1998-06-29,0.2541,248772.3344,,,,,,,,0.4133,,,,,,,,,,,0.0,,,,,,,,,,,,2009600.0,,,,,,,9.7202,,,81.4734,,,,0.75,,,,,
1998-06-30,0.2463,193827.89,,,,,,,,-0.7778,,,,,,,,,,,0.0,,,,,,,,,,,,1910700.0,,,,,,,9.8782,,,79.7848,,,,0.81,,,,,
1998-07-01,0.2426,-147872.11,,,,,,,,-0.48,,,,,,,,,,,0.0,,,,,,,,,,,,1569000.0,,,,,,,10.0283,,72.737,72.737,,,,0.25,,,,,
1998-07-02,0.2451,-150668.11,-105987.5538,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1638900.0,,,,,,,10.1709,,59.8858,59.8858,,,,0.25,,,,,
1998-07-06,0.2477,-104668.11,-101124.3078,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1684900.0,,,,,,,10.3063,,43.9818,43.9818,,,,0.25,,,,,
1998-07-07,0.2463,-71184.11,-79287.6792,,,,,,,-0.28,,,,,,,,,,,0.0,,,,,,,,,,,,1608800.0,,,,,,,10.435,,31.7171,31.7171,,,,0.25,,,,,
1998-07-08,0.2477,-44384.11,-54619.2694,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1635600.0,,,,,,,10.5573,,49.0741,49.0741,,,,0.25,,,,,
1998-07-09,0.2886,9018.3693,-22570.5611,,,,,,,0.5702,,,,,,,,,,,0.0,,,,,,,,,,,,1943300.0,,,,,,,10.6734,,60.7407,60.7407,,,,3.63,,,,,
1998-07-10,0.2937,18469.7207,-4400.6085,,,,,,,0.6757,,,,,,,,,,,0.0,,,,,,,,,,,,1970200.0,,,,,,,10.9708,,75.5556,75.5556,,,,0.37,,,,,
1998-07-13,0.282,-86230.2793,-29881.0272,,,,,,,-0.9362,,,,,,,,,,,0.0,,,,,,,,,,,,1865500.0,,,,,,,11.2503,,59.3778,59.3778,,,,0.94,,,,,
1998-07-14,0.309,9277.7207,-7199.4687,,,,,,,0.7533,,,,,,,,,,,0.0,,,,,,,,,,,,1979200.0,,,,,,,11.5131,,68.2667,68.2667,,,,1.5,,,,,
1998-07-15,0.3268,-70346.7519,-22601.2116,,,,,,,0.211,,,,,,,,,,,0.0,,,,,,,,,,,,2146200.0,,,,,,,11.7601,,69.2329,69.2329,,,,2.62,,,,,
