date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,7.8577,-182968.595,,,,,,,,-0.3085,,,,,,,,,,,0.0,,,,,,,,,,,,484800.0,,,,,,,,,,,,,,,,,,,
1998-01-05,7.438,-799181.9284,,,,,,,,-0.8533,,,,,,,,,,,0.0,,,,,,,,,,,,-387200.0,,,,,,,77.38,,,,,,,6.0,,,,,
1998-01-06,7.8053,1925.5556,,,,,,,,0.638,,,,,,,,,,,0.0,,,,,,,,,,,,553067.0,,,,,,,77.3062,,,,,,,5.0,,,,,
1998-01-07,7.5555,-161519.7349,,,,,,,,-0.0466,,,,,,,,,,,0.0,,,,,,,,,,,,14600.0,,,,,,,77.1551,,,,,,,5.37,,,,,
1998-01-08,7.4506,-374243.7349,,,,,,,,-0.2143,,,,,,,,,,,0.0,,,,,,,,,,,,-357667.0,,,,,,,77.007,,,,,,,3.5,,,,,
1998-01-09,7.0371,-795038.0409,,,,,,,,-0.6121,,,,,,,,,,,0.0,,,,,,,,,,,,-1404067.0,,,,,,,76.8618,,,,,,,5.62,,,,,
1998-01-12,7.2669,430685.3437,,,,,,,,0.9415,,,,,,,,,,,0.0,,,,,,,,,,,,-76200.0,,,,,,,76.5174,,,27.4006,,,,6.5,,,,,
1998-01-13,7.5429,1001712.0896,,,,,,,,-0.0282,,,,,,,,,,,0.0,,,,,,,,,,,,730067.0,,,,,,,75.9767,,,45.6197,,,,4.25,,,,,
1998-01-14,7.7129,1418469.8168,,,,,,,,-0.0473,,,,,,,,,,,0.0,,,,,,,,,,,,1646934.0,,,,,,,75.4576,,71.4578,71.4578,,,,2.75,,,,,
1998-01-15,7.7916,1639669.8168,776466.6742,,,,,,,0.1667,,,,,,,,,,,0.0,,,,,,,,,,,,2310534.0,,,,,,,63.0,,85.4034,85.4034,,,,3.0,,,,,
1998-01-16,7.7129,1377847.899,662377.3524,,,,,,,-0.5708,,,,,,,,,,,0.0,,,,,,,,,,,,1479534.0,,,,,,,63.1225,,90.2948,90.2948,,,,2.19,,,,,
1998-01-20,8.1589,2158707.4032,803943.6218,,,,,,,0.6529,,,,,,,,,,,0.0,,,,,,,,,,,,2675534.0,,,,,,,63.2438,,90.444,90.444,,,,4.88,,,,,
1998-01-21,7.8703,2931469.3079,1034650.0997,,,,,,,-0.1905,,,,,,,,,,,0.0,,,,,,,,,,,,-570066.0,,,,,,,63.5465,,76.7891,76.7891,,,,6.0,,,,,
1998-01-22,7.4768,1676003.9738,635504.6799,,,,,,,-0.5294,,,,,,,,,,,0.0,,,,,,,,,,,,-2342733.0,,,,,,,63.8432,,50.8843,50.8843,,,,4.37,,,,,
1998-01-23,7.0707,353821.2185,-6249.7486,,,,,,,-0.8352,,,,,,,,,,,0.0,,,,,,,,,,,,-4007000.0,,,,,,,64.1339,,21.4297,21.4297,,,,6.13,,,,,
1998-01-26,6.8272,-412354.7815,-512000.7649,,,,,,,-0.6567,,,,,,,,,,,0.0,,,,,,,,,,,,-5603200.0,,,,,,,78.38,,7.967,7.967,,,,6.0,,,,,
1998-01-27,7.0371,-216890.4662,-610160.1926,,,,,,,0.295,,,,,,,,,,,0.0,,,,,,,,,,,,-4326933.0,,,,,,,78.2312,,14.0904,14.0904,,,,4.44,,,,,
1998-01-28,7.2932,-58155.2549,-544340.5556,,,,,,,0.4085,,,,,,,,,,,0.0,,,,,,,,,,,,-3413133.0,,,,,,,78.0839,,29.8594,29.8594,,,,3.32,,,,,
1998-01-29,7.1358,-647340.0598,-655396.7278,,,,,,,-0.3593,,,,,,,,,,,0.0,,,,,,,,,,,,-4504133.0,,,,,,,77.938,,42.3563,42.3563,,,,4.87,,,,,
1998-01-30,7.2145,-131194.1217,-477019.0245,,,,,,77.6203,0.4545,-77.8775,,,,71.1165,,,,,,0.0,,,,,,71.405,70.69,,23.0,,,-3790866.0,,11.38,,,,,77.7937,71.1165,54.7783,54.7783,,,,2.75,71.7591,,,-62.6138,70.3458
1998-02-02,7.332999999999998,-490987.1483,-475160.5613,,,,55.0,25.0,77.1531,-0.3733,-16.8864,-10.5219,,22.9912,70.9987,,,,,,0.0,68.7685,,,,33.8117,71.405,70.69,25.4534,21.85,-5.0,6.4532,-2920399.0,15.9372,13.681,,-6.6774,0.9332,44.7391,77.6507,70.8665,61.1147,61.1147,,,,3.25,71.5823,,,-55.2666,70.22800000000001
1998-02-03,7.6342,151239.1231,-226859.1434,,,,50.0,25.0,77.3001,0.522,34.268,-3.9155,,15.9169,71.1655,,,,,,0.0,68.7999,,,,39.7979,71.405,70.69,24.1757,20.7575,1.87,6.1849,-1282532.0,17.5365,15.057,,2.6383,1.0264,48.0422,77.5092,70.96,72.7708,72.7708,,,,4.31,71.3725,,,-36.606,70.4074
1998-02-04,7.6667,84625.4712,-125852.9851,,,,45.0,25.0,77.1167,0.0856,59.6741,-3.2141,,12.8005,71.346,,,,,,0.0,68.8292,,,,39.7704,71.405,70.69,23.1484,19.7196,-1.32,6.0985,-355065.0,17.8947,15.2441,,-1.7747,0.9823,48.393,77.3691,70.89399999999998,77.3901,77.3901,,,,3.62,71.0827,,,-34.5904,70.6074
1998-02-05,7.5723,-818972.5857,-360599.5761,,,,40.0,25.0,77.1307,-0.3631,54.3769,-5.1703,,11.9578,71.4235,,,,,,0.0,68.844,,,,38.4146,71.405,70.69,22.139,18.7336,0.16,6.1215,-1694132.0,17.4098,14.7319,,0.2222,1.0022,47.4148,77.2304,70.902,75.2001,75.2001,,,,3.69,70.7955,,,-40.4421,70.72800000000002
1998-02-06,7.5429,-128557.1482,-204172.8536,,,,35.0,25.0,77.1893,-0.0868,12.9749,-5.7939,,16.7002,71.467,,,,,,0.0,68.8622,,,,36.7855,71.405,70.69,23.547,19.607,0.88,6.0384,-3134999.0,16.8076,13.9953,,1.2394,1.0124,47.103,77.0931,70.946,62.9126,62.9126,,,,2.88,70.5561,,,-42.2627,70.8211
1998-02-09,7.4674,-4566.6027,-82167.3978,,,-1.5577,30.0,25.0,77.1343,-0.3527,-3.5083,-7.4414,,17.3475,71.4377,,,,,,0.0,68.90100000000001,,,,37.3783,71.405,70.69,23.0613,18.8766,4.1,5.9878,-3733199.0,16.243,13.2955,-2.1854,6.1139,1.0611,46.2793,76.9572,71.15100000000002,46.7043,46.7043,,,,2.75,70.405,,,-46.9441,70.8415
1998-02-10,7.4506,-113230.6999,-59361.2515,,,-1.1068,25.0,25.0,77.1589,-0.1429,-3.7051,-7.8184,,17.3475,71.396,,,,,,0.0,68.9195,,,,40.3086,71.405,70.94,22.5537,17.9328,1.75,5.8244,-4106066.0,15.8855,12.6308,-1.5561,2.5271,1.0253,46.0908,76.8226,71.2385,33.6788,33.6788,21.5658,,,1.75,70.3079,,,-49.5968,70.8271
1998-02-11,7.5293,-136374.3619,-51998.8794,,,-0.5828,20.0,-20.0,77.1498,0.4695,14.3007,-5.6938,,14.3927,71.4297,,,,,,0.0,68.9322,,,,39.2431,71.405,70.94,21.9352,17.0361,-0.13,5.6238,-3726866.0,16.4155,12.7492,-0.8189,-0.1809,0.9982,47.1531,76.6894,71.232,31.3623,31.3623,26.7445,,,2.13,70.2512,,,-44.5565,70.8758
1998-02-12,7.2208,-752159.6952,-240191.5261,,,-0.2227,15.0,-20.0,76.9089,-0.8967,-48.5544,-12.7855,,20.6985,71.1802,,,,,,0.0,68.9296,,,,35.5207,71.405,70.94,23.9306,18.4343,-4.69,5.807,-4503066.0,15.7229,12.1118,-0.3139,-6.381,0.9362,43.6073,76.5575,70.9975,24.0983,24.0983,26.7445,,,3.25,70.2235,,42.6118,-64.3145,70.6451
1998-02-13,7.2208,-649710.8063,-262746.4599,,,-0.1575,10.0,-20.0,76.5126,-0.1956,-69.2082,-12.7855,,23.3402,70.9545,,,,,,0.0,68.9266,,,,32.6947,71.405,70.94,24.5425,18.5126,-5.44,5.6802,-4503066.0,15.2539,11.5062,-0.2224,-7.3266,0.9267,43.6073,76.4269,70.7255,23.5192,23.5192,26.7445,,,2.25,70.2463,,44.3525,-64.3145,70.4368
1998-02-17,6.8797,-1175632.4364,-415426.1370000001,,,-0.1516,5.0,-95.0,76.383,-0.5486,-135.1324,-20.1411,,33.7882,70.4407,,,,,,0.0,68.7999,,,,30.5827,71.405,70.69,28.3024,22.087,-7.94,6.1503,-7166066.0,14.0069,10.9309,-0.2147,-10.8027,0.892,39.9294,76.2977,70.3285,19.1127,19.1127,0.0,,,6.38,70.2798,,45.7354,-83.355,69.9449
1998-02-18,6.9784,-1087304.2056,-412015.5554,,,-0.3176,0.0,-95.0,74.9916,0.2492,-113.4717,-17.1334,,33.7882,70.0654,,,,,,0.0,68.6373,,,,29.9588,70.03,70.0,27.1138,20.9826,-11.25,6.0045,-6017799.0,13.4186,10.3843,-0.4498,-14.4695,0.8553,41.4333,76.0317,69.766,28.5618,28.5618,6.9394,,,3.25,70.2895,,44.0194,-75.0,69.5802
1998-02-19,6.8304,-1626627.0656,-544767.0861,,,-0.5567,0.0,-90.0,74.2924,-0.525,-120.7756,-20.2845,,34.8808,69.5916,15.6467,,-0.6846,,,0.0,68.4168,,,13.224,33.3986,69.06,69.125,26.3597,20.4335,-9.91,6.1351,-6947666.0,12.7262,9.8651,-0.7904,-13.2133,0.8679,39.8578,75.7711,69.2705,28.6414,28.6414,6.9394,,,4.0,70.2721,,40.7186,-82.9388,69.1349
1998-02-20,6.8147,-1301373.9011,-446060.6066,,,-0.9406,50.0,-35.0,74.2264,-0.2363,-140.5815,-20.6225,,36.7913,69.1486,17.2118,,-1.5745,,,0.0,68.2819,-1.8127,-0.9406,13.7412,34.758,69.0,69.125,26.6824,20.2818,-6.31,6.0243,-7975466.0,12.3294,9.3719,-1.3406,-8.8561,0.9114,39.6888,75.5157,68.955,29.5847,29.5847,6.9394,,,2.37,70.2067,,42.2419,-84.1633,68.7225
1998-02-23,6.715,-1939474.1811,-568161.6262,,,-2.2878,45.0,-55.0,80.347,-0.8982,-451.6939,-52.2669,,63.6015,66.6259,18.7774,,-2.5455,,,0.0,64.5714,-3.6746,-2.2878,14.0304,36.8633,57.86,58.94,42.3372,40.0177,-24.72,11.3269,-8627799.0,9.4193,8.9033,-3.3166,-36.6874,0.6331,23.8666,75.2653,67.719,17.8137,17.8137,0.0,,,22.31,69.8675,,24.7799,-99.908,66.2182
1998-02-24,6.4537,-2690706.2286,-805489.3652,,,-3.6056,40.0,-60.0,83.6929,-0.6677,-323.5253,-53.714,,65.6349,64.1853,20.4622,,-3.5953,,,0.0,61.2304,-5.2238,-3.6056,14.3001,37.1939,57.03,57.565,43.7575,40.7669,-24.06,11.6072,-10868199.0,9.0786,8.4581,-5.3257,-36.9812,0.6302,23.143,74.2863,66.516,10.9336,10.9336,0.0,,,3.37,69.2131,,24.8338,-96.8335,63.6735
1998-02-25,6.8771,170993.7714,81189.2294,,,-4.8083,35.0,-60.0,85.1901,0.6575,-215.7085,-46.1556,,64.09100000000001,62.2334,22.3793,,-4.1386,,,0.0,58.9178,-6.1635,-4.8083,14.594,38.8376,57.03,57.565,42.4668,38.7285,-23.37,10.6558,-8006499.0,9.2933,8.4752,-7.2244,-34.8494,0.6515,26.9222,72.91,65.3475,5.8299,5.8299,7.5367,,,2.69,68.255,,27.1466,-89.2282,61.4996
1998-02-26,6.7291,-868697.1376,105729.7989,,,-5.8296,30.0,-60.0,86.0385,-0.4545,-162.8003,-47.1122,,59.4335,60.3778,24.5306,,-4.9954,,,0.0,56.0994,-6.9045,-5.8296,14.8755,39.1477,57.03,57.565,41.1603,36.7921,-26.75,10.6672,-9640299.0,10.4729,9.3614,-8.9398,-38.4892,0.6151,26.4439,71.5888,64.01,9.4905,9.4905,14.1868,,,2.75,66.9975,,25.3817,-91.8858,59.3475
