date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,5.7689,-72613.1944,,,,,,,,,,,-0.8472,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,104563.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,5.6667,-234053.39,,,,,,,,,,,-0.28,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-255081.0,,,,,,,41.38,,,,,,,,,,2.25,,,,,
1998-01-06,5.6489,-451440.5204,,,,,,,,,,,-0.8116,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-522933.0,,,,,,,41.3425,,,,,,,,,,1.38,,,,,
1998-01-07,5.6859,-383984.5204,,,,,,,,,,,0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-423733.0,,,,,,,41.3054,,,,,,,,,,0.75,,,,,
1998-01-08,5.6756,-349792.7668,,,,,,,,,,,0.1812,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-487496.0,,,,,,,41.2686,,,,,,,,,,1.38,,,,,
1998-01-09,5.4578,-440627.9936,,,,,,,,,,,-0.6171,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-875348.0,,,,,,,41.1882,,,,,,,,,,2.69,,,,,
1998-01-12,5.5926,-295027.7079,,,,,,,,,,,0.7857,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-705481.0,,,,,,,41.0269,,,,39.1904,66.5984,,,,,3.5,,,,,
1998-01-13,5.7407,-195184.9379,,,,,,,,,,,0.4695,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-550251.0,,,,,,,40.7658,,,,61.2327,91.7927,,,,,2.13,,,,,
1998-01-14,5.5556,-333673.9379,,,,,,,,,,,-0.625,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-734903.0,,,,,,,40.5152,,73.8496,58.0909,73.8496,63.1579,,,,,2.0,,,,,
1998-01-15,5.3896,-487761.6384,-82490.9536,,,,,,,,,,-0.7326,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1066103.0,,,,,,,40.2746,,64.8432,66.6418,64.8432,39.5789,,,,,1.87,,,,,
1998-01-16,5.3156,-604309.3022,-134175.6281,,,,,,,,,,-0.885,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1217481.0,,,,,,,40.0436,,43.9298,60.8742,43.9298,29.0526,,,,,1.13,,,,,
1998-01-20,5.3896,-602283.8222,-142477.1032,,,,,,,,,,0.304,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-964296.0,,,,,,,39.8219,,28.8772,45.8834,28.8772,18.0,,,,,1.25,,,,,
1998-01-21,5.3704,-700213.7085,-164080.2066,,,,,,,,,,-0.1477,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1191081.0,,,,,,,39.609,,20.4461,31.0844,20.4461,14.2857,,,,,0.88,,,,,
1998-01-22,5.3704,-1074769.7085,-277178.3665,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1191081.0,,,,,,,39.4046,,19.0952,22.8062,19.0952,25.0,,,,,0.37,,,,,
1998-01-23,5.5748,-1241831.3752,-351403.7471,,,,,,,,,,-0.2467,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-689896.0,,,,,,,39.2084,,34.8545,24.7986,34.8545,65.2778,,,,,2.38,,,,,
1998-01-26,5.6859,-1237502.8392,-348445.6188,,,,,,,,,,0.4,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-148829.0,,,,,,,39.0201,,57.067,37.0056,57.067,80.9231,,,,,1.37,,,,,
1998-01-27,5.6119,-1525502.8392,-407194.9647,,,,,,,,,,-0.185,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-532829.0,,,,,,,34.5,,65.9972,52.6395,65.9972,51.7906,,,,,2.0,,,,,
1998-01-28,6.2044,-1072503.8051,-250075.0076,,,,,,,,,,0.8934,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,42934.0,,,,,,,34.5513,,74.9046,65.9896,74.9046,92.0,,,,,4.69,,,,,
1998-01-29,6.1852,-1149303.8051,-187500.9335,,,,,,,,,,-0.0578,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-187466.0,,,,,,,34.7079,,73.0936,71.3318,73.0936,75.4902,,,,,2.25,,,,,
1998-01-30,6.3052,-1033000.7651,-107851.3966,,,,,,,41.9094,38.2035,34.4976,0.7067,209.5308,,,,38.2035,,,,,,,,0.0,,,,,,,,,,,39.22,38.875,,5.87,,,-31703.0,,8.12,,,,,34.9641,38.2035,85.0709,77.6897,85.0709,87.7224,,,,,1.5,37.476,,,-7.8857,38.5822
1998-02-02,6.3704,-1053753.0217,-72065.8134,,,,100.0,30.0,70.0,42.6564,38.4065,34.1566,-0.115,211.997,25.3433,,21.2942,38.6603,,,,,,,,0.0,42.5807,,,,,,,,,50.5767,39.44,39.065,15.8823,5.5765,4.06,4.2907,148682.0,24.4763,8.594,,10.4263,1.1043,62.6717,35.2127,38.4065,84.2375,80.8007,84.2375,89.5,,,,,1.13,37.5917,,,-6.9003,39.039
1998-02-03,6.4074,-1053753.0217,-50874.8191,,,,100.0,25.0,75.0,43.3998,38.6565,33.9132,0.0,171.2172,26.5499,,21.9896,39.0974,,,,,,,,0.0,42.6252,,,,,,,,,55.7053,39.565,39.125,15.42,5.2977,5.0,4.1682,364534.0,24.1132,8.2843,,13.0719,1.1307,63.2749,35.5494,38.6565,89.6572,86.3219,89.6572,91.7492,,,,,1.0,37.7977,,,-5.4054,39.5003
1998-02-04,6.4444,-890711.0217,14296.2076,,,,100.0,20.0,80.0,44.1064,38.925,33.7436,0.0,135.8017,27.7785,,17.4387,39.5167,,,,,,,,0.0,42.6891,,,,,,,,,55.6454,39.69,39.125,16.2071,5.5328,5.37,4.1095,609097.0,23.0537,7.8701,,14.0834,1.1408,63.8893,35.9594,38.925,90.7194,88.2047,90.7194,90.9091,,,,,1.5,38.0866,,,-2.7027,39.9616
1998-02-05,6.5837,-722833.7909,93072.9094,,,,100.0,15.0,85.0,44.9292,39.228,33.5268,0.6026,132.3916,32.263,,22.0314,39.9856,,,,,,,,0.0,42.8334,,,,,,,,,58.0908,40.16,39.5,15.4633,5.2562,6.06,3.9969,790964.0,24.2021,8.2266,,15.7895,1.1579,66.1315,36.349,39.228,93.604,91.3269,93.604,98.1538,,,,,1.56,38.4671,,,-0.6,40.4868
1998-02-06,6.4444,-852828.2998,75476.6792,,,,100.0,10.0,90.0,45.4638,39.4875,33.5112,-0.2959,123.3189,24.1484,,33.1484,40.3203,,,,,,,,0.0,42.8735,,,,,,,,,59.8955,40.16,40.565,13.9981,4.9933,5.19,4.2676,638401.0,27.88,9.9453,,13.5474,1.1355,62.0742,36.838,39.4875,72.5339,85.6191,72.5339,28.5388,,,,,3.38,38.9203,,,-25.8038,40.8937
