date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,9.345,-30302.521,,,,,,,,-0.2101,,,,,,,,,,,0.0,,,,,,,,,,,,601000.0,,,,,,,,,,,,,,,,,,,
1998-01-05,9.095,-921880.2988,,,,,,,,-0.3472,,,,,,,,,,,0.0,,,,,,,,,,,,-610200.0,,,,,,,38.88,,,,,,,2.88,,,,,
1998-01-06,9.47,-231146.9655,,,,,,,,0.5833,,,,,,,,,,,0.0,,,,,,,,,,,,425900.0,,,,,,,38.88,,,,,,,3.0,,,,,
1998-01-07,9.5325,-156303.515,,,,,,,,0.1597,,,,,,,,,,,0.0,,,,,,,,,,,,2227900.0,,,,,,,35.38,,,,,,,3.13,,,,,
1998-01-08,9.4225,33961.9718,,,,,,,,-0.2743,,,,,,,,,,,0.0,,,,,,,,,,,,1367900.0,,,,,,,35.38,,,,,,,1.13,,,,,
1998-01-09,9.0,-638343.2914,,,,,,,,-0.6579,,,,,,,,,,,0.0,,,,,,,,,,,,-106000.0,,,,,,,39.63,,,,,,,2.31,,,,,
1998-01-12,9.1875,-110379.9111,,,,,,,,0.5869,,,,,,,,,,,0.0,,,,,,,,,,,,1186600.0,,,,,,,39.5875,,,34.3959,,,,2.13,,,,,
1998-01-13,9.595,165420.0889,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,2565600.0,,,,,,,39.5008,,,40.0987,,,,2.63,,,,,
1998-01-14,9.4225,338307.7894,,,,,,,,-0.369,,,,,,,,,,,0.0,,,,,,,,,,,,1272400.0,,,,,,,39.4157,,54.9292,54.9292,,,,1.87,,,,,
1998-01-15,9.47,-361864.0338,7572.6061,,,,,,,0.1768,,,,,,,,,,,0.0,,,,,,,,,,,,2635100.0,,,,,,,39.38,,64.7405,64.7405,,,,1.81,,,,,
1998-01-16,9.4075,-270806.5117,-46249.7796,,,,,,,-0.2212,,,,,,,,,,,0.0,,,,,,,,,,,,1843600.0,,,,,,,39.2974,,60.1291,60.1291,,,,1.13,,,,,
1998-01-20,9.515,-110089.1783,-12926.1695,,,,,,,0.4933,,,,,,,,,,,0.0,,,,,,,,,,,,2939400.0,,,,,,,39.25,,57.7692,57.7692,,,,0.75,,,,,
1998-01-21,9.5325,451550.8217,180584.9591,,,,,,,0.13,,,,,,,,,,,0.0,,,,,,,,,,,,3678400.0,,,,,,,39.17,,55.6263,55.6263,,,,1.0,,,,,
1998-01-22,9.345,351307.9645,211436.3337,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,2742800.0,,,,,,,39.0916,,43.4497,43.4497,,,,1.25,,,,,
1998-01-23,9.125,-5280228.0856,-1587016.514,,,,,,,-0.8245,,,,,,,,,,,0.0,,,,,,,,,,,,-4837200.0,,,,,,,35.25,,30.4005,30.4005,,,,3.19,,,,,
