date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-09-24,0.8392,-3401679.6,,,,,,,,,,,-0.612,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9095400.0,,,,,,,,,,,,,,,,,,,,,,
1998-09-25,0.7949,-2338479.6,,,,,,,,,,,-0.124,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6969000.0,,,,,,,54.25,,,,,,,,,,6.25,,,,,
1998-09-28,0.8546,-2461068.5344,,,,,,,,,,,0.1537,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8543300.0,,,,,,,54.1188,,,,,,,,,,6.0,,,,,
1998-09-29,0.8657,-2527212.5344,,,,,,,,,,,-0.2,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9232300.0,,,,,,,53.9889,,,,,,,,,,2.5,,,,,
1998-09-30,0.7981,-2711247.9028,,,,,,,,,,,-0.4484,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8458700.0,,,,,,,53.8603,,,,,,,,,,5.63,,,,,
1998-10-01,0.7085,-3490447.9028,,,,,,,,,,,-0.8092,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7679500.0,,,,,,,53.733,,,,,,,,,,5.06,,,,,
1998-10-02,0.7085,-3095151.6066,,,,,,,,,,,-0.0741,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7679500.0,,,,,,,53.4584,,,,20.4801,31.4861,,,,,6.75,,,,,
1998-10-05,0.6355,-3409251.6066,,,,,,,,,,,-0.7647,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7086200.0,,,,,,,52.9046,,,,12.6641,6.5062,,,,,5.12,,,,,
1998-10-06,0.6465,-3098523.6066,,,,,,,,,,,-0.28,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7792400.0,,,,,,,52.1836,,22.0391,18.3945,22.0391,28.125,,,,,6.25,,,,,
1998-10-07,0.5469,-3713323.6066,-226548.1164,,,,,,,,,,-0.8674,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7177600.0,,,,,,,51.1744,,11.5437,15.4156,11.5437,0.0,,,,,5.62,,,,,
1998-10-08,0.5136,-2836048.6066,7732.9687,,,,,,,,,,0.28,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6175000.0,,,,,,,49.9568,,16.9508,16.8445,16.9508,22.7273,,,,,5.63,,,,,
1998-10-09,0.5457,-2867981.3338,92711.8205,,,,,,,,,,0.0218,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6850500.0,,,,,,,48.2273,,20.9283,16.4743,20.9283,40.0576,,,,,3.25,,,,,
1998-10-12,0.5579,-3362481.3338,-38293.3602,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7345000.0,,,,,,,46.6189,,36.9539,24.9443,36.9539,48.0769,,,,,1.19,,,,,
1998-10-13,0.5204,-3604938.9338,-165550.7741,,,,,,,,,,-0.872,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7074400.0,,,,,,,45.1231,,42.6409,33.5077,42.6409,39.7881,,,,,2.5,,,,,
1998-10-14,0.5336,-3785772.2672,-260098.4337,,,,,,,,,,0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7616900.0,,,,,,,43.732,,52.5264,44.0404,52.5264,69.7143,,,,,3.0,,,,,
1998-10-15,0.5779,-3321490.5878,-127405.7206,,,,,,,,,,0.9542,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8128000.0,,,,,,,42.4382,,68.7291,54.6321,68.7291,96.6851,,,,,2.62,,,,,
1998-10-16,0.6376,-2778562.0163,111210.0002,,,,,,,,,,0.7486,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8888100.0,,,,,,,41.235,,86.5384,69.2646,86.5384,93.2157,,,,,3.87,,,,,
