date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2005-07-21,20.5845,-154164.7059,,,,,,,,-0.1324,,,,,,,,,,,0.0,,,,,,,,,,,,218400.0,,,,,,,,,,,,,,,,,,,
2005-07-22,21.3043,-50131.0217,,,,,,,,0.2526,,,,,,,,,,,0.0,,,,,,,,,,,,332000.0,,,,,,,23.92,,,,,,,0.95,,,,,
2005-07-25,20.773000000000003,-110323.0217,,,,,,,,-0.88,,,,,,,,,,,0.0,,,,,,,,,,,,252800.0,,,,,,,23.9298,,,,,,,0.75,,,,,
2005-07-26,20.5673,-144456.355,,,,,,,,-0.5833,,,,,,,,,,,0.0,,,,,,,,,,,,48000.0,,,,,,,24.9,,,,,,,0.6,,,,,
2005-07-27,20.6273,9998.9641,,,,,,,,0.1489,,,,,,,,,,,0.0,,,,,,,,,,,,244200.0,,,,,,,24.9,,,,,,,0.47,,,,,
2005-07-28,20.6102,72398.9641,,,,,,,,-0.2381,,,,,,,,,,,0.0,,,,,,,,,,,,57000.0,,,,,,,24.875,,,,,,,0.21,,,,,
2005-07-29,20.8587,188942.9641,,,,,,,,0.48,,,,,,,,,,,0.0,,,,,,,,,,,,178400.0,,,,,,,24.8505,,,40.2667,,,,0.5,,,,,
2005-08-01,20.8673,271392.9641,,,,,,,,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,508200.0,,,,,,,24.8265,,,56.5176,,,,0.4,,,,,
2005-08-02,20.6102,-119740.9342,,,,,,,,-0.8263,,,,,,,,,,,0.0,,,,,,,,,,,,-91200.0,,,,,,,23.64,,51.6419,51.6419,,,,2.36,,,,,
2005-08-03,20.4388,-310882.1106,-83296.8362,,,,,,,-0.8235,,,,,,,,,,,0.0,,,,,,,,,,,,-386600.0,,,,,,,23.64,,36.208,36.208,,,,0.51,,,,,
