date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,3.6895,217745.0382,,,,,,,,0.6183,,,,,,,,,,,0.0,,,,,,,,,,,,269100.0,,,,,,,,,,,,,,,,,,,
1998-01-05,3.8651,442982.6808,,,,,,,,0.8327,,,,,,,,,,,0.0,,,,,,,,,,,,607600.0,,,,,,,38.38,,,,,,,2.63,,,,,
1998-01-06,3.7121,309398.6808,,,,,,,,-0.815,,,,,,,,,,,0.0,,,,,,,,,,,,414000.0,,,,,,,38.4275,,,,,,,2.0,,,,,
1998-01-07,3.6216,265891.4344,,,,,,,,-0.5435,,,,,,,,,,,0.0,,,,,,,,,,,,256000.0,,,,,,,38.4745,,,,,,,1.5,,,,,
1998-01-08,3.5365,124910.961,,,,,,,,-0.7041,,,,,,,,,,,0.0,,,,,,,,,,,,-89300.0,,,,,,,38.5211,,,,,,,1.69,,,,,
1998-01-09,3.158,-497089.039,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-711300.0,,,,,,,43.13,,,,,,,4.18,,,,,
1998-01-12,3.254,-353586.4935,,,,,,,,0.2945,,,,,,,,,,,0.0,,,,,,,,,,,,-84900.0,,,,,,,43.0475,,,20.0237,,,,2.75,,,,,
1998-01-13,3.3473,-201314.8886,,,,,,,,0.5988,,,,,,,,,,,0.0,,,,,,,,,,,,355600.0,,,,,,,42.8715,,,41.0256,,,,1.62,,,,,
1998-01-14,3.3617,-198417.5553,,,,,,,,-0.4933,,,,,,,,,,,0.0,,,,,,,,,,,,572900.0,,,,,,,42.6991,,22.7154,48.0,,,,0.75,,,,,
1998-01-15,3.4631,171982.4447,-10007.2237,,,,,,,0.5474,,,,,,,,,,,0.0,,,,,,,,,,,,943300.0,,,,,,,42.5301,,38.5382,87.7193,,,,1.37,,,,,
1998-01-16,3.4976,138535.6362,42218.0844,,,,,,,0.4681,,,,,,,,,,,0.0,,,,,,,,,,,,1467300.0,,,,,,,42.3645,,55.8807,81.4126,,,,1.88,,,,,
1998-01-20,3.7348,319660.6362,117375.6573,,,,,,,0.5625,,,,,,,,,,,0.0,,,,,,,,,,,,1789300.0,,,,,,,42.2022,,72.501,89.5,,,,3.25,,,,,
1998-01-21,3.7574,260244.5868,118546.3162,,,,,,,0.2284,,,,,,,,,,,0.0,,,,,,,,,,,,2042600.0,,,,,,,34.25,,81.0317,82.6087,,,,1.62,,,,,
1998-01-22,3.7402,374271.8596,144529.6892,,,,,,,0.9205,,,,,,,,,,,0.0,,,,,,,,,,,,1907000.0,,,,,,,34.3325,,84.7875,78.8256,,,,1.0,,,,,
1998-01-23,3.8199,509394.2596,185013.6792,,,,,,,0.248,,,,,,,,,,,0.0,,,,,,,,,,,,2175100.0,,,,,,,34.4142,,84.3737,93.4737,,,,1.25,,,,,
1998-01-26,3.7402,269994.2596,108583.1588,,,,,,,-0.6804,,,,,,,,,,,0.0,,,,,,,,,,,,1935700.0,,,,,,,34.495,,81.3883,54.3529,,,,1.94,,,,,
1998-01-27,3.876,550086.2783,156565.1193,,,,,,,0.5539999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,2336100.0,,,,,,,34.6701,,79.2652,84.0,,,,2.13,,,,,
1998-01-28,4.0064,762092.8357,229417.5423,,,,,,,0.8197,,,,,,,,,,,0.0,,,,,,,,,,,,2667700.0,,,,,,,34.8417,,76.259,89.4988,,,,2.44,,,,,
1998-01-29,4.0861,893892.8357,280301.0297,,,,,,,0.8523,,,,,,,,,,,0.0,,,,,,,,,,,,2799500.0,,,,,,,35.1372,,81.4641,100.0,,,,0.88,,,,,
1998-01-30,3.9783,746592.8357,228766.9082,,,,,,34.9625,-0.6173,117.2633,,,,40.4495,,,,,,0.0,,,,,,40.005,39.69,,7.44,,,2652200.0,,11.5,,,,,35.5369,40.4495,84.6706,71.1864,,,,1.19,39.5847,,,-10.9375,41.285
1998-02-02,3.905,612555.0999,144239.4055,,,,90.0,60.0,34.9587,-0.8774,83.3456,9.8592,,15.407,40.7048,,,,,,0.0,43.9276,,,,58.5564,40.005,39.69,22.6685,8.008,2.38,4.3044,2474600.0,30.9258,10.925,,5.8405,1.0584,54.9296,35.9206,40.5685,84.1049,51.5738,,,,1.06,39.9497,,,-18.3824,41.5402
1998-02-03,3.9729,866555.0999,177365.4811,,,,85.0,60.0,34.9054,0.7159,84.5458,12.7138,,15.407,41.0072,,,,,,0.0,43.9271,,,,58.017,40.005,39.69,22.0893,7.6076,1.19,4.1196,2728600.0,30.1356,10.3788,,2.7875,1.0279,56.3569,36.289,40.628,73.6448,56.5972,,,,0.88,40.3579,,,-11.489,41.8556
1998-02-04,4.029,991678.2883,214604.8464,,,,80.0,60.0,34.8367,0.3623,95.7923,15.0546,,20.084,41.3398,,,,,,0.0,43.942,,,,61.9698,40.005,39.69,21.1953,7.2272,3.5,4.0141,3007100.0,31.8487,10.8598,,8.5366,1.0854,57.5273,36.6426,40.803,64.5235,70.4225,,,,1.38,40.8065,,,-5.7904,42.2244
1998-02-05,4.0345,785087.8121,144596.2674,,,,100.0,85.0,34.8599,-0.5079,96.6857,15.286,,21.23,41.6465,,,,,,0.0,43.9656,,,,65.227,40.005,39.69,20.791,6.8659,4.56,3.879,3262300.0,31.9981,10.5668,,11.4,1.114,57.643,36.9821,41.03100000000001,62.0234,73.2394,,,,0.63,41.28,,,-5.239,42.5822
1998-02-06,4.1313,876690.7318,131957.6625,,,,100.0,90.0,34.9482,0.365,103.8867,19.4077,,25.1615,42.0259,,,,,,0.0,44.0715,,,,70.03699999999999,40.255,40.125,19.8785,6.5226,6.57,3.7564,3461500.0,33.2453,10.9085,,16.8203,1.1682,59.7039,37.308,41.3595,67.7979,87.6667,,,,1.44,41.7729,,,-3.1489,43.0202
1998-02-09,4.2219,895328.6997,120721.4355,,,2.5613,100.0,95.0,35.8739,0.2032,126.3439,23.0891,,31.3775,42.4644,,,,,,0.0,44.6129,,,,78.1868,41.285,40.875,18.7535,6.1964,11.75,3.6926,3729600.0,35.9035,11.8631,6.1814,33.6869,1.3369,61.5445,37.7426,41.947,74.7956,80.6667,,,,1.87,42.2857,,,-6.566,43.5221
1998-02-10,4.2499,925158.6997,114641.4849,,,2.719,95.0,95.0,36.7141,0.19,124.1978,24.2186,,31.3775,42.8906,,,,,,0.0,45.0862,,,,86.4805,41.955,41.69,18.1745,5.8866,11.0,3.5913,3808100.0,34.795,11.2699,6.5246,30.6066,1.3061,62.1093,38.3281,42.497,80.8039,86.0,100.0,,,1.0,42.7776,,,-4.8193,43.9977
1998-02-11,4.3233,1033658.6997,136255.0065,,,3.0611,100.0,100.0,37.4067,0.6,128.5846,27.1609,,33.42,43.3534,,,,,,0.0,45.6212,,,,85.7666,42.44,42.25,17.465,5.5923,10.78,3.4848,3916600.0,34.9982,11.2064,7.3113,29.1588,1.2916,63.5805,38.8784,43.036,84.7303,100.0,100.0,,,1.25,43.2389,,,-0.0,44.49800000000001
