date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2012-05-18,38.2318,-535589254.4229,,,,,,,,-0.5455,,,,,,,,,,,0.0,,,,,,,,,,,,573576400.0,,,,,,,,,,,,,,,,,,,
2012-05-21,34.03,-609116117.8108,,,,,,,,-0.6831,,,,,,,,,,,0.0,,,,,,,,,,,,405383700.0,,,,,,,45.0,,,,,,,5.2318,,,,,
2012-05-22,31.0,-706293513.2825,,,,,,,,-0.6075,,,,,,,,,,,0.0,,,,,,,,,,,,303597100.0,,,,,,,44.88,,,,,,,3.09,,,,,
2012-05-23,32.0,-697254916.7913,,,,,,,,0.5526,,,,,,,,,,,0.0,,,,,,,,,,,,377197100.0,,,,,,,44.6012,,,,,,,1.5,,,,,
2012-05-24,33.03,-659577016.7913,,,,,,,,0.0556,,,,,,,,,,,0.0,,,,,,,,,,,,427434300.0,,,,,,,44.328,,,,,,,1.44,,,,,
2012-05-25,31.91,-664422642.8783,,,,,,,,-0.5379999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,390284500.0,,,,,,,44.0602,,,,,,,1.92,,,,,
2012-05-29,28.84,-732728117.8783,,,,,,,,-0.8684,,,,,,,,,,,0.0,,,,,,,,,,,,312221100.0,,,,,,,43.7978,,,11.8897,,,,3.26,,,,,
2012-05-30,28.19,-767631039.18,,,,,,,,-0.2988,,,,,,,,,,,0.0,,,,,,,,,,,,254953200.0,,,,,,,43.3434,,,8.9908,,,,1.69,,,,,
2012-05-31,29.6,-661495180.0251,,,,,,,,0.3715,,,,,,,,,,,0.0,,,,,,,,,,,,366592400.0,,,,,,,42.724,,17.8104,17.8104,,,,2.84,,,,,
2012-06-01,27.72,-687654867.5251,-24737597.1654,,,,,,,-0.6659,,,,,,,,,,,0.0,,,,,,,,,,,,324736900.0,,,,,,,41.9293,,21.3759,21.3759,,,,2.21,,,,,
2012-06-04,26.9,-696098493.1449,-21397004.0517,,,,,,,-0.2479,,,,,,,,,,,0.0,,,,,,,,,,,,289506600.0,,,,,,,41.1744,,22.2404,22.2404,,,,1.28,,,,,
2012-06-05,25.869,-733542704.4882,-29999282.837,,,,,,,-0.4134,,,,,,,,,,,0.0,,,,,,,,,,,,247033200.0,,,,,,,40.2903,,8.78,8.78,,,,2.01,,,,,
2012-06-06,26.81,-698885155.3973,-19763787.3714,,,,,,,0.4485,,,,,,,,,,,0.0,,,,,,,,,,,,308522400.0,,,,,,,39.2725,,14.294,14.294,,,,1.65,,,,,
2012-06-07,26.31,-718068788.7306,-19883714.6169,,,,,,,-0.575,,,,,,,,,,,0.0,,,,,,,,,,,,282362900.0,,,,,,,38.1723,,18.6277,18.6277,,,,1.2,,,,,
2012-06-08,27.1,-718068788.7306,-18125165.343,,,,,,,0.4167,,,,,,,,,,,0.0,,,,,,,,,,,,320396900.0,,,,,,,37.1601,,41.1277,41.1277,,,,1.45,,,,,
2012-06-11,27.005,-738519430.0262,-22265038.7484,,,,,,,-0.1417,,,,,,,,,,,0.0,,,,,,,,,,,,292177300.0,,,,,,,36.2289,,50.178,50.178,,,,1.235,,,,,
2012-06-12,27.4,-737152546.0756,-21499611.271,,,,,,,-0.0988,,,,,,,,,,,0.0,,,,,,,,,,,,307994100.0,,,,,,,35.3722,,67.4988,67.4988,,,,0.81,,,,,
2012-06-13,27.27,-748440394.0756,-22823559.7329,,,,,,,-0.39,,,,,,,,,,,0.0,,,,,,,,,,,,290891300.0,,,,,,,34.584,,63.1322,63.1322,,,,1.0,,,,,
2012-06-14,28.29,-732661245.1394,-16269667.6482,,,,,,,0.6809,,,,,,,,,,,0.0,,,,,,,,,,,,307746300.0,,,,,,,33.8589,,76.5219,76.5219,,,,1.05,,,,,
2012-06-15,30.014,-693379144.3394,389380.9726,,,,,,29.376,0.8623,-2.6016,,,,29.376,,,,,,0.0,,,,,,32.0504,35.26,,13.87,,,351310100.0,,3.94,,,,,33.1918,29.376,84.4021,84.4021,,,,1.81,28.4637,,,-76.9302,28.1482
2012-06-18,31.41,-671970179.1709,13980991.5099,,,,0.0,-60.0,29.0349,0.5449,60.8449,-26.0039,,39.4376,29.5697,,,,,,0.0,30.0822,,,,46.7435,29.9495,31.09,35.1252,13.1765,-6.8218,6.2634,394289000.0,15.2561,5.723,,-17.8433,0.8216,36.9981,32.578,29.0349,94.2281,94.2281,,,,2.67,28.1266,,,-47.1275,28.342
