date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Upper Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD_Hist,MACD,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,11.5729,-84072.7273,,,,,,,,,,,-0.5152,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,163200.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,11.7483,57027.2727,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,304300.0,,,,,,,28.06,,,,,,,,,,0.68,,,,,
1998-01-06,11.6219,-232472.7273,,,,,,,,,,,-0.4318,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,14800.0,,,,,,,28.0675,,,,,,,,,,0.88,,,,,
1998-01-07,11.7238,-105791.7749,,,,,,,,,,,0.1905,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,230500.0,,,,,,,28.0938,,,,,,,,,,0.63,,,,,
1998-01-08,11.9032,122222.5108,,,,,,,,,,,0.3393,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,520700.0,,,,,,,28.1195,,,,,,,,,,0.56,,,,,
1998-01-09,11.316,-22126.6016,,,,,,,,,,,-0.8521,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,315700.0,,,,,,,29.38,,,,,,,,,,1.69,,,,,
1998-01-12,11.418,-84526.6016,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,493300.0,,,,,,,29.3612,,,,41.8332,26.5957,,,,,0.5,,,,,
1998-01-13,11.5444,90273.3984,,,,,,,,,,,0.7209,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,668100.0,,,,,,,29.3426,,,,28.7264,46.2857,,,,,0.43,,,,,
1998-01-14,11.7768,194603.1856,,,,,,,,,,,0.5319,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,808200.0,,,,,,,29.3242,,50.5795,40.3797,50.5795,78.8571,,,,,0.94,,,,,
1998-01-15,11.8788,325746.3674,147741.0726,,,,,,,,,,0.2841,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1111900.0,,,,,,,27.5,,70.615,49.9737,70.615,86.7021,,,,,0.88,,,,,
1998-01-16,12.413,550636.8784,227050.2178,,,,,,,,,,0.6861,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1522700.0,,,,,,,27.5188,,84.9193,68.7046,84.9193,89.1986,,,,,1.62,,,,,
1998-01-20,13.1021,660879.3442,273931.0874,,,,,,,,,,0.6575,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1872600.0,,,,,,,27.5834,,86.9669,80.8337,86.9669,85.0,,,,,2.44,,,,,
1998-01-21,13.0736,541747.2687,230301.1385,,,,,,,,,,-0.4151,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1241200.0,,,,,,,27.7423,,85.7287,85.8716,85.7287,82.9876,,,,,1.06,,,,,
