date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,8.6346,252750.0,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,252750.0,,,,,,,,,,,,,,,,,,,
1998-01-05,8.6076,63050.0,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,63050.0,,,,,,,22.44,,,,,,,0.07,,,,,
1998-01-06,8.6346,244350.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,244350.0,,,,,,,22.37,,,,,,,0.07,,,,,
1998-01-07,8.5614,192316.6667,,,,,,,,-0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,88250.0,,,,,,,22.44,,,,,,,0.25,,,,,
1998-01-08,8.4422,43916.6667,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-60150.0,,,,,,,22.44,,,,,,,0.31,,,,,
1998-01-09,8.3921,-311983.3333,,,,,,,,-0.5938,,,,,,,,,,,0.0,,,,,,,,,,,,-416050.0,,,,,,,22.43,,,,,,,0.32,,,,,
1998-01-12,8.4653,170466.6667,,,,,,,,0.88,,,,,,,,,,,0.0,,,,,,,,,,,,66400.0,,,,,,,22.4114,,,17.7305,,,,0.5,,,,,
1998-01-13,8.6807,452218.2796,,,,,,,,0.3871,,,,,,,,,,,0.0,,,,,,,,,,,,526100.0,,,,,,,21.5,,,49.2781,,,,0.62,,,,,
1998-01-14,8.6807,-315749.4624,,,,,,,,-0.8065,,,,,,,,,,,0.0,,,,,,,,,,,,526100.0,,,,,,,21.5,,76.2501,76.2501,,,,0.31,,,,,
1998-01-15,8.8039,951814.1740000001,217327.2484,,,,,,,0.7273,,,,,,,,,,,0.0,,,,,,,,,,,,2269000.0,,,,,,,21.5262,,90.4641,90.4641,,,,0.44,,,,,
1998-01-16,9.1386,3810564.1739999996,1244486.7321,,,,,,,0.8409,,,,,,,,,,,0.0,,,,,,,,,,,,5127750.0,,,,,,,21.5686,,92.2498,92.2498,,,,0.87,,,,,
1998-01-20,9.6927,9928308.6184,3498108.2321,,,,,,,0.8519,,,,,,,,,,,0.0,,,,,,,,,,,,12309450.0,,,,,,,21.6559,,97.9308,97.9308,,,,1.5,,,,,
1998-01-21,9.5234,8340707.2671,3596888.5764,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,9959800.0,,,,,,,21.8356,,93.2591,93.2591,,,,0.5,,,,,
1998-01-22,9.4041,7626515.9091,3083066.1419,,,,,,,0.0802,,,,,,,,,,,0.0,,,,,,,,,,,,8396300.0,,,,,,,22.0063,,80.6523,80.6523,,,,1.62,,,,,
1998-01-23,9.7158,8914067.9091,3002262.9513,,,,,,,0.92,,,,,,,,,,,0.0,,,,,,,,,,,,9929100.0,,,,,,,22.2231,,75.9935,75.9935,,,,0.87,,,,,
1998-01-26,9.812000000000001,9521589.5307,2889576.4391,,,,,,,0.6757,,,,,,,,,,,0.0,,,,,,,,,,,,11658200.0,,,,,,,22.4269,,79.5849,79.5849,,,,0.37,,,,,
1998-01-27,9.8582,10882789.5307,3013897.7351,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,13019400.0,,,,,,,22.6185,,92.1918,92.1918,,,,0.24,,,,,
1998-01-28,9.6658,9804939.5307,2447813.4712,,,,,,,-0.5937,,,,,,,,,,,0.0,,,,,,,,,,,,11941550.0,,,,,,,22.7986,,87.2428,87.2428,,,,0.5,,,,,
1998-01-29,9.5965,10693873.5307,2276547.6841,,,,,,,0.38,,,,,,,,,,,0.0,,,,,,,,,,,,10771900.0,,,,,,,22.9679,,69.4738,69.4738,,,,0.62,,,,,
1998-01-30,9.5696,10584831.5952,1964830.3658,,,,,,23.634,0.0,66.016,,,,23.634,,,,,,0.0,,,,,,23.715,23.56,,2.44,,,10289000.0,,3.62,,,,,23.127,23.634,47.1524,47.1524,,,,0.31,23.5933,,,-18.2039,24.3025
1998-02-02,9.4503,10306381.5952,1570090.9751,,,,80.0,50.0,23.74,-1.0,49.7718,29.6919,,15.655,23.7222,,,,,,0.0,24.8516,,,,70.7654,23.715,23.56,24.695999999999998,2.508,2.12,2.1722,10010550.0,33.8634,3.4389999999999996,,9.4474,1.0945,64.8459,23.2766,23.74,25.8929,25.8929,,,,0.38,23.8386,,,-25.7282,24.3907
1998-02-03,9.3772,10693960.1666,1389191.5903,,,,75.0,50.0,23.84,0.6607,26.3129,26.158,,5.2249,23.7839,,,,,,0.0,24.8261,,,,68.12899999999999,23.715,23.56,28.8272,2.9426,2.0,2.1946,8804750.0,32.0057,3.2671,,8.9405,1.0894,63.07899999999999,23.4172,23.84,21.3624,21.3624,,,,0.56,24.0646,,,-30.3398,24.4507
