date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,14.2011,-46715.1515,,,,,,,,-0.4318,,,,,,,,,,,0,,,,,,,,,,,,75200,,,,,,,,,,,,,,,,,,,
05/01/1998,14.408,-31710.5853,,,,,,,,0.5708,,,,,,,,,,,0,,,,,,,,,,,,181200,,,,,,,85.56,,,,,,,2.19,,,,,
06/01/1998,14.3782,-114628.3423,,,,,,,,-0.1682,,,,,,,,,,,0,,,,,,,,,,,,85800,,,,,,,85.5844,,,,,,,1.07,,,,,
07/01/1998,14.398,-97684.3423,,,,,,,,0.2467,,,,,,,,,,,0,,,,,,,,,,,,191700,,,,,,,85.6086,,,,,,,1.5,,,,,
08/01/1998,14.2954,-139333.1973,,,,,,,,-0.6641,,,,,,,,,,,0,,,,,,,,,,,,92500,,,,,,,85.6325,,,,,,,1.31,,,,,
09/01/1998,14.067,-193787.1973,,,,,,,,-0.69,,,,,,,,,,,0,,,,,,,,,,,,-50800,,,,,,,88,,,,,,,2,,,,,
12/01/1998,14.264,-76682.4803,,,,,,,,0.6792,,,,,,,,,,,0,,,,,,,,,,,,129100,,,,,,,87.9638,,,51.7143,,,,2.12,,,,,
13/01/1998,14.3881,-91755.0517,,,,,,,,0.32,,,,,,,,,,,0,,,,,,,,,,,,332000,,,,,,,87.928,,,73.1429,,,,1.75,,,,,
14/01/1998,14.2392,67405.7483,,,,,,,,-0.296,,,,,,,,,,,0,,,,,,,,,,,,-58100,,,,,,,87.8925,,53.5238,35.7143,,,,2.19,,,,,
15/01/1998,14.1859,-5630.2517,42332.0186,,,,,,,-0.88,,,,,,,,,,,0,,,,,,,,,,,,-154200,,,,,,,87.88,,45.1429,26.5714,,,,0.5,,,,,
16/01/1998,14.156,-71072.2807,15783.1669,,,,,,,-0.7246,,,,,,,,,,,0,,,,,,,,,,,,-236300,,,,,,,87.845,,27.448,20.0581,,,,0.69,,,,,
20/01/1998,14.1859,-31815.9589,15978.0876,,,,,,,0.4943,,,,,,,,,,,0,,,,,,,,,,,,-166600,,,,,,,87.8103,,22.5175,20.9231,,,,0.87,,,,,
21/01/1998,14.0729,-36130.8525,13232.3537,,,,,,,-0.2287,,,,,,,,,,,0,,,,,,,,,,,,-234200,,,,,,,87.776,,26.6974,39.1111,,,,1.88,,,,,
22/01/1998,14.2591,-21196.8525,15657.885,,,,,,,0.5475,,,,,,,,,,,0,,,,,,,,,,,,-77000,,,,,,,87.6955,,38.2614,54.75,,,,4,,,,,
23/01/1998,14.0512,-67369.2969,535.4714,,,,,,,-0.5289,,,,,,,,,,,0,,,,,,,,,,,,-145800,,,,,,,87.5715,,39.1204,23.5,,,,2.25,,,,,
26/01/1998,14.467,40996.7408,28780.4531,,,,,,,0.7453,,,,,,,,,,,0,,,,,,,,,,,,75100,,,,,,,83.56,,53.0637,80.9412,,,,3.31,,,,,
27/01/1998,14.4254,-39991.657,11949.7779,,,,,,,-0.4144,,,,,,,,,,,0,,,,,,,,,,,,-36800,,,,,,,83.6025,,57.1997,67.1579,,,,1.81,,,,,
28/01/1998,14.1444,-236285.7746,-58479.061,,,,,,,-0.634,,,,,,,,,,,0,,,,,,,,,,,,-249800,,,,,,,83.6967,,59.8927,31.5789,,,,3.06,,,,,
29/01/1998,14.1976,-589713.7746,-194428.9441,,,,,,,0.0743,,,,,,,,,,,0,,,,,,,,,,,,165300,,,,,,,83.7889,,42.8804,29.9043,,,,1.94,,,,,
30/01/1998,14.4054,-526591.4445,-212285.0691,,,,,,87.5977,0.5777,15.2447,,,,85.917,,,,,,0,,,,,,85.78,85.935,,7.24,,,255600,,6.48,,,,,83.8793,85.917,38.6104,54.3478,,,,2.06,85.7367,,,-35.3684,85.7813
