date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,1.084,11653.9823,,,,,,,,-0.1062,,,,,,,,,,,0.0,,,,,,,,,,,,101300.0,,,,,,,,,,,,,,,,,,,
1998-01-05,1.1088,151093.9823,,,,,,,,0.496,,,,,,,,,,,0.0,,,,,,,,,,,,333700.0,,,,,,,37.5,,,,,,,1.25,,,,,
1998-01-06,1.1125,425098.3619,,,,,,,,0.4599,,,,,,,,,,,0.0,,,,,,,,,,,,665900.0,,,,,,,37.5175,,,,,,,1.37,,,,,
1998-01-07,1.1053,425098.3619,,,,,,,,-0.37,,,,,,,,,,,0.0,,,,,,,,,,,,536800.0,,,,,,,37.5348,,,,,,,1.0,,,,,
1998-01-08,1.123,422389.7904,,,,,,,,0.4971,,,,,,,,,,,0.0,,,,,,,,,,,,1010800.0,,,,,,,37.5717,,,,,,,1.75,,,,,
1998-01-09,1.0911,156286.0867,,,,,,,,-0.8457,,,,,,,,,,,0.0,,,,,,,,,,,,625900.0,,,,,,,37.656,,,,,,,1.62,,,,,
1998-01-12,1.0519,103152.7534,,,,,,,,-0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,466500.0,,,,,,,40.38,,,12.8866,,,,1.88,,,,,
1998-01-13,1.0945,255752.7534,,,,,,,,0.75,,,,,,,,,,,0.0,,,,,,,,,,,,771700.0,,,,,,,40.3412,,,51.5464,,,,2.0,,,,,
1998-01-14,1.0732,136352.7534,,,,,,,,-0.504,,,,,,,,,,,0.0,,,,,,,,,,,,572700.0,,,,,,,40.3028,,31.4904,32.2165,,,,1.25,,,,,
1998-01-15,1.0911,266852.7534,22031.1456,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,703200.0,,,,,,,40.2648,,35.8546,57.8462,,,,0.88,,,,,
1998-01-16,1.1125,376652.7534,67006.003,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,813000.0,,,,,,,40.2271,,47.5912,100.0,,,,0.88,,,,,
1998-01-20,1.1355,485788.3466,114038.315,,,,,,,0.6864,,,,,,,,,,,0.0,,,,,,,,,,,,950000.0,,,,,,,40.1898,,65.0663,96.0784,,,,1.18,,,,,
1998-01-21,1.0803,3488.3466,-30547.4042,,,,,,,-0.815,,,,,,,,,,,0.0,,,,,,,,,,,,467700.0,,,,,,,40.1529,,73.2885,19.5312,,,,2.0,,,,,
1998-01-22,1.0874,-115952.5625,-124922.9964,,,,,,,0.2841,,,,,,,,,,,0.0,,,,,,,,,,,,744300.0,,,,,,,40.1164,,68.2712,29.2969,,,,0.88,,,,,
1998-01-23,1.0928,-79419.7158,-140550.4696,,,,,,,-0.4088,,,,,,,,,,,0.0,,,,,,,,,,,,944500.0,,,,,,,40.0802,,49.1864,33.3333,,,,1.37,,,,,
1998-01-26,1.0891,-471274.7453,-258847.3571,,,,,,,-0.4083,,,,,,,,,,,0.0,,,,,,,,,,,,388000.0,,,,,,,40.0444,,35.298,27.9835,,,,1.69,,,,,
1998-01-27,1.1142,-278574.7453,-222396.3241,,,,,,,0.3557,,,,,,,,,,,0.0,,,,,,,,,,,,580700.0,,,,,,,40.009,,33.8486,70.5455,,,,1.94,,,,,
1998-01-28,1.1906,109625.2547,-63748.5084,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,968900.0,,,,,,,36.5,,46.7783,100.0,,,,2.69,,,,,
1998-01-29,1.194,199469.8975,35535.1215,,,,,,,0.5536,,,,,,,,,,,0.0,,,,,,,,,,,,1131200.0,,,,,,,36.5538,,66.2152,95.0,,,,1.12,,,,,
1998-01-30,1.1514,-103757.8397,-23560.8664,,,,,,36.5468,-0.365,148.6609,,,,39.0145,,,,,,0.0,,,,,,39.5,39.375,,5.31,,,471800.0,,8.24,,,,,36.6677,39.0145,80.4527,65.0,,,,1.87,38.7179,,,-30.4348,39.3534
1998-02-02,1.1017,-634757.8397,-214549.1464,,,,90.0,60.0,36.6076,-0.7692,40.4982,3.3954,,6.1244,38.9893,,,,,,0.0,40.4874,,,,47.2089,39.5,39.375,22.7488,6.9245,0.62,4.1123,-295200.0,25.717,7.8279999999999985,,1.626,1.0163,51.6977,36.7794,39.0455,79.5051,30.0,,,,3.25,38.8144,,,-60.8696,39.3282
1998-02-03,1.123,-263648.5064,-155096.0052,,,,85.0,60.0,36.6247,0.3867,-1.5265,7.399,,1.6285,39.0379,,,,,,0.0,40.4809,,,,41.3879,39.5,39.375,23.0958,7.1983,0.5,4.1173,265200.0,23.8605,7.4366,,1.2821,1.0128,53.6995,36.8888,39.0705,65.0529,40.4762,,,,2.25,38.8977,,,-47.8261,39.3715
1998-02-04,1.123,-391671.864,-157409.3334,,,,80.0,60.0,36.6361,0.0,51.0755,7.399,,5.827999999999999,39.082,,,,,,0.0,40.4751,,,,40.9734,39.5,39.375,22.0744,6.8384,0.37,4.0848,265200.0,24.8066,7.6848,,0.9456,1.0095,53.6995,36.996,39.089,48.4921,40.4762,,,,1.37,38.9862,,,-47.8261,39.4124
1998-02-05,1.0485,-829178.5307,-283252.4223,,,,75.0,-25.0,36.3539,-0.8,-92.9641,-7.4478,,11.7599,38.8722,,,,,,0.0,40.4201,,,,36.5307,39.44,39.315,27.8677,9.2464,-2.0,4.6647,-331400.0,22.003,7.3005,,-5.144,0.9486,46.2761,42.25,38.989000000000004,37.4607,9.7656,,,,3.75,39.0725,,,-91.4821,39.202
1998-02-06,1.1267,-260282.6974,-127971.1551,,,,70.0,-25.0,36.3547,0.8264,1.0284,6.7889,,11.7599,38.9444,,,,,,0.0,40.4165,,,,39.8729,39.44,39.315,25.2629,8.7841,0.13,4.534,540100.0,19.9464,6.9355,,0.3291,1.0033,53.3944,42.1913,38.9955,35.0432,63.4766,,,,3.25,39.1753,,,-44.6337,39.26300000000001
1998-02-09,1.0803,-468960.4752,-119210.7337,,,0.4374,65.0,-25.0,36.3129,-0.7244,-31.2721,-1.3652,,11.7599,38.8545,,,,,,0.0,40.4031,,,,40.5107,39.44,39.315,23.6519,8.3449,-0.38,4.7881,271800.0,18.6744,6.5887,1.1232,-0.9901,0.9901,49.3174,42.1332,38.9765,35.2221,39.3204,,,,2.25,39.2849,,,-72.402,39.1682
1998-02-10,1.0556,-795240.4752,-208605.9492,,,0.3667,60.0,-25.0,36.3382,-0.8,-127.824,-5.4225,,16.8585,38.6902,,,,,,0.0,40.38800000000001,,,,38.5642,39.44,39.315,25.3038,8.7977,0.13,4.8236,-272000.0,18.003,6.2593,0.9426,0.3514,1.0035,47.2887,42.0757,38.983000000000004,38.5869,18.2039,13.6413,,,1.25,39.3765,,,-87.2232,38.9924
1998-02-11,1.0590000000000002,-840983.1418,-240767.0268,,,0.3457,55.0,-25.0,36.1758,-0.1667,-123.1094,-4.7966,,18.2866,38.5531,,,,,,0.0,40.3565,,,,34.8872,39.44,39.315,24.9286,8.6078,-1.25,4.769,-8100.0,17.2209,5.9463,0.8901,-3.2468,0.9675,47.6017,42.0187,38.9205,34.9209,23.2,18.6222,,,1.5,39.406,,,-85.1789,38.8273
1998-02-12,1.0627,-832399.0148,-229304.6066,,,0.2622,50.0,-25.0,36.1212,0.0,-117.0281,-4.0919,,18.2866,38.4413,,,,,,0.0,40.3396,,,,35.7956,39.44,39.315,24.4589,8.1774,-0.37,4.5991,33500.0,16.8964,5.649,0.6762,-0.9801,0.9902,47.95399999999999,41.9623,38.902,29.3953,21.4286,10.8965,,,0.63,39.3628,,41.4045,-82.9642,38.6806
1998-02-13,1.0519,-862322.0237,-213290.5187,,,-0.0722,45.0,-25.0,35.9377,-0.2212,-128.9052,-6.0362,,21.2831,38.3041,,,,,,0.0,40.3024,,,,33.5453,39.44,39.315,25.1387,8.2685,-1.38,4.5667,-226600.0,16.3159,5.3666,-0.1865,-3.5956,0.9640000000000001,46.9819,41.9065,38.833,22.4968,14.2857,0.0,,,1.13,39.2492,,42.698,-89.4378,38.4995
1998-02-17,1.028,-1106346.0237,-264993.2538,,,-0.4304,40.0,-60.0,35.5691,-0.7267,-141.7532,-10.2688,,24.2086,38.0999,,,,,,0.0,40.2062,,,,31.3485,39.08,39.125,25.5141,8.3551,-2.97,4.6465,-536800.0,15.5686,5.0982,-1.1158,-7.5901,0.9241,44.8656,41.8512,38.6845,18.3303,7.5117,0.0,,,1.5,39.0927,,43.3229,-97.44,38.2449
1998-02-18,1.0218,-1272148.4928,-314809.408,,,-0.7165,35.0,-65.0,35.2078,-0.1914,-150.6534,-11.3695,,27.7152,37.8942,,,,,,0.0,40.0579,,,,28.2459,38.97,38.815,26.1456,8.5573,-4.0,4.6666,-1074000.0,14.798,4.8433,-1.8623,-10.015,0.8998,44.3153,41.7342,38.4845,16.0335,20.3636,0.0,,,1.62,38.9074,,32.8334,-91.8486,37.9835
1998-02-19,1.013,-1327972.4928,-324331.8885,,,-0.9238,30.0,-65.0,34.8641,-0.74,-147.5389,-12.9532,,27.7152,37.6785,15.6467,,0.2194,,,0.0,39.9671,,,0.4069,29.6034,38.815,38.815,25.7318,8.1295,-2.37,4.542,-1190300.0,14.5638,4.6012,-2.4044,-6.2368,0.9376,43.5234,41.5436,38.366,13.8193,11.1111,0.0,,,0.5,38.6908,,34.7669,-96.361,37.7117
1998-02-20,1.0502,-1173422.4928,-249567.7316,,,-1.0772,25.0,-65.0,34.7438,0.6528,-92.3299,-4.6362,,17.9616,37.6082,17.2118,,-0.0328,,,0.0,39.9333,-0.5828,-0.8763,0.4428,32.1188,38.815,38.815,24.5537,7.723,-1.31,4.3568,-1021700.0,17.0763,5.3711,-2.8078,-3.4248,0.9658,47.6819,41.3587,38.3005,20.2173,69.3333,100.0,,,1.44,38.4612,,43.768,-77.2926,37.5759
1998-02-23,1.0607,-1199723.9421,-204663.062,,,-1.2428,20.0,-65.0,34.6621,0.2246,-43.2737,-2.3947,,8.1382,37.5798,18.8849,,-0.2135,,,0.0,39.9073,-0.5379999999999999,-0.8552,0.4799,34.1583,38.815,38.815,23.4698,7.3369,-1.13,4.2829,-882100.0,19.9372,6.2325,-3.2408,-2.9396,0.9706,48.8027,41.1793,38.244,32.269,70.1818,100.0,,,1.38,38.2229,,44.7798,-71.9068,37.4815
1998-02-24,1.0252,-1323883.3707,-207192.5098,,,-1.2219,15.0,-65.0,34.4258,-0.9657,-73.9283,-9.3041,,13.189,37.4351,20.5041,,-0.3873,,,0.0,39.8416,-0.5964,-0.6578,0.5183,28.4578,38.815,38.815,24.5487,7.72,-2.25,4.4524,-1015400.0,18.8278,5.9209,-3.1938,-5.8731,0.9413,45.348,41.0053,38.1315,46.1863,24.7273,34.5608,,,1.75,37.9562,,37.3864,-90.1019,37.2735
1998-02-25,1.0519,-1060221.3707,-105499.1466,,,-1.3591,10.0,-65.0,34.3184,0.5,-61.1833,-3.5042,,13.189,37.3936,22.0152,,0.2177,,,0.0,39.7946,-0.5604,-0.6056,0.5579999999999999,32.5051,38.815,38.815,23.6998,7.334,-2.19,4.2669,-659100.0,18.1768,5.6249,-3.5601,-5.5882,0.9441,48.2479,40.8366,38.022,51.868,57.0342,89.4917,,,1.07,37.6911,,41.315,-76.4192,37.1658
1998-02-26,1.0272,-1036449.0702,-46742.5709,,,-1.3684,5.0,-95.0,34.3991,-0.3521,-87.5874,-8.2474,,20.4873,37.2733,23.2781,,1.5454,,,0.0,39.5667,-0.5952,-0.4337,0.5988,27.0721,38.815,38.625,25.6828,8.0973,-5.75,4.4460000000000015,-1048600.0,16.9488,5.3436,-3.5983,-13.7297,0.8627,45.8763,40.6729,37.7345,48.2277,36.1022,15.2938,,,2.13,37.4345,,47.0192,-84.4138,36.9856
