date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2004-08-19,50.3228,3583746.9136,,,,,,,,0.0401,,,,,,,,,,,0.0,,,,,,,,,,,,44659000.0,,,,,,,,,,,,,,,,,,,
2004-08-20,54.3227,22319582.811,,,,,,,,0.8508,,,,,,,,,,,0.0,,,,,,,,,,,,67493300.0,,,,,,,95.96,,,,,,,8.745,,,,,
2004-08-23,54.8694,6948193.872,,,,,,,,-0.307,,,,,,,,,,,0.0,,,,,,,,,,,,85749400.0,,,,,,,96.0912,,,,,,,5.17,,,,,
2004-08-24,52.5974,-3362246.8503,,,,,,,,-0.7933,,,,,,,,,,,0.0,,,,,,,,,,,,70502100.0,,,,,,,96.439,,,,,,,8.03,,,,,
2004-08-25,53.1641,-3094617.7241,,,,,,,,0.301,,,,,,,,,,,0.0,,,,,,,,,,,,79690700.0,,,,,,,96.7798,,,,,,,4.12,,,,,
2004-08-26,54.1221,3827664.3428,,,,,,,,0.8997,,,,,,,,,,,0.0,,,,,,,,,,,,86785500.0,,,,,,,97.1138,,,,,,,3.29,,,,,
2004-08-27,53.2393,-433604.2579,,,,,,,,-0.6655,,,,,,,,,,,0.0,,,,,,,,,,,,80573800.0,,,,,,,97.4411,,,26.0343,,,,2.93,,,,,
2004-08-30,51.1629,-5630304.2579,,,,,,,,-0.9397,,,,,,,,,,,0.0,,,,,,,,,,,,75377100.0,,,,,,,97.7619,,,0.0,,,,4.14,,,,,
2004-08-31,51.3435,-9215539.0966,,,,,,,,0.0323,,,,,,,,,,,0.0,,,,,,,,,,,,80294900.0,,,,,,,98.0763,,10.4935,5.4463,,,,1.7,,,,,
2004-09-01,50.2802,-15141523.3391,-7266446.3552,,,,,,,-0.7424,,,,,,,,,,,0.0,,,,,,,,,,,,71156700.0,,,,,,,98.3843,,3.9756,6.4804,,,,3.3,,,,,
2004-09-02,50.9122,-7604262.1146,-5029373.5296,,,,,,,0.7055,,,,,,,,,,,0.0,,,,,,,,,,,,86275300.0,,,,,,,98.6863,,12.8254,26.5496,,,,3.43,,,,,
2004-09-03,50.1598,-9818516.66,-4361527.1354,,,,,,,-0.3884,,,,,,,,,,,0.0,,,,,,,,,,,,81122900.0,,,,,,,98.94,,16.4553,16.3359,,,,2.42,,,,,
2004-09-07,50.9473,-6026204.9445,-2485170.1433,,,,,,,0.2385,,,,,,,,,,,0.0,,,,,,,,,,,,86970400.0,,,,,,,98.94,,32.7438,55.3459,,,,2.39,,,,,
2004-09-08,51.3084,-3917670.5572,-820747.692,,,,,,,0.6166,,,,,,,,,,,0.0,,,,,,,,,,,,91956000.0,,,,,,,99.2308,,51.2778,82.1516,,,,2.53,,,,,
2004-09-09,51.3134,-1756181.0835,622512.4789,,,,,,,-0.1111,,,,,,,,,,,0.0,,,,,,,,,,,,96017700.0,,,,,,,99.5158,,73.2979,82.3961,,,,1.71,,,,,
2004-09-10,52.8281,2874358.8404,2629698.6629,,,,,,,0.7338,,,,,,,,,,,0.0,,,,,,,,,,,,104716500.0,,,,,,,99.7951,,82.5196,83.01100000000001,,,,5.26,,,,,
2004-09-13,53.9164,3397298.8404,3378146.7689,,,,,,,0.4462,,,,,,,,,,,0.0,,,,,,,,,,,,112560600.0,,,,,,,100.0688,,85.0221,89.6591,,,,3.08,,,,,
2004-09-14,55.9176,12106145.4815,6148222.4917,,,,,,,0.7774,,,,,,,,,,,0.0,,,,,,,,,,,,123389500.0,,,,,,,100.337,,89.4118,95.5652,,,,5.21,,,,,
2004-09-15,56.1734,10963071.0398,6358800.4658,,,,,,,0.3573,,,,,,,,,,,0.0,,,,,,,,,,,,134102500.0,,,,,,,100.5999,,89.4562,83.1444,,,,4.03,,,,,
2004-09-16,57.1615,12057164.2928,6214993.8116,,,,,,113.5383,0.3928,166.9262,,,,105.2802,,,,,,0.0,,,,,,106.99,105.88,,12.38,,,143368800.0,,24.47,,,,,101.0088,105.2802,88.6963,87.3793,,,,4.15,103.7449,,,-9.2238,105.9818
2004-09-17,58.9269,21529664.2928,8605141.652,,,,0.0,100.0,115.6342,0.7792,185.296,37.9074,,35.903,106.4431,,,,,,0.0,114.2717,,,,64.1502,108.75,108.215,15.5172,11.761,17.155,3.3865,152841300.0,32.9007,24.9365,,17.0977,1.171,68.9537,101.6004,106.13799999999999,90.1746,100.0,,,,3.94,103.9846,,,-0.0,107.1446
2004-09-20,59.8648,22299859.945,9045706.0531,,,,45.0,55.0,117.78,0.499,194.0917,40.4956,,42.6626,107.6733,,,,,,0.0,114.5515,,,,61.9909,109.685,110.27,14.5418,11.1729,11.05,3.3691,163470000.0,36.1817,27.7997,,10.2022,1.102,70.2478,102.3949,106.6905,90.7515,84.8751,,,,4.83,104.3896,,,-9.8853,108.4039
2004-09-21,59.1024,16710658.9141,6625217.8844,,,,40.0,55.0,119.1814,-0.8109999999999999,159.9318,35.6574,,42.6626,108.6415,,,,,,0.0,114.6739,,,,54.7599,109.685,110.27,13.9842,10.6143,8.44,3.3654,156241300.0,34.7945,26.4097,,7.7148,1.0771,67.8287,103.5472,107.1125,83.9642,67.0175,,,,2.91,105.0179,,,-16.5931,109.4657
2004-09-22,59.3733,17452874.2987,5268885.0846,,,,35.0,55.0,120.7579,0.3252,129.4242,36.4755,,39.8787,109.569,,,,,,0.0,114.9922,,,,57.0785,109.685,110.27,14.3845,10.7836,13.51,3.3033,163822500.0,33.4671,25.0892,,12.8826,1.1288,68.2378,104.6304,107.788,73.1769,67.6382,,,,2.86,105.8635,,,-14.2101,110.5388
2004-09-23,60.5971,20480653.9779,5198416.5567,,,,30.0,70.0,122.6481,0.3529,127.635,40.098,,44.6834,110.6405,,,,,,0.0,115.5392,,,,62.839,110.415,110.785,13.3341,10.2444,14.82,3.3069,172358100.0,34.8761,26.7947,,13.9811,1.1398,70.04899999999999,105.6485,108.529,71.5739,80.0661,,,,5.61,106.9006,,,-7.6404,111.78
2004-09-24,60.1005,11651557.2037,1887747.1347,,,5.4244,25.0,75.0,124.0714,-0.2627,119.103,36.766999999999996,,46.9016,111.5157,,,,,,0.0,115.8382,,,,63.5723,110.415,111.52,12.5857,9.7322,11.92,3.3486,163234700.0,34.8197,26.925,5.0024,11.0462,1.1105,68.3835,106.8372,109.125,63.1502,41.7462,,,,4.34,108.1032,,,-16.9714,112.8562
2004-09-27,59.3131,6696110.4504,-1214964.0626,,,6.0642,20.0,75.0,125.1204,-0.4221,86.2433,31.5461,,39.0742,112.15799999999999,,,,,,0.0,116.0125,,,,62.94,110.415,111.52,14.64,11.2056,12.11,3.3537,156168600.0,33.4185,25.5788,5.5571,11.4084,1.1141,65.773,108.2183,109.7305,47.2342,19.8903,0.0,,,3.08,109.427,,,-23.2114,113.7262
2004-09-28,63.6264,21082228.6702,2203597.5233,,,7.1449,15.0,85.0,127.6294,0.7942,123.7047,43.8954,,48.6542,113.5582,,,,,,0.0,118.0772,,,,68.7188,113.435,113.17,13.0053,10.6453,24.85,3.3302,173097600.0,37.6523,30.8198,6.5049,24.3604,1.2436,71.9477,109.4888,110.973,52.1791,94.9008,100.0,,,9.14,110.8783,,,-1.8974,115.3576
2004-09-29,65.7429,24241491.9239,4406993.0688,,,8.276,10.0,90.0,130.7183,0.5176,154.3599,48.6778,,56.9767,115.227,,,,,,0.0,120.7862,,,,75.6936,115.545,116.98,11.6845,10.113,28.71,3.3972,203614000.0,42.6325,36.8988,7.478,28.0453,1.2805,74.3389,111.1008,112.4085,64.3007,78.1111,100.0,,,8.79,112.4168,,56.0059,-10.9202,117.2726
2004-09-30,65.0007,15486401.0148,2122035.6783,,,8.834,5.0,90.0,132.7487,-0.0906,134.8894,44.1419,,56.9767,116.5958,,,,,,0.0,122.7421,,,,72.9203,115.545,116.98,11.2336,9.6074,29.35,3.3915,189856000.0,40.9875,35.0539,7.9141,29.2768,1.2928,72.071,113.4927,113.876,80.5123,68.525,73.5236,,,3.3,114.0099,,54.5841,-15.0222,118.9099
2004-10-01,66.4953,21207767.3069,2814802.7771,,,9.5267,0.0,90.0,135.0741,0.3333,133.628,47.5344,,58.8579,118.1181,,,,,,0.0,124.9948,,,,79.7467,116.295,117.17,10.5408,9.127,31.07,3.3509,204980800.0,40.7002,35.2412,8.4572,30.6078,1.3061,73.7672,115.6455,115.4295,77.4888,85.8304,93.32600000000001,,,5.34,115.6155,,56.0992,-6.8347,120.6912
2004-10-04,67.7391,17631110.2646,1704289.0969999998,,,10.24,0.0,100.0,137.2604,-0.0757,147.0888,50.1848,,61.2742,119.7316,,,,,,0.0,127.7336,,,,82.7681,118.32,118.24,10.0183,8.6707,35.05,3.2837,218003500.0,41.7216,36.1091,9.0069,35.0465,1.3505,75.0924,117.5829,117.182,81.1637,89.1357,100.0,,,4.29,117.2185,,54.9089,-4.8578,122.5608
2004-10-05,69.3992,31842557.6414,5616876.839,,,10.7408,0.0,100.0,139.775,0.5898,143.5434,53.4859,,54.7623,121.5067,15.6467,,3.6999,,,0.0,130.6866,,,22.6106,83.6972,120.335,119.515,11.3287,10.0271,36.79,3.2722,232976700.0,38.7566,34.3037,9.3456,36.2178,1.3622,76.743,119.7045,119.0215,91.2218,98.6992,100.0,,,6.29,118.8322,,63.6388,-0.4207,124.5787
2004-10-06,68.7522,30258636.8251,6202880.9429,,,10.8686,0.0,95.0,141.4466,-0.2408,132.3161,49.4237,,54.7623,122.9899,17.2118,,8.0277,,,0.0,132.2627,8.738,10.8686,23.7553,84.4635,120.34,119.765,11.008,9.5258,34.78,3.2272,219595300.0,37.6593,32.5885,9.3471,33.998000000000005,1.34,74.7119,121.9636,120.7605,90.9259,84.9429,56.526,,,2.45,120.4681,,64.8354,-3.8636,126.2985
2004-10-07,69.64,35641835.0233,7591547.4173,,,11.2163,0.0,100.0,142.8834,0.6877,123.9275,51.2859,,56.3234,124.5004,18.9332,,8.0783,,,0.0,133.9258,8.9533,11.2163,24.9063,85.2668,122.09,120.59,10.5795,9.0495,36.54,3.1467,233710300.0,37.865,32.3891,9.5311,35.715,1.3571,75.6429,123.9515,122.5875,91.4205,90.6193,63.0332,,,3.33,122.1217,,60.6395,-2.6698,128.0213
2004-10-08,69.0782,30481616.9782,5827610.0136,,,11.3873,0.0,95.0,143.8981,-0.3759,107.9614,47.6646,,56.3234,125.7603,20.8267,,7.6709,,,0.0,134.7594,8.9305,11.3873,26.0345,80.5376,123.175,123.17,10.2441,8.597000000000001,32.4,3.1102,222640800.0,36.6648,30.7696,9.5593,30.7605,1.3076,73.8323,126.0222,124.2075,82.4736,71.8586,0.0,,,2.66,123.7698,,59.926,-6.4333,129.4635
2004-10-11,67.8394,25903992.4273,3119699.6265,,,11.2926,0.0,90.0,144.2668,-0.3493,82.2631,39.8912,,44.1083,126.6651,22.9095,,7.6339999999999995,,,0.0,134.8428,8.6139,11.2926,27.1268,76.306,125.17,123.335,13.3795,11.3372,27.76,3.1938,212168700.0,34.497,29.2311,9.3776,25.8233,1.2582,69.9456,127.8237,125.5955,67.3356,39.5288,0.0,,,5.01,125.4406,,59.2941,-13.9619,130.5161
2004-10-12,68.9127,36405713.3299,5069765.6984,,,11.3187,0.0,85.0,145.0564,0.6912,75.2912,42.6448,,42.4451,127.6874,24.8597,,7.7379,,,0.0,135.2478,8.4384,11.3187,28.2295,76.605,125.425,125.04,13.2458,11.2203,25.91,3.1401,223834200.0,32.7825,27.7696,9.2883,23.2398,1.2324,71.3224,129.3911,126.891,57.7053,61.7284,24.1656,,,4.21,127.1095,,62.3803,-8.3558,131.6403
