date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2014-03-27,558.46,-3474.8011,,,,,,,,,,,-0.6326,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13100.0,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,559.99,-30592.3268,,,,,,,,,,,-0.1559,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,54200.0,,,,,,,552.92,,,,,,,,,,7.97,,,,,
2014-03-31,556.97,-41306.5274,,,,,,,,,,,-0.9851,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,43400.0,,,,,,,553.0551,,,,,,,,,,10.07,,,,,
2014-04-01,567.16,-35499.1352,,,,,,,,,,,0.8676,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,51300.0,,,,,,,553.334,,,,,,,,,,11.48,,,,,
2014-04-02,567.0,-149102.184,,,,,,,,,,,0.0444,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-95400.0,,,,,,,553.7875,,,,,,,,,,42.64,,,,,
2014-04-03,569.74,-2769682.5728,,,,,,,,,,,-0.0048,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4989800.0,,,,,,,555.8292,,,,,,,,,,23.15,,,,,
2014-04-04,543.14,-9070431.2354,,,,,,,,,,,-0.9062,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1362100.0,,,,,,,604.83,,,,0.2264,18.0312,,,,,34.77,,,,,
2014-04-07,538.15,-8932548.8163,,,,,,,,,,,-0.1214,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-5751700.0,,,,,,,604.2117,,,,14.1607,13.7101,,,,,21.33,,,,,
2014-04-08,554.9,-5836888.3234,,,,,,,,,,,0.9186,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2609100.0,,,,,,,602.6705,,16.7035,16.1483,35.7235,16.7035,,,,,16.85,,,,,
2014-04-09,564.14,-3173109.5794,-1141863.8268,,,,,,,,,,0.3639,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,712600.0,,,,,,,601.1601,,37.1336,22.5157,61.5167,37.1336,,,,,12.42,,,,,
2014-04-10,540.95,-6862089.6591,-1584442.3551,,,,,,,,,,-0.9582,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3313200.0,,,,,,,599.6799,,41.5007,31.7793,27.262,41.5007,,,,,25.1,,,,,
2014-04-11,530.6,-8410876.0734,-2114252.6707,,,,,,,,,,-0.1448,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-7227300.0,,,,,,,598.2293,,33.0859,37.2401,10.4789,33.0859,,,,,14.42,,,,,
2014-04-14,532.52,-9933589.3274,-2623288.1379,,,,,,,,,,-0.3941,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4659300.0,,,,,,,596.0783,,17.721,30.7692,15.4222,17.721,,,,,14.539,,,,,
2014-04-15,536.44,-6862224.2605,-1615796.6588,,,,,,,,,,-0.019,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-814800.0,,,,,,,593.9918,,21.4099,24.0723,38.3286,21.4099,,,,,19.9899,,,,,
2014-04-16,556.54,-2246412.9664,411916.7815,,,,,,,,,,0.7965,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4065100.0,,,,,,,590.9706,,45.191,28.1073,81.822,45.191,,,,,20.56,,,,,
2014-04-17,536.1,-5373557.653,208988.354,,,,,,,,,,-0.6926,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2725800.0,,,,,,,588.0701,,55.307,40.636,45.7705,55.307,,,,,25.39,,,,,
2014-04-21,528.62,-6540411.8873,-264298.564,,,,,,,,,,-0.6739,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-5285500.0,,,,,,,585.2857,,51.3182,50.6054,26.362,51.3182,,,,,11.1,,,,,
2014-04-22,534.81,-5356108.1836,-57064.8916,,,,,,,,,,0.6348,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2926600.0,,,,,,,582.6127,,38.1853,48.2702,42.4233,38.1853,,,,,9.72,,,,,
2014-04-23,526.94,-7032145.9788,-500384.5158,,,,,,,,,,-0.899,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4973300.0,,,,,,,580.0466,,24.351,37.9515,4.2675,24.351,,,,,8.56,,,,,
2014-04-24,525.16,-7712009.5675,-852573.2752,,,,,,,575.9732,546.4165,516.8598,-0.5152,-105.3462,,,,546.4165,,,,,,,,0.0,,,,,,,,,,,547.45,561.6451,,96.0309,,,-6851300.0,,77.9,,,,,577.5832,546.4165,19.2646,27.2669,11.103,19.2646,,,,,9.53,546.654,,,-92.2428,540.0884
2014-04-25,516.18,-9463528.533,-1476445.3226,,,,100.0,20.0,-80.0,576.0761,544.3025,512.5289,-0.6821,-124.2517,-22.5566,,13.9148,543.5368,,,,,,,,0.0,524.7996,,,,,,,,,27.9106,542.96,560.125,29.4658,97.9294,-42.28,3.3838,-8945900.0,22.2672,74.005,,-7.5708,0.9243,38.7217,575.2182,544.3025,6.2851,16.6335,3.4846,6.2851,,,,,9.74,544.3291,,,-99.15,537.2087
2014-04-28,517.15,-6747670.3052,-733306.6947,,,,100.0,15.0,-85.0,575.1672,542.1605,509.1538,-0.0019,-134.4773,-21.8926,,20.089,541.0238,,,,,,,,0.0,524.4857,,,,,,,,,26.4624,542.96,553.815,31.8681,105.6529,-42.84,3.3613,-5619500.0,21.206,70.3047,,-7.6501,0.9235,39.0537,572.2283,542.1605,18.7555,14.7684,41.6788,18.7555,,,,,15.8,542.0411,,,-85.9355,534.6228
2014-04-29,527.7,-4777034.5365,264389.2789,,,,95.0,10.0,-85.0,573.5426,540.697,507.8514,0.8219,-76.6991,-14.7735,,12.763,539.7549,,,,,,,,0.0,524.5631,,,,,,,,,29.3969,542.96,553.815,30.5918,100.3702,-29.27,3.2539,-2927800.0,23.6667,77.6495,,-5.2552,0.9474,42.6133,568.0626,540.697,41.7683,22.2696,80.1416,41.7683,,,,,13.14,539.9765,,,-75.5954,533.2456
