date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,13.0989,-307467.0,,,,,,,,-0.4032,,,,,,,,,,,0.0,,,,,,,,,,,,307467.0,,,,,,,,,,,,,,,,,,,
1998-01-05,13.2816,230733.0,,,,,,,,0.6418,,,,,,,,,,,0.0,,,,,,,,,,,,845667.0,,,,,,,31.45,,,,,,,0.67,,,,,
1998-01-06,13.8339,282383.0,,,,,,,,0.4861,,,,,,,,,,,0.0,,,,,,,,,,,,1465467.0,,,,,,,30.59,,,,,,,2.29,,,,,
1998-01-07,13.4685,154711.1538,,,,,,,,-0.3932,,,,,,,,,,,0.0,,,,,,,,,,,,635600.0,,,,,,,30.59,,,,,,,2.34,,,,,
1998-01-08,13.4133,62894.2458,,,,,,,,-0.4253,,,,,,,,,,,0.0,,,,,,,,,,,,21133.0,,,,,,,30.6196,,,,,,,0.87,,,,,
1998-01-09,12.8907,-251545.0469,,,,,,,,-0.9024,,,,,,,,,,,0.0,,,,,,,,,,,,-369534.0,,,,,,,33.55,,,,,,,1.35,,,,,
1998-01-12,13.1541,417054.9531,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,299066.0,,,,,,,33.5167,,,36.3636,,,,1.48,,,,,
1998-01-13,13.7277,871654.9531,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,753666.0,,,,,,,33.436,,,79.2717,,,,1.35,,,,,
1998-01-14,13.7532,1267627.9261,,,,,,,,0.4865,,,,,,,,,,,0.0,,,,,,,,,,,,1390666.0,,,,,,,33.3568,,45.065,97.6351,,,,0.37,,,,,
1998-01-15,13.7277,923960.9261,442361.0519,,,,,,,-0.2525,,,,,,,,,,,0.0,,,,,,,,,,,,1046999.0,,,,,,,29.48,,64.8333,74.0838,,,,0.99,,,,,
