date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,6.9118,72300.0,,,,,,,,0.2232,,,,,,,,,,,0.0,,,,,,,,,,,,72300.0,,,,,,,,,,,,,,,,,,,
1998-01-05,6.6667,43300.0,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,43300.0,,,,,,,35.25,,,,,,,1.25,,,,,
1998-01-06,6.7412,149181.8182,,,,,,,,0.5682,,,,,,,,,,,0.0,,,,,,,,,,,,288500.0,,,,,,,35.2375,,,,,,,0.88,,,,,
1998-01-07,6.7647,216381.8182,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,355700.0,,,,,,,35.2077,,,,,,,0.75,,,,,
1998-01-08,6.7157,203881.8182,,,,,,,,0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,318200.0,,,,,,,35.1786,,,,,,,0.75,,,,,
1998-01-09,6.3725,120581.8182,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,234900.0,,,,,,,35.15,,,,,,,1.75,,,,,
1998-01-12,5.9078,-41706.1818,,,,,,,,-0.7292,,,,,,,,,,,0.0,,,,,,,,,,,,58500.0,,,,,,,35.0705,,,2.7368,,,,3.25,,,,,
1998-01-13,6.0549,446725.7331,,,,,,,,0.0691,,,,,,,,,,,0.0,,,,,,,,,,,,723900.0,,,,,,,34.8677,,,29.6364,,,,1.88,,,,,
1998-01-14,6.0294,399340.0188,,,,,,,,-0.2857,,,,,,,,,,,0.0,,,,,,,,,,,,392200.0,,,,,,,34.5868,,14.2321,27.2727,,,,1.75,,,,,
1998-01-15,6.0784,728340.0188,229305.7793,,,,,,,0.4253,,,,,,,,,,,0.0,,,,,,,,,,,,721200.0,,,,,,,34.32,,20.5321,35.8607,,,,0.87,,,,,
1998-01-16,6.4216,1030640.0188,347960.9369,,,,,,,0.9358,,,,,,,,,,,0.0,,,,,,,,,,,,1023500.0,,,,,,,34.0665,,33.6721,87.5,,,,1.87,,,,,
1998-01-20,6.7412,1310540.0188,453927.9617,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,1303400.0,,,,,,,29.25,,51.8626,100.0,,,,2.38,,,,,
1998-01-21,6.6667,1329366.1057,462002.0484,,,,,,,0.3623,,,,,,,,,,,0.0,,,,,,,,,,,,1086900.0,,,,,,,29.3013,,71.9875,86.3931,,,,1.38,,,,,
1998-01-22,6.7412,1385454.1057,441151.0795,,,,,,,-0.12,,,,,,,,,,,0.0,,,,,,,,,,,,1160700.0,,,,,,,29.4079,,86.4546,94.4444,,,,1.0,,,,,
1998-01-23,6.7902,1447143.7057,412145.0032,,,,,,,0.7040000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,1311900.0,,,,,,,29.5123,,91.8431,91.0194,,,,1.25,,,,,
1998-01-26,6.6549,1420504.8169,354335.1434,,,,,,,-0.6944,,,,,,,,,,,0.0,,,,,,,,,,,,1243400.0,,,,,,,29.6769,,89.2028,64.6667,,,,1.44,,,,,
1998-01-27,6.4961,1299204.8169,259877.915,,,,,,,-0.4032,,,,,,,,,,,0.0,,,,,,,,,,,,1122100.0,,,,,,,29.8366,,75.2971,0.0,,,,0.81,,,,,
1998-01-28,6.5451,1535304.8169,272733.7838,,,,,,,0.6032,,,,,,,,,,,0.0,,,,,,,,,,,,1358200.0,,,,,,,29.9915,,55.387,28.0,,,,0.63,,,,,
1998-01-29,6.6667,1571104.8169,264589.9316,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,1394000.0,,,,,,,30.1418,,36.8787,55.5556,,,,0.75,,,,,
1998-01-30,6.4706,1447004.8169,197718.3619,,,,,,30.3622,-0.25,7.7961,,,,33.2615,,,,,,0.0,,,,,,32.69,32.25,,6.38,,,1269900.0,,5.62,,,,,30.2875,33.2615,30.1326,11.4155,,,,1.0,32.8733,,,-37.5,33.2572
