date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Lower Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,36.2194,2229615.3846,,,,,,,,,,,0.6627,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2635000.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,36.5006,5195466.2133,,,,,,,,,,,0.4862,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7652000.0,,,,,,,104.06,,,,,,,,,,1.81,,,,,
1998-01-06,36.0925,2274198.6077,,,,,,,,,,,-0.0563,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4096400.0,,,,,,,104.0875,,,,,,,,,,2.13,,,,,
1998-01-07,35.7496,3867146.5069,,,,,,,,,,,-0.3151,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-211800.0,,,,,,,107.19,,,,,,,,,,2.63,,,,,
1998-01-08,35.729,3772004.3194,,,,,,,,,,,0.2695,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4271200.0,,,,,,,107.19,,,,,,,,,,2.56,,,,,
1998-01-09,34.3127,-1608565.8624,,,,,,,,,,,-0.7727,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-11454000.0,,,,,,,107.1443,,,,,,,,,,5.5,,,,,
1998-01-12,34.3333,1260310.9331,,,,,,,,,,,0.5166,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-5043300.0,,,,,,,106.9888,,,,27.0382,23.4054,,,,,3.62,,,,,
1998-01-13,35.0191,3648857.8815,,,,,,,,,,,0.7324,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1628800.0,,,,,,,106.7041,,,,57.75,31.2039,,,,,2.32,,,,,
1998-01-14,35.1906,3633310.9724,,,,,,,,,,,-0.32,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2646600.0,,,,,,,106.428,,34.7351,49.5961,64.0,49.5961,,,,,2.75,,,,,
1998-01-15,35.4718,2575594.63,226030.7223,,,,,,,,,,0.0973,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8968300.0,,,,,,,106.1602,,49.3321,67.1962,79.8387,67.1962,,,,,2.57,,,,,
1998-01-16,36.0068,4457654.0503,714511.1635,,,,,,,,,,0.1884,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13157400.0,,,,,,,105.9004,,65.7494,80.456,97.5293,80.456,,,,,1.75,,,,,
1998-01-20,37.1624,9428254.0503,2430943.0564,,,,,,,,,,0.8641,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,18128000.0,,,,,,,97.5,,80.0361,92.456,100.0,92.456,,,,,3.68,,,,,
1998-01-21,34.3333,1364067.4957,346247.3765,,,,,,,,,,-0.0546,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4220200.0,,,,,,,97.6087,,80.2199,67.7478,5.7143,67.7478,,,,,8.75,,,,,
1998-01-22,34.0761,184006.1749,-913533.7653,,,,,,,,,,-0.2075,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2363300.0,,,,,,,97.7163,,66.1267,38.1763,8.8146,38.1763,,,,,2.12,,,,,
1998-01-23,34.0144,-1882446.6553,-2003357.9724,,,,,,,,,,-0.5849,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6274800.0,,,,,,,97.8228,,37.6991,7.1733,6.9909,7.1733,,,,,1.06,,,,,
1998-01-26,33.6475,-4342977.5831,-3049967.9003,,,,,,,,,,-0.5825,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9082700.0,,,,,,,97.9283,,17.0013,5.6542,1.1572,5.6542,,,,,1.94,,,,,
1998-01-27,33.0919,-5871712.2498,-3687272.2738,,,,,,,,,,-0.1111,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-16102400.0,,,,,,,108.37,,6.7137,7.3137,13.7931,7.3137,,,,,2.5,,,,,
1998-01-28,33.2634,-7602512.2498,-4163490.2199,,,,,,,,,,-0.08,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-10910000.0,,,,,,,108.2425,,9.0505,14.1834,27.6,14.1834,,,,,1.5,,,,,
1998-01-29,33.6715,-7468766.7952,-3937252.1696,,,,,,,,,,0.5152,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6496400.0,,,,,,,108.1163,,18.2845,33.3563,58.6758,33.3563,,,,,2.31,,,,,
1998-01-30,33.8635,-7580309.1029,-3522258.9588,,,,,,,108.4431,95.0289,101.736,0.2821,-71.6999,,,,101.736,,,,,,,,0.0,,,,,,,,,,,102.435,101.995,,17.39,,,-3596300.0,,10.88,,,,,107.9913,101.736,33.4832,52.9098,72.4537,52.9098,,,,,1.56,102.0735,,,-75.451,100.3876
1998-02-02,34.4842,-7937829.9029,-3146040.2672,,,,55.0,80.0,-25.0,107.9628,95.0032,101.483,0.448,-23.3877,-16.0941,,15.7445,101.624,,,,,,,,0.0,98.7972,,,,,,,,,46.9058,102.435,101.995,31.2255,16.5205,-5.06,2.7625,-158600.0,22.7305,12.026,,-4.7908,0.9521,41.9529,107.8676,101.483,53.0747,72.9579,87.7442,72.9579,,,,,2.5,101.7286,,,-61.2549,100.2756
1998-02-03,34.0761,-8397522.2106,-2852394.6942,,,,50.0,75.0,-25.0,107.2505,95.0085,101.1295,-0.4808,-47.5955,-19.309,,19.6269,101.4093,,,,,,,,0.0,98.8197,,,,,,,,,42.5604,102.435,101.995,32.6183,17.0045,-7.07,2.7499,-3744200.0,21.9151,11.4247,,-6.6422,0.9336,40.3455,107.7451,101.1295,66.4691,73.5397,60.4211,73.5397,,,,,1.87,101.3075,,,-70.5882,100.0744
