date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,4.015,-50238.7097,,,,,,,,0.2903,,,,,,,,,,,0.0,,,,,,,,,,,,119800.0,,,,,,,,,,,,,,,,,,,
1998-01-05,3.97,9872.4014,,,,,,,,-0.0741,,,,,,,,,,,0.0,,,,,,,,,,,,11600.0,,,,,,,16.5,,,,,,,0.81,,,,,
1998-01-06,3.9375,-79254.8713,,,,,,,,0.2841,,,,,,,,,,,0.0,,,,,,,,,,,,-194800.0,,,,,,,16.4875,,,,,,,0.88,,,,,
1998-01-07,3.97,-31815.1888,,,,,,,,0.2063,,,,,,,,,,,0.0,,,,,,,,,,,,35100.0,,,,,,,16.4751,,,,,,,0.63,,,,,
1998-01-08,3.72,-129757.2177,,,,,,,,-0.5435,,,,,,,,,,,0.0,,,,,,,,,,,,-182900.0,,,,,,,16.4629,,,,,,,1.38,,,,,
1998-01-09,3.345,-375276.936,,,,,,,,-0.7042,,,,,,,,,,,0.0,,,,,,,,,,,,-784000.0,,,,,,,16.4236,,,,,,,2.13,,,,,
1998-01-12,3.22,-126420.1179,,,,,,,,0.4318,,,,,,,,,,,0.0,,,,,,,,,,,,-1360300.0,,,,,,,16.3134,,,15.2542,,,,1.13,,,,,
1998-01-13,3.39,88969.2155,,,,,,,,0.5733,,,,,,,,,,,0.0,,,,,,,,,,,,-923700.0,,,,,,,16.1509,,,33.7629,,,,0.87,,,,,
1998-01-14,3.47,194217.996,,,,,,,,0.4634,,,,,,,,,,,0.0,,,,,,,,,,,,-654000.0,,,,,,,15.9948,,23.5448,44.9036,,,,0.82,,,,,
1998-01-15,3.4525,155437.99599999998,112101.4373,,,,,,,0.36,,,,,,,,,,,0.0,,,,,,,,,,,,-792500.0,,,,,,,15.845,,33.1417,59.3156,,,,0.5,,,,,
