date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2000-07-28,19.585,4810751.6863,,,,,,,,0.7286,,,,,,,,,,,0.0,,,,,,,,,,,,9307600.0,,,,,,,,,,,,,,,,,,,
2000-07-31,17.5,4777960.1703,,,,,,,,-0.452,,,,,,,,,,,0.0,,,,,,,,,,,,8066700.0,,,,,,,29.5,,,,,,,7.67,,,,,
2000-08-01,17.75,4596297.7579,,,,,,,,0.0968,,,,,,,,,,,0.0,,,,,,,,,,,,8674800.0,,,,,,,29.5919,,,,,,,7.13,,,,,
2000-08-02,19.065,4887536.7285,,,,,,,,0.8272,,,,,,,,,,,0.0,,,,,,,,,,,,9103000.0,,,,,,,29.8027,,,,,,,5.44,,,,,
2000-08-03,22.125,5126141.3797,,,,,,,,0.5693,,,,,,,,,,,0.0,,,,,,,,,,,,9787000.0,,,,,,,30.0092,,,,,,,10.75,,,,,
2000-08-04,20.47,4749814.9449,,,,,,,,-0.7896,,,,,,,,,,,0.0,,,,,,,,,,,,9144900.0,,,,,,,30.5414,,,,,,,5.75,,,,,
2000-08-07,21.125,4665739.2692,,,,,,,,-0.0746,,,,,,,,,,,0.0,,,,,,,,,,,,9427700.0,,,,,,,31.0577,,,60.6557,,,,9.25,,,,,
2000-08-08,20.49,4536074.2946,,,,,,,,-0.3071,,,,,,,,,,,0.0,,,,,,,,,,,,9262900.0,,,,,,,31.7454,,,50.5106,,,,3.94,,,,,
2000-08-09,21.405,4699474.2946,,,,,,,,0.3986,,,,,,,,,,,0.0,,,,,,,,,,,,9426300.0,,,,,,,32.4056,,59.07100000000001,51.6444,,,,2.81,,,,,
2000-08-10,22.5,4770974.2946,-26206.1634,,,,,,,0.4122,,,,,,,,,,,0.0,,,,,,,,,,,,9755200.0,,,,,,,33.0393,,55.4544,64.8649,,,,5.75,,,,,
2000-08-11,20.94,4573574.2946,-68784.7022,,,,,,,-0.9808,,,,,,,,,,,0.0,,,,,,,,,,,,9557800.0,,,,,,,33.6478,,53.0528,31.1351,,,,3.12,,,,,
2000-08-14,20.0,4393014.6792,-137400.8273,,,,,,,-0.8429,,,,,,,,,,,0.0,,,,,,,,,,,,9321100.0,,,,,,,34.2319,,46.1689,4.8556,,,,3.12,,,,,
2000-08-15,20.0,4393014.6792,-152980.076,,,,,,,-0.22,,,,,,,,,,,0.0,,,,,,,,,,,,9321100.0,,,,,,,34.7926,,32.9569,12.1212,,,,2.0,,,,,
2000-08-16,21.375,4393014.6792,-145446.1254,,,,,,,0.345,,,,,,,,,,,0.0,,,,,,,,,,,,9598200.0,,,,,,,35.3309,,23.4888,45.4545,,,,3.75,,,,,
2000-08-17,20.94,4149414.6792,-206650.7705,,,,,,,-0.25,,,,,,,,,,,0.0,,,,,,,,,,,,9354600.0,,,,,,,35.8476,,24.0132,48.0,,,,2.0,,,,,
2000-08-18,22.0,4135252.1792,-217408.8508,,,,,,,0.4141,,,,,,,,,,,0.0,,,,,,,,,,,,9437000.0,,,,,,,36.3437,,35.9957,62.5,,,,5.12,,,,,
2000-08-21,22.595,4077821.7792,-220318.7517,,,,,,,0.3173,,,,,,,,,,,0.0,,,,,,,,,,,,9594200.0,,,,,,,36.82,,49.197,70.7429,,,,3.75,,,,,
2000-08-22,21.065,3896521.7792,-259166.5519,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,9412900.0,,,,,,,37.2772,,52.9748,6.3333,,,,3.12,,,,,
2000-08-23,20.565,3769187.01,-292013.8466,,,,,,,-0.4215,,,,,,,,,,,0.0,,,,,,,,,,,,9246700.0,,,,,,,37.7161,,44.8138,5.4286,,,,3.25,,,,,
2000-08-24,20.01,3677167.01,-308183.7538,,,,,,35.78,-0.615,-21.4644,,,,41.1505,,,,,,0.0,,,,,,40.095,38.875,,7.56,,,9139700.0,,24.13,,,,,38.1375,41.1505,26.1802,1.7789,,,,2.0,41.752,,,-43.8933,41.8751
2000-08-25,20.875,3804732.5272,-246192.9828,,,,30.0,30.0,35.9821,0.7284,-5.0425,6.1195,,53.0673,41.2076,,,,,,0.0,40.0378,,,,48.1736,40.095,39.875,8.1992,7.182,2.58,11.0275,9418900.0,26.741,23.4235,,6.5867,1.0659,53.0598,38.542,41.2795,14.1127,23.7611,,,,2.36,41.8867,,,-38.806,41.9322
2000-08-28,20.815,3738764.5272,-219441.7598,,,,25.0,25.0,37.1656,-0.6667,6.3334,5.8025,,55.1792,41.2478,,,,,,0.0,40.0834,,,,58.8177,40.345,40.625,7.9139,6.8229,6.63,10.8667,9259300.0,27.3995,23.6223,,18.9429,1.1894,52.9013,38.9303,41.611,11.4042,32.5885,,,,3.0,42.0116,,,-43.4098,41.9656
2000-08-29,21.25,3824964.5272,-161121.5541,,,,20.0,20.0,38.5026,0.7768,-3.5177,7.9021,,55.1792,41.3671,,,,,,0.0,40.1566,,,,55.2323,41.66,40.905,7.8071,6.4818,7.0,10.2438,9345500.0,27.0299,22.4412,,19.7183,1.1972,53.951,39.3031,41.96100000000001,23.2265,63.5922,,,,1.12,42.1138,,,-39.1423,42.0503
2000-08-30,20.0,3587927.0272,-198036.8968,,,,15.0,15.0,38.9305,-0.6836,-117.406,1.0869,,44.9453,41.2369,,,,,,0.0,40.1552,,,,47.4688,42.595,42.625,9.8834,8.0977,1.87,10.7223,8924100.0,26.0204,21.3191,,4.9043,1.0490000000000002,50.5435,48.25,42.0545,31.916,12.993,,,,3.06,42.1501,,,-73.3333,41.8635
2000-08-31,22.375,3731123.9065,-149572.6303,,,,10.0,10.0,38.8786,0.6608,91.1915,12.1804,,53.6523,41.5715,,,,,,0.0,40.1795,,,,44.9187,42.595,43.625,9.0285,7.6928,0.5,9.9285,9369400.0,29.9313,25.5032,,1.1299,1.0113,56.0902,48.1619,42.0795,41.5212,67.9898,,,,7.37,42.1705,,,-37.8378,42.1202
2000-09-01,23.315,3879454.1922,-68952.8276,,,1.0853,5.0,-30.0,38.6486,0.18,162.0617,16.1006,,53.6523,42.0532,,,,,,0.0,40.3465,,,,54.0753,43.315,43.625,8.6543,7.3081,5.69,9.4271,9557500.0,28.6907,24.228,2.6122,13.8984,1.139,58.0503,48.0747,42.364,47.4214,92.0615,,,,3.5,42.2363,,,-17.5135,42.5536
2000-09-05,22.875,3902373.1111,-22411.177000000003,,,1.1547,0.0,-30.0,38.5425,-0.3108,127.6694,13.602,,51.1301,42.4053,,,,,,0.0,40.4303,,,,49.5603,43.315,43.375,8.791,7.4427,3.5,9.6132,9461500.0,27.1861,23.0166,2.7624,8.283999999999999,1.0828,56.801,47.9883,42.539,61.8384,78.875,83.3574,,,4.44,42.2794,,,-22.8571,42.8761
2000-09-06,21.0,3702760.4629,-64847.1465,,,0.7188,45.0,20.0,38.6488,-0.9506,34.5861,3.6006,,44.8719,42.3667,,,,,,0.0,40.4405,,,,48.8087,43.315,43.375,9.7328,8.3206,1.02,10.5503,9240000.0,25.577,21.8658,1.7086,2.489,1.0249,51.8003,47.9029,42.59,68.32300000000001,32.0,16.7423,,,5.06,42.2945,,,-65.7143,42.8248
2000-09-07,22.5,3865160.4629,-24639.3934,,,0.3376,40.0,20.0,38.6206,0.32299999999999995,39.2157,10.2541,,41.806,42.6175,,,,,,0.0,40.4848,,,,52.697,43.315,43.375,10.0188,8.5246,2.19,9.7846,9402400.0,24.4137,20.7725,0.7956,5.1156,1.0512,55.1271,47.8182,42.6995,68.9403,67.7249,53.2284,,,3.87,42.3345,,52.6402,-31.4286,43.0543
2000-09-08,21.47,3764110.8446,-38102.9736,,,0.2201,35.0,20.0,38.6534,-0.7863,30.3911,5.0151,,41.806,42.6482,,,,,,0.0,40.5077,,,,46.328,43.315,43.375,9.7043,8.0983,-2.06,10.0464,9225900.0,23.6472,19.7339,0.5165,-4.5778,0.9542,52.5075,47.7344,42.5965,56.6606,28.6846,11.316,,,2.62,42.4162,,49.5692,-54.9714,43.0772
2000-09-11,20.565,3587951.7285,-96197.523,,,0.3401,30.0,20.0,38.5753,-0.5166,-44.6082,0.5941,,31.8339,42.5036,,,,,,0.0,40.5114,,,,45.2484,43.315,43.375,11.6931,9.6934,-0.75,10.4042,8925100.0,22.6146,18.7472,0.8003,-1.7908,0.9821,50.297,47.6515,42.559,46.0047,10.6232,0.0,,,3.62,42.5375,,49.1167,-75.6571,42.9375
2000-09-12,20.375,3628937.6601,-98177.2674,,,0.4083,25.0,-75.0,38.6966,-0.1901,-108.533,-0.3332,,25.4276,42.3366,,,,,,0.0,40.5128,,,,46.4711,43.315,43.375,13.0109,10.5888,0.75,10.2988,8801200.0,21.8838,17.8098,0.9608,1.875,1.0188,49.8334,47.5694,42.5965,33.0175,22.4072,0.0,,,2.63,42.6521,,48.7477,-80.0,42.7652
