date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,21.375,0.0,,,,,,,,-0.1,,,,,,,,,,,0.0,,,,,,,,,,,,48700.0,,,,,,,,,,,,,,,,,,,
1998-01-05,21.125,-22342.8571,,,,,,,,-0.3571,,,,,,,,,,,0.0,,,,,,,,,,,,-29500.0,,,,,,,44.5,,,,,,,3.5,,,,,
1998-01-06,20.5,-301827.4725,,,,,,,,-0.8462,,,,,,,,,,,0.0,,,,,,,,,,,,-433200.0,,,,,,,44.5,,,,,,,3.25,,,,,
1998-01-07,20.44,-239286.9011,,,,,,,,-0.3543,,,,,,,,,,,0.0,,,,,,,,,,,,-647800.0,,,,,,,44.5,,,,,,,1.75,,,,,
1998-01-08,20.125,-595444.3479,,,,,,,,-0.4681,,,,,,,,,,,0.0,,,,,,,,,,,,-1133000.0,,,,,,,44.3575,,,,,,,1.88,,,,,
1998-01-09,19.69,-729804.4240000001,,,,,,,,-0.2357,,,,,,,,,,,0.0,,,,,,,,,,,,-1282100.0,,,,,,,44.2193,,,,,,,2.63,,,,,
1998-01-12,18.0,-758226.6462,,,,,,,,-0.5556,,,,,,,,,,,0.0,,,,,,,,,,,,-1537900.0,,,,,,,44.0205,,,20.5128,,,,5.38,,,,,
1998-01-13,19.0,-658832.8962,,,,,,,,0.5208,,,,,,,,,,,0.0,,,,,,,,,,,,-1361200.0,,,,,,,43.5195,,,50.7614,,,,2.88,,,,,
1998-01-14,20.065,-657961.2598,,,,,,,,0.2291,,,,,,,,,,,0.0,,,,,,,,,,,,-1121500.0,,,,,,,43.0435,,28.4813,77.7919,,,,3.5,,,,,
1998-01-15,20.5,-592641.1415,-137936.534,,,,,,,-0.07400000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,-765400.0,,,,,,,42.5913,,48.3225,83.5322,,,,3.38,,,,,
1998-01-16,21.625,-286687.2953,-4971.524,,,,,,,0.4615,,,,,,,,,,,0.0,,,,,,,,,,,,-197200.0,,,,,,,34.0,,68.3306,92.5,,,,3.25,,,,,
1998-01-20,22.515,-91704.6866,111915.1305,,,,,,,0.5652,,,,,,,,,,,0.0,,,,,,,,,,,,198500.0,,,,,,,34.1,,82.0342,96.3655,,,,2.13,,,,,
1998-01-21,22.125,-180438.02,121324.9621,,,,,,,-0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,-67700.0,,,,,,,34.3256,,88.6715,82.9563,,,,1.5,,,,,
1998-01-22,21.75,-188580.8771,111553.9876,,,,,,,-0.6696,,,,,,,,,,,0.0,,,,,,,,,,,,-91700.0,,,,,,,34.5467,,88.2305,70.5329,,,,1.12,,,,,
1998-01-23,21.75,-153630.8771,108535.9537,,,,,,,0.185,,,,,,,,,,,0.0,,,,,,,,,,,,-91700.0,,,,,,,34.7634,,81.6179,59.3952,,,,2.0,,,,,
1998-01-26,21.375,-180477.0956,88892.42,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,-138000.0,,,,,,,34.9757,,67.6269,15.9744,,,,2.38,,,,,
