date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
11/03/1999,0.5548,1362701.268,,,,,,,,0.664,,,,,,,,,,,0,,,,,,,,,,,,2695500,,,,,,,,,,,,,,,,,,,
12/03/1999,0.5518,1526411.529,,,,,,,,-0.0643,,,,,,,,,,,0,,,,,,,,,,,,2072100,,,,,,,37.38,,,,,,,5.75,,,,,
15/03/1999,0.5015,1349840.1,,,,,,,,-0.9459,,,,,,,,,,,0,,,,,,,,,,,,1874100,,,,,,,37.4937,,,,,,,4.62,,,,,
16/03/1999,0.497,1193840.1,,,,,,,,-0.3333,,,,,,,,,,,0,,,,,,,,,,,,1718100,,,,,,,37.6063,,,,,,,2.25,,,,,
17/03/1999,0.5,1032906.767,,,,,,,,0.0833,,,,,,,,,,,0,,,,,,,,,,,,1959500,,,,,,,37.7177,,,,,,,3,,,,,
18/03/1999,0.5089,1019677.967,,,,,,,,0.2,,,,,,,,,,,0,,,,,,,,,,,,2086700,,,,,,,37.828,,,,,,,2.5,,,,,
19/03/1999,0.497,929877.9668,,,,,,,,-1,,,,,,,,,,,0,,,,,,,,,,,,1996900,,,,,,,37.9372,,,20.4822,,,,1.5,,,,,
22/03/1999,0.5,856827.9668,,,,,,,,0.125,,,,,,,,,,,0,,,,,,,,,,,,2094300,,,,,,,38.0454,,,13.1746,,,,2,,,,,
23/03/1999,0.4779,712178.4823,,,,,,,,-0.9639,,,,,,,,,,,0,,,,,,,,,,,,1938400,,,,,,,38.1524,,7.7477,7.7477,,,,1.94,,,,,
24/03/1999,0.4822,724874.7786,-217597.54,,,,,,,-0.0802,,,,,,,,,,,0,,,,,,,,,,,,2109800,,,,,,,38.2584,,12.5255,12.5255,,,,1.62,,,,,
25/03/1999,0.5,781574.7786,-175608.1165,,,,,,,0.6649,,,,,,,,,,,0,,,,,,,,,,,,2175600,,,,,,,38.3633,,26.1447,26.1447,,,,1.88,,,,,
26/03/1999,0.537,828404.9119,-127565.7539,,,,,,,0.7013,,,,,,,,,,,0,,,,,,,,,,,,2291900,,,,,,,38.4672,,53.3131,53.3131,,,,4.25,,,,,
29/03/1999,0.5429,859668.5483,-86367.6527,,,,,,,-0.2841,,,,,,,,,,,0,,,,,,,,,,,,2364300,,,,,,,38.57,,77.0801,77.0801,,,,0.88,,,,,
30/03/1999,0.537,815141.2755,-75830.0479,,,,,,,-0.7727,,,,,,,,,,,0,,,,,,,,,,,,2301100,,,,,,,38.6718,,85.5992,85.5992,,,,0.88,,,,,
