date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,11.8703,10231800.0,,,,,,,,0.9108,,,,,,,,,,,0.0,,,,,,,,,,,,10231800.0,,,,,,,,,,,,,,,,,,,
1998-01-05,12.1759,21837311.465,,,,,,,,0.4586,,,,,,,,,,,0.0,,,,,,,,,,,,29823900.0,,,,,,,70.5,,,,,,,3.14,,,,,
1998-01-06,11.952,16320017.6378,,,,,,,,-0.463,,,,,,,,,,,0.0,,,,,,,,,,,,17745500.0,,,,,,,70.5464,,,,,,,1.81,,,,,
1998-01-07,11.8899,18393453.3866,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,3900300.0,,,,,,,70.5923,,,,,,,2.07,,,,,
1998-01-08,12.1449,30261650.4015,,,,,,,,0.7687,,,,,,,,,,,0.0,,,,,,,,,,,,22832900.0,,,,,,,70.6378,,,,,,,2.68,,,,,
1998-01-09,11.7477,15843140.0567,,,,,,,,-0.7109,,,,,,,,,,,0.0,,,,,,,,,,,,825700.0,,,,,,,70.6828,,,,,,,3.77,,,,,
1998-01-12,12.3606,46037554.4567,,,,,,,,0.964,,,,,,,,,,,0.0,,,,,,,,,,,,31762600.0,,,,,,,75.69,,,98.8,,,,5.0,,,,,
1998-01-13,12.5747,55285614.4567,,,,,,,,0.56,,,,,,,,,,,0.0,,,,,,,,,,,,56099600.0,,,,,,,70.69,,,95.2744,,,,1.62,,,,,
1998-01-14,12.3296,48809987.59100001,,,,,,,,-0.5821,,,,,,,,,,,0.0,,,,,,,,,,,,25109100.0,,,,,,,70.69,,74.9686,72.4085,,,,2.68,,,,,
1998-01-15,12.3083,45831591.0196,11718634.1132,,,,,,,0.2457,,,,,,,,,,,0.0,,,,,,,,,,,,11744500.0,,,,,,,70.7556,,79.4768,70.4268,,,,1.75,,,,,
