date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,6.2501,35235.5828,,,,,,,,-0.3804,,,,,,,,,,,0.0,,,,,,,,,,,,441800.0,,,,,,,,,,,,,,,,,,,
1998-01-05,6.1732,-302056.4172,,,,,,,,-0.4133,,,,,,,,,,,0.0,,,,,,,,,,,,-241900.0,,,,,,,41.25,,,,,,,1.5,,,,,
1998-01-06,6.1347,-269532.8878,,,,,,,,0.2101,,,,,,,,,,,0.0,,,,,,,,,,,,-794800.0,,,,,,,41.25,,,,,,,1.19,,,,,
1998-01-07,5.884,-337895.335,,,,,,,,-0.5274,,,,,,,,,,,0.0,,,,,,,,,,,,-2041100.0,,,,,,,41.25,,,,,,,2.75,,,,,
1998-01-08,5.7779,-353733.2661,,,,,,,,-0.0805,,,,,,,,,,,0.0,,,,,,,,,,,,-3419000.0,,,,,,,41.1264,,,,,,,1.12,,,,,
1998-01-09,5.4041,-1162934.5481,,,,,,,,-0.6795,,,,,,,,,,,0.0,,,,,,,,,,,,-4609900.0,,,,,,,41.0065,,,,,,,3.12,,,,,
1998-01-12,5.3933,-221133.8182,,,,,,,,0.1314,,,,,,,,,,,0.0,,,,,,,,,,,,-5913200.0,,,,,,,40.7514,,,11.8861,,,,1.37,,,,,
1998-01-13,6.1732,1564985.7694,,,,,,,,0.8711,,,,,,,,,,,0.0,,,,,,,,,,,,-3506900.0,,,,,,,33.88,,,38.2755,,,,5.82,,,,,
1998-01-14,5.9225,1410910.1392,,,,,,,,-0.3697,,,,,,,,,,,0.0,,,,,,,,,,,,-4471900.0,,,,,,,33.88,,35.9731,57.7578,,,,2.63,,,,,
1998-01-15,5.6825,1059345.2537,601197.32,,,,,,,-0.6908,,,,,,,,,,,0.0,,,,,,,,,,,,-5393000.0,,,,,,,33.95,,54.1222,66.3333,,,,2.62,,,,,
1998-01-16,5.6733,1189459.1223,546405.7328,,,,,,,-0.365,,,,,,,,,,,0.0,,,,,,,,,,,,-6764200.0,,,,,,,34.0193,,58.3161,50.8571,,,,1.37,,,,,
1998-01-20,6.0963,2487159.1223,887222.2896,,,,,,,0.9506,,,,,,,,,,,0.0,,,,,,,,,,,,-5466500.0,,,,,,,34.0879,,57.4072,55.0313,,,,2.75,,,,,
1998-01-21,6.1532,3599340.2817,1299866.4964,,,,,,,0.7246,,,,,,,,,,,0.0,,,,,,,,,,,,-2991000.0,,,,,,,34.1558,,58.9004,70.8128,,,,1.38,,,,,
1998-01-22,5.9994,3510701.1513,1322302.4489,,,,,,,-0.3623,,,,,,,,,,,0.0,,,,,,,,,,,,-3312900.0,,,,,,,34.2231,,68.2936,79.0369,,,,1.5,,,,,
1998-01-23,5.7886,3429660.223,1185485.7296,,,,,,,-0.5781,,,,,,,,,,,0.0,,,,,,,,,,,,-3832000.0,,,,,,,34.2896,,71.4924,64.6275,,,,2.37,,,,,
1998-01-26,5.6625,3227865.4178,957536.3856,,,,,,,-0.5152,,,,,,,,,,,0.0,,,,,,,,,,,,-4649800.0,,,,,,,34.3555,,61.4901,40.806,,,,2.31,,,,,
1998-01-27,5.7302,3574636.8464,887571.9825,,,,,,,0.2202,,,,,,,,,,,0.0,,,,,,,,,,,,-4100200.0,,,,,,,34.4208,,44.62600000000001,28.4444,,,,1.68,,,,,
1998-01-28,6.1347,5122876.4297,1270883.5048,,,,,,,0.8264,,,,,,,,,,,0.0,,,,,,,,,,,,-2226700.0,,,,,,,34.4854,,39.1009,48.0522,,,,2.88,,,,,
1998-01-29,5.8655,4540440.5807,1126837.4024,,,,,,,-0.8538,,,,,,,,,,,0.0,,,,,,,,,,,,-2988900.0,,,,,,,34.5493,,45.2215,59.1678,,,,2.12,,,,,
1998-01-30,5.7502,4436843.6918,932507.0412,,,,,,35.0199,-0.3867,-34.3791,,,,38.24,,,,,,0.0,,,,,,37.845,37.63,,11.74,,,-3464600.0,,11.08,,,,,34.6126,38.24,56.0014,60.7843,,,,2.25,38.0459,,,-53.3333,38.087
