date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD,MACDEXT,MACD_Signal,MACD,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,11.5322,-18311.215,,,,,,,,,,,0.2897,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,279900,,,,,,,,,,,,,,,,,,,,,,
05/01/1998,11.2345,-276353.2439,,,,,,,,,,,-0.6377,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-657200,,,,,,,41.63,,,,,,,,,,1.56,,,,,
06/01/1998,11.3047,-481656.6053,,,,,,,,,,,0.2101,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,130900,,,,,,,41.6087,,,,,,,,,,1.19,,,,,
07/01/1998,11.2008,-558056.2236,,,,,,,,,,,-0.3282,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-191950,,,,,,,41.5876,,,,,,,,,,1.31,,,,,
08/01/1998,10.9536,-1131127.922,,,,,,,,,,,-0.8302,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-932750,,,,,,,41.5435,,,,,,,,,,1.06,,,,,
09/01/1998,10.375,-1789027.922,,,,,,,,,,,-0.84,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1900250,,,,,,,41.4636,,,,,,,,,,2.75,,,,,
12/01/1998,10.4789,-1080925.794,,,,,,,,,,,0.6596,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-711650,,,,,,,41.265,,,,18,10.7138,,,,,0.94,,,,,
13/01/1998,10.7261,-937813.7941,,,,,,,,,,,-0.38,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-115350,,,,,,,41.0744,,,,40.3341,22.704,,,,,1.07,,,,,
14/01/1998,10.8497,-1135563.177,,,,,,,,,,,-0.6914,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,401350,,,,,,,40.8914,,40.0842,24.5007,61.9186,40.0842,,,,,1.62,,,,,
15/01/1998,10.8834,-849513.1768,-142458.9022,,,,,,,,,,0.3871,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,687400,,,,,,,40.7158,,57.1612,39.9831,69.2308,57.1612,,,,,0.31,,,,,
16/01/1998,11.1642,-307413.1768,95484.3588,,,,,,,,,,0.8986,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1229500,,,,,,,40.5471,,77.0498,58.0984,100,77.0498,,,,,1,,,,,
20/01/1998,11.007,-509444.4268,119861.717,,,,,,,,,,-0.2768,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,776950,,,,,,,40.3853,,77.0077,70.4062,61.7925,77.0077,,,,,1.12,,,,,
21/01/1998,10.9002,-679418.4268,64855.1166,,,,,,,,,,-0.07,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,329650,,,,,,,40.2299,,66.052,73.3699,36.3636,66.052,,,,,1,,,,,
